time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
2.306687177199999988e+08 -1.014603172754209581e-01 1.102656184445122839e-01 -9.020594608832566141e-02 9.791734460389278638e+00 -2.750572440358948767e-01 -1.805405155669360884e+00 1.898046875000000000e+01 -1.365839958190917969e+00 2.528747618198394775e-01 1.991296052932739258e+00 1.969183236360550274e-02 -2.123398631811140302e-01 9.755927324295045056e-01 -5.237000063061713478e-02
2.306770507199999988e+08 -8.873744492815097140e-02 1.198902993670949158e-01 -9.488205628289800297e-02 9.526503707413997546e+00 -2.943018828808086629e-01 -1.896933067852836885e+00 1.894140625000000000e+01 -1.430968165397644043e+00 3.715190887451171875e-01 1.993581295013427956e+00 -1.250067651271820068e-01 -2.370064109563825572e-01 9.572563171386718750e-01 -1.089115366339683533e-01
2.306853837199999988e+08 -8.189269827971357163e-02 1.274594648734641011e-01 -9.843482381624377164e-02 9.450894940728735705e+00 -2.967036452401388691e-01 -1.898232287338861513e+00 1.894140625000000000e+01 -1.480316996574401855e+00 4.639185070991516113e-01 1.995510816574096902e+00 -2.389945089817047119e-01 -2.526805996894834760e-01 9.250842928886412464e-01 -1.524898260831832886e-01
2.306937177199999988e+08 -7.261077004794390388e-02 1.408378696103540217e-01 -1.044292545632342223e-01 9.315279216356760372e+00 -3.027128533599384719e-01 -1.910451784611119530e+00 1.898242187500000000e+01 -1.516862988471984863e+00 5.351843833923339844e-01 1.997107386589050293e+00 -3.246856629848480225e-01 -2.621795833110808216e-01 8.897534608840942383e-01 -1.848781853914260864e-01
2.307020507199999988e+08 -6.481105120809321773e-02 1.571164118119796893e-01 -1.130985956214532046e-01 9.123256951759273647e+00 -2.593414887664407531e-01 -1.830212459395745617e+00 1.898437500000000000e+01 -1.543174266815185547e+00 5.895270109176635742e-01 1.998446941375732422e+00 -3.879051804542541504e-01 -2.679696381092069868e-01 8.568586707115173340e-01 -2.086027413606643122e-01
2.307103847199999988e+08 -6.311451321247826818e-02 1.629313301898429878e-01 -1.174127257248096939e-01 9.047648185074010030e+00 -2.280233969863855181e-01 -1.773922260384129812e+00 1.898437500000000000e+01 -1.561323285102844238e+00 6.303374767303466797e-01 1.999588131904602051e+00 -4.342207312583922230e-01 -2.715400755405424915e-01 8.286535143852233887e-01 -2.259461879730224332e-01
2.307687177199999988e+08 1.172595171466189572e-02 1.157823999948924265e-01 -1.166209660846521251e-01 8.419975407670969858e+00 2.140039879322633565e-01 -1.189348704498177645e+00 1.891601562500000000e+01 -1.584667325019836426e+00 7.363102436065673828e-01 2.010523319244384766e+00 -5.255893468856811523e-01 -3.398444354534148060e-01 7.779580354690555088e-01 5.516311898827556265e-02
2.307853837199999988e+08 4.767979573563420337e-02 5.531758314399836535e-02 -8.785909622400341068e-02 8.697207552183595425e+00 2.272261451013939670e-01 -1.195558966054051098e+00 1.895312500000000000e+01 -1.555776000022887962e+00 7.396687269210814319e-01 2.029417514801025391e+00 -1.989288330078124722e-01 -3.831841051578521729e-01 8.369017243385314941e-01 3.364412486553192139e-01
2.307937177199999988e+08 5.679038798209592315e-02 3.998611631389573096e-02 -8.093771420908502101e-02 8.717609917797076946e+00 2.067515419602490301e-01 -1.235803809542607601e+00 1.895312500000000000e+01 -1.540032386779785156e+00 7.306368947029113770e-01 2.039103507995605025e+00 2.447991445660591125e-02 -3.698402047157285377e-01 8.891900181770323597e-01 2.682536244392395020e-01
2.308020507199999988e+08 7.648586232539665575e-02 9.034992787363565342e-03 -6.603313505848988629e-02 8.878428564397474076e+00 1.537487391192484676e-01 -1.400247741618262820e+00 1.896289062500000000e+01 -1.530342936515808105e+00 7.396197915077209473e-01 2.039460659027100053e+00 1.479878090322023221e-02 -3.685900866985319935e-01 7.436548471450804554e-01 5.575839877128601074e-01
