time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
1.060383719999998808e+06 5.433672607000800819e-03 5.976437629807903468e-02 -2.472878128064472103e-02 9.736528059317500094e+00 -3.774161228649216548e-01 -9.370086650948065143e-01 3.187890625000000000e+01 -3.030221760272979736e-01 7.719810605049133301e-01 2.046263933181762251e+00 -1.657233089208602350e-01 -1.451389193534851629e-01 -2.134410589933395663e-01 9.517948627471921608e-01
1.068717719999998808e+06 5.433672607000800819e-03 5.976437629807903468e-02 -2.472878128064472103e-02 9.736528059317500094e+00 -3.774161228649216548e-01 -9.370086650948065143e-01 3.187890625000000000e+01 -3.029409050941467285e-01 7.718631625175474964e-01 2.046259164810180664e+00 -1.655160188674927868e-01 -1.449727416038513739e-01 -2.134230434894561490e-01 9.518603682518003151e-01
1.077050719999998808e+06 5.433672607000800819e-03 5.976437629807903468e-02 -2.472878128064472103e-02 9.736528059317500094e+00 -3.774161228649216548e-01 -9.370086650948065143e-01 3.187890625000000000e+01 -3.028565645217895508e-01 7.717365622520446777e-01 2.046257495880126953e+00 -1.652936935424805243e-01 -1.448178291320801336e-01 -2.134157866239548007e-01 9.519241452217102051e-01
1.085384719999998808e+06 3.958737926345615166e-03 6.438448009183980747e-02 -2.391721574995988100e-02 9.748529450854844569e+00 -3.689872384809682604e-01 -9.465838155652365193e-01 3.186328125000000000e+01 -3.027677536010742188e-01 7.716016769409179688e-01 2.046266794204711914e+00 -1.650199145078657947e-01 -1.446673125028610785e-01 -2.134174704551696777e-01 9.519941806793212891e-01
1.093717719999998808e+06 4.943376697972005906e-03 6.524797537073331877e-02 -2.204774011021772007e-02 9.764131259853391143e+00 -3.689886413771292228e-01 -9.068306234100294017e-01 3.186328125000000000e+01 -3.026738762855529785e-01 7.714598774909973145e-01 2.046274185180664062e+00 -1.647464334964752752e-01 -1.445192396640777865e-01 -2.134191542863844715e-01 9.520635604858398438e-01
1.102050719999998808e+06 2.744543160116200142e-03 6.782425765020524966e-02 -1.800772710549816691e-02 9.716125693704016797e+00 -3.774142883084036226e-01 -9.343739025238038121e-01 3.185937500000000000e+01 -3.025701045989990234e-01 7.713062167167662464e-01 2.046295881271362305e+00 -1.643561720848082386e-01 -1.443372517824173529e-01 -2.134460508823394775e-01 9.521527290344238281e-01
1.110384719999998808e+06 3.241044586295878382e-03 6.925942355055342281e-02 -1.506157383194015216e-02 9.731727502702559818e+00 -3.677814471647399830e-01 -9.557555111356941246e-01 3.190429687500000000e+01 -3.024631738662719727e-01 7.711547613143919788e-01 2.046294927597045454e+00 -1.640965342521666370e-01 -1.441615521907806674e-01 -2.134515047073363980e-01 9.522227644920349121e-01
1.118717719999998808e+06 2.757154485504536689e-03 7.271108954856453366e-02 -1.103645458587501973e-02 9.725726806933892021e+00 -3.545338220345349844e-01 -8.686841537227795174e-01 3.185156250000000000e+01 -3.023489117622375488e-01 7.709951996803283691e-01 2.046289682388305664e+00 -1.638506054878235418e-01 -1.439685076475143433e-01 -2.134713679552077692e-01 9.522899389266967773e-01
1.127050719999998808e+06 1.777999305631314253e-03 7.270444036507843488e-02 -1.049182868178397988e-02 9.736528059317500094e+00 -3.449005492305142195e-01 -8.935258059899180427e-01 3.191210937500000000e+01 -3.022270798683166504e-01 7.708368301391601562e-01 2.046284914016724077e+00 -1.635864675045012873e-01 -1.437502950429916937e-01 -2.134828865528106412e-01 9.523657560348511852e-01
1.135384719999998808e+06 1.783650050369414708e-03 7.673693582331435337e-02 -6.471348604295238879e-03 9.730527363548828745e+00 -3.701899002596069077e-01 -8.663929783495798453e-01 3.187304687500000000e+01 -3.021008670330048163e-01 7.706740498542785645e-01 2.046274900436401367e+00 -1.633360534906387329e-01 -1.435396522283554077e-01 -2.135027050971984308e-01 9.524359107017517090e-01
1.143717719999998808e+06 -9.068663275471204903e-04 7.758114338852409309e-02 -3.767080345389364152e-03 9.735327920163767246e+00 -3.713946124249420944e-01 -8.970245190225917264e-01 3.191406250000000000e+01 -3.019639551639556885e-01 7.705081105232238770e-01 2.046252489089965820e+00 -1.631326675415039062e-01 -1.432920545339584351e-01 -2.135027647018432340e-01 9.525081515312194824e-01
1.152050719999998808e+06 -1.644205062449679905e-03 7.786992824571846439e-02 -4.298155822188915592e-03 9.758130564084718017e+00 -3.762137848315510458e-01 -8.491402190000482131e-01 3.191406250000000000e+01 -3.018202185630798340e-01 7.703425884246825062e-01 2.046230316162109375e+00 -1.629027426242828924e-01 -1.430295109748840332e-01 -2.135305106639861228e-01 9.525807499885556862e-01
1.160383719999998808e+06 -9.006809857525638341e-04 7.901423952477121260e-02 -8.169595689364281569e-04 9.784533625466870888e+00 -3.870546835083180648e-01 -8.283419410522527837e-01 3.184179687500000000e+01 -3.016705214977264404e-01 7.701731920242308460e-01 2.046208858489990234e+00 -1.626993417739867887e-01 -1.427687853574753085e-01 -2.135598361492156427e-01 9.526479840278624378e-01
1.168717719999998808e+06 -5.798007362830016886e-03 8.013851299958825447e-02 1.904826620155859263e-03 9.741328615932438595e+00 -3.713951520003886397e-01 -8.101142878818031745e-01 3.187890625000000000e+01 -3.015162050724028986e-01 7.700011134147645153e-01 2.046198606491088867e+00 -1.624748259782791138e-01 -1.425287127494812289e-01 -2.136216610670089167e-01 9.527084827423091262e-01
1.177050719999998808e+06 -5.550319706678359666e-03 8.100141328761427395e-02 3.243562615939199131e-03 9.728127085241359495e+00 -3.617597208945819154e-01 -8.205152364687887667e-01 3.187890625000000000e+01 -3.013510406017303467e-01 7.698287367820739746e-01 2.046187639236450195e+00 -1.622336506843566895e-01 -1.422890573740005493e-01 -2.136860191822051724e-01 9.527708888053894043e-01
1.185383719999998808e+06 -6.772805064826428745e-03 8.127934458721350341e-02 4.594872786088772913e-03 9.713725415396547547e+00 -3.677798284384006244e-01 -7.744644765727236591e-01 3.190234375000000000e+01 -3.011836707592010498e-01 7.696543931961059570e-01 2.046174049377441406e+00 -1.620178818702697476e-01 -1.420339494943618774e-01 -2.137606441974639893e-01 9.528289437294006348e-01
1.193717719999998808e+06 -8.731152168980016448e-03 8.184355108872304330e-02 5.951798377739993262e-03 9.814537104310227633e+00 -3.810359788606601517e-01 -8.146544838576038616e-01 3.186523437500000000e+01 -3.010135591030120850e-01 7.694803476333617054e-01 2.046159505844116211e+00 -1.617978811264038086e-01 -1.417589038610458929e-01 -2.138264924287796021e-01 9.528925418853759766e-01
1.202050719999998808e+06 -1.068573331207671971e-02 8.124647371505905324e-02 8.115103648205949233e-03 9.762931120699656518e+00 -3.858484605317326621e-01 -7.845453745777030141e-01 3.183984375000000000e+01 -3.008387684822082520e-01 7.693108916282652698e-01 2.046145915985107422e+00 -1.615866422653198242e-01 -1.414960026741028110e-01 -2.138878107070922296e-01 9.529536366462707520e-01
1.210384719999998808e+06 -1.142571189415983457e-02 8.240590777172307480e-02 7.046329774583000652e-03 9.820537800078898982e+00 -3.750151159112165011e-01 -7.959310405995118076e-01 3.191992187500000000e+01 -3.006614148616790771e-01 7.691432237625122070e-01 2.046127319335937056e+00 -1.613687574863434393e-01 -1.412139981985092441e-01 -2.139508873224257590e-01 9.530182480812071644e-01
1.218717719999998808e+06 -1.313094467017207612e-02 7.978169668839249495e-02 9.746693021787825734e-03 9.791734460389278638e+00 -3.497226353445342384e-01 -7.732053412322473784e-01 3.188671875000000000e+01 -3.004770576953887939e-01 7.689758539199829102e-01 2.046098947525024414e+00 -1.611981689929961881e-01 -1.409139335155487338e-01 -2.140067517757415216e-01 9.530789852142333984e-01
1.227050719999998808e+06 -1.264408041623032476e-02 8.181068021656860700e-02 9.472029239857170449e-03 9.788134042928072986e+00 -3.533351531142004398e-01 -7.378860549843916372e-01 3.188671875000000000e+01 -3.002871572971343994e-01 7.688071131706236683e-01 2.046072721481323242e+00 -1.610206216573715210e-01 -1.406245231628418246e-01 -2.140640765428542536e-01 9.531388282775880016e-01
1.235384719999998808e+06 -1.263285602187391027e-02 7.948183832801145043e-02 1.242651584323963519e-02 9.786933903774338361e+00 -3.581521672190232652e-01 -7.660814583425219482e-01 3.184570312500000000e+01 -3.000991344451903742e-01 7.686404585838316761e-01 2.046060800552368164e+00 -1.608217507600784857e-01 -1.403589844703674316e-01 -2.141355574131011685e-01 9.531955718994140625e-01
1.243717719999998808e+06 -1.262733568571359176e-02 7.976117955493715328e-02 1.457294360360369967e-02 9.813336965156494784e+00 -3.930786759953515119e-01 -7.535019676631317109e-01 3.188671875000000000e+01 -2.999070584774017334e-01 7.684756517410278320e-01 2.046046495437622070e+00 -1.606346666812896729e-01 -1.400866806507110873e-01 -2.142060101032256525e-01 9.532513022422790527e-01
1.252050719999998808e+06 -1.335826861237872365e-02 7.801803133748833052e-02 1.538594620244228273e-02 9.807336269387823435e+00 -3.990995389447952180e-01 -6.852317729666628221e-01 3.188671875000000000e+01 -2.997143566608428955e-01 7.683094143867491566e-01 2.046041965484619141e+00 -1.604042947292328436e-01 -1.398323029279709417e-01 -2.142959833145141324e-01 9.533072710037230335e-01
1.260384719999998808e+06 -1.286112235592115627e-02 7.512128331040258955e-02 1.645871882455709340e-02 9.820537800078898982e+00 -3.991007260107776178e-01 -6.713081915318979132e-01 3.187109375000000000e+01 -2.995199263095856268e-01 7.681468725204466663e-01 2.046034812927246094e+00 -1.602096706628799994e-01 -1.395825892686844427e-01 -2.143929004669189176e-01 9.533548355102541283e-01
1.268717719999998808e+06 -1.677573148946056442e-02 7.249277759918547337e-02 1.810355403818666303e-02 9.819337660925169686e+00 -4.340247527400518668e-01 -6.301308766590265620e-01 3.184570312500000000e+01 -2.993278205394744873e-01 7.679926753044128418e-01 2.046022653579711914e+00 -1.600201576948165338e-01 -1.392959654331207275e-01 -2.144882082939147949e-01 9.534070491790768154e-01
