time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
9.904336849975585938e+05 -7.888426931440191718e-04 -1.729012222700431920e-03 6.184650393810508379e-04 9.129257647527943220e+00 -1.726338319834673507e-01 3.566799229753140565e+00 3.092578125000000000e+01 4.271118938922881525e-01 9.075043797492980957e-01 1.049276828765869141e+00 -8.116137469187933995e-04 1.053156889975071127e-02 1.929730176925658833e-02 9.997580051422120251e-01
9.987676849975585938e+05 -7.888426931440191718e-04 -1.729012222700431920e-03 6.184650393810508379e-04 9.129257647527943220e+00 -1.726338319834673507e-01 3.566799229753140565e+00 3.092578125000000000e+01 4.271081089973449707e-01 9.075056910514831543e-01 1.049281001091003418e+00 -8.078141836450059010e-04 1.053769607096910824e-02 1.931785605847835541e-02 9.997575283050535999e-01
1.007100684997558361e+06 -7.888426931440191718e-04 -1.729012222700431920e-03 6.184650393810508379e-04 9.129257647527943220e+00 -1.726338319834673507e-01 3.566799229753140565e+00 3.092578125000000000e+01 4.271017014980316162e-01 9.075073599815367542e-01 1.049279451370239258e+00 -8.195469272322951663e-04 1.055286917835474361e-02 1.933079026639461170e-02 9.997571706771848365e-01
1.015433684997558361e+06 2.638975675267940524e-03 -2.284499776622866442e-03 -1.287053959256137872e-03 9.146059595680224419e+00 -1.858824283494761309e-01 3.517196610542272950e+00 3.093945312500000000e+01 4.270971119403839111e-01 9.075100421905516468e-01 1.049278259277343528e+00 -8.213181863538921964e-04 1.056877989321947445e-02 1.933507248759269714e-02 9.997569322586057350e-01
1.023766684997558361e+06 -5.263007211779580086e-05 -1.727162404190915948e-03 8.808592341892663991e-04 9.117256255990598746e+00 -1.882883993972890857e-01 3.539934201652686241e+00 3.091601562500000000e+01 4.270941019058228094e-01 9.075135588645936169e-01 1.049280881881713867e+00 -8.208249346353667679e-04 1.057623140513897116e-02 1.934274844825267445e-02 9.997566938400268555e-01
1.032100684997558361e+06 9.256396356783143679e-04 5.907610808640684566e-04 1.138583014824163034e-03 9.154460569756365018e+00 -1.979259888048817695e-01 3.527665318644897408e+00 3.091601562500000000e+01 4.270898997783660889e-01 9.075146913528441273e-01 1.049280643463134766e+00 -8.138825651258230209e-04 1.058455184102058758e-02 1.935269124805926930e-02 9.997564554214476429e-01
1.040433684997558361e+06 -5.168768027718345648e-05 8.697272625137926483e-04 2.487909433526270392e-03 9.116056116836864121e+00 -2.087610600668267091e-01 3.521150237331304833e+00 3.091210937500000000e+01 4.270876646041870672e-01 9.075189828872679554e-01 1.049280643463134766e+00 -8.074395591393667164e-04 1.060572825372219606e-02 1.935600675642490387e-02 9.997560977935792126e-01
1.048767684997558361e+06 -5.351554419490839321e-05 5.841118973779809570e-04 1.683208918915206354e-03 9.158060987217565341e+00 -2.183990811347765737e-01 3.528799653808007086e+00 3.091210937500000000e+01 4.270926117897033691e-01 9.075055122375488281e-01 1.049282670021057129e+00 -7.663877331652302338e-04 1.060704886913300081e-02 1.928693801164626728e-02 9.997575283050535999e-01
1.057100684997558361e+06 -1.286690699642947583e-03 5.914857635456165913e-04 -9.903268153534910273e-04 9.141259039065284142e+00 -2.171932898185484073e-01 3.546666521385588133e+00 3.096093750000000000e+01 4.270941615104675293e-01 9.074975252151488148e-01 1.049284815788269043e+00 -7.400474278256297112e-04 1.059773098677397121e-02 1.924367062747478138e-02 9.997584819793698951e-01
1.065433684997558361e+06 1.809527006976854868e-04 3.145893459969164945e-04 -2.343620736950523861e-03 9.152060291448895768e+00 -2.183985415593301116e-01 3.547692495855197414e+00 3.093164062500000000e+01 4.270888864994049072e-01 9.074944257736206055e-01 1.049282789230346680e+00 -7.297742995433508266e-04 1.051084976643324245e-02 1.916033588349819183e-02 9.997609853744505726e-01
1.073766684997558361e+06 -1.775807181337421548e-03 -8.562284132227352199e-04 -1.253025597405504898e-03 9.136458482450349194e+00 -2.015372115934764841e-01 3.589047754691756964e+00 3.093164062500000000e+01 4.270893633365631104e-01 9.074912071228028454e-01 1.049284934997558372e+00 -7.073989254422485828e-04 1.053356938064098879e-02 1.914216764271258961e-02 9.997611045837401234e-01
1.082100684997558361e+06 1.826703313939568023e-04 2.332719316577884592e-03 -7.358988719320548990e-04 9.153260430602626840e+00 -1.738402707902313993e-01 3.597031451784666878e+00 3.097656250000000000e+01 4.270890355110167902e-01 9.074886441230772816e-01 1.049284219741821289e+00 -6.938879378140527798e-04 1.054857857525348837e-02 1.913443021476268421e-02 9.997611045837401234e-01
1.090433684997558361e+06 4.369107734116597377e-04 -1.146332943966152330e-03 8.762200656128802919e-04 9.172462657062375513e+00 -1.943147660162871104e-01 3.555627699956776411e+00 3.091796875000000000e+01 4.270886778831481378e-01 9.074884653091430664e-01 1.049284100532531516e+00 -6.872557569295167923e-04 1.056353282183409084e-02 1.912718825042247772e-02 9.997611045837401234e-01
1.098766684997558361e+06 9.301808355908838810e-04 -1.149282490433206801e-03 1.945634359320356360e-03 9.136458482450349194e+00 -2.183971386631692324e-01 3.562016429996068823e+00 3.092968750000000000e+01 4.270910322666168213e-01 9.074891209602357067e-01 1.049286603927612305e+00 -6.832811632194180085e-04 1.056533679366112276e-02 1.912409625947475433e-02 9.997611045837401234e-01
1.107100684997558361e+06 2.155656915940169782e-03 -2.009737969082216538e-03 1.400032202304052689e-03 9.124457090913004720e+00 -2.171917790072981636e-01 3.557480367782948960e+00 3.092968750000000000e+01 4.270910322666168213e-01 9.074878692626952015e-01 1.049286484718322754e+00 -6.833249353803694248e-04 1.057032402604818344e-02 1.912460476160048745e-02 9.997609853744505726e-01
1.115433684997558361e+06 -1.276241544142214801e-03 -1.158596428887812869e-03 1.963488122347508205e-03 9.128057508374208595e+00 -1.919022121480269127e-01 3.555068286611981154e+00 3.093945312500000000e+01 4.270934164524078369e-01 9.074896574020383522e-01 1.049288392066955566e+00 -6.972286500968039036e-04 1.055830158293247223e-02 1.912659220397472035e-02 9.997611045837401234e-01
1.123767684997558361e+06 -2.016571001246018902e-03 -2.872873926436448136e-04 6.267046324146888225e-04 9.153260430602626840e+00 -2.244200519993096443e-01 3.552380758462351018e+00 3.095703125000000000e+01 4.270951449871063232e-01 9.074941873550416149e-01 1.049291133880615234e+00 -7.070182473398745060e-04 1.054474245756864721e-02 1.912554539740084908e-02 9.997612237930297852e-01
1.132100684997558361e+06 -2.506850341223998413e-03 -8.668620252263881804e-04 3.629983518404784198e-04 9.124457090913004720e+00 -2.063532544624956666e-01 3.570407201215126225e+00 3.095507812500000000e+01 4.270963370800017755e-01 9.075001478195190430e-01 1.049291491508483887e+00 -7.016719901003498627e-04 1.056505646556616003e-02 1.912124268710612904e-02 9.997611045837401234e-01
1.140433684997558361e+06 6.793554796093934089e-04 8.803608745174463677e-04 8.718854842802870736e-04 9.110055421068192771e+00 -2.256204475610729676e-01 3.551806214851734200e+00 3.089062500000000000e+01 4.270988106727600098e-01 9.075038433074952282e-01 1.049291014671325684e+00 -7.036168244667351246e-04 1.056983694434166475e-02 1.911577954888344158e-02 9.997612237930297852e-01
1.148766684997558361e+06 -3.008890697330374175e-04 5.868414982535281182e-04 8.801563229108664427e-04 9.137658621604083820e+00 -2.196015270832366029e-01 3.585512059707398613e+00 3.089062500000000000e+01 4.270979464054108221e-01 9.075093269348144531e-01 1.049289941787719505e+00 -7.094157626852948262e-04 1.057955157011747187e-02 1.911567151546477578e-02 9.997611045837401234e-01
1.157100684997558361e+06 6.797063546300705084e-04 1.168485894937293899e-03 1.139895100590155924e-03 9.155660708910096091e+00 -2.196031458095760724e-01 3.551169737905512047e+00 3.095507812500000000e+01 4.270980060100555420e-01 9.075142741203309216e-01 1.049290895462035911e+00 -7.028090185485780239e-04 1.057701278477907181e-02 1.911220699548720967e-02 9.997612237930297852e-01
1.165433684997558361e+06 1.929155895026082868e-04 -2.015507370202271765e-03 8.792113155825404284e-04 9.153260430602626840e+00 -2.135815274545072029e-01 3.542971387554845641e+00 3.087890625000000000e+01 4.270933568477631170e-01 9.075224995613098145e-01 1.049288988113403098e+00 -7.136762724258560731e-04 1.049053296446800232e-02 1.906754635274409554e-02 9.997628927230834961e-01
1.173767684997558361e+06 -3.731053330068338347e-03 -2.607060696208144540e-03 1.065866569715800824e-04 9.108855281914461699e+00 -2.340503031808300327e-01 3.534192669909334228e+00 3.097460937500000000e+01 4.270908236503601074e-01 9.075262546539305530e-01 1.049286842346191406e+00 -7.138429209590513302e-04 1.050928793847561056e-02 1.908228360116481087e-02 9.997624158859252930e-01
1.182100684997558361e+06 -1.521713716948313927e-03 -2.025261199839895922e-03 1.429788474015964697e-03 9.159261126371299966e+00 -2.123777865249756869e-01 3.579330744473510961e+00 3.097460937500000000e+01 4.270958602428435724e-01 9.075084924697877087e-01 1.049282193183898704e+00 -6.621390348300337791e-04 1.055474579334259207e-02 1.906863600015639912e-02 9.997622966766355201e-01
1.190433684997558361e+06 -4.742386657100027702e-05 -2.313451066166771070e-03 2.491603594774334171e-03 9.149660013141424741e+00 -1.919041546196342818e-01 3.517149151615563518e+00 3.094726562500000000e+01 4.271000921726226252e-01 9.074969291687011719e-01 1.049280524253845215e+00 -6.199700292199850082e-04 1.059851981699467052e-02 1.904888637363910328e-02 9.997621774673460804e-01
1.198766684997558361e+06 -1.035587957455063940e-03 4.977155978252642554e-06 8.867792429347130106e-04 9.153260430602626840e+00 -2.569356256337171351e-01 3.526531744888793618e+00 3.094335937500000000e+01 4.271034002304076593e-01 9.074890613555907093e-01 1.049280881881713867e+00 -5.846008425578473914e-04 1.061608642339706421e-02 1.903821527957915913e-02 9.997622966766355201e-01
1.207100684997558361e+06 6.886050324194578631e-04 5.759230947513420754e-04 4.092366706928221749e-03 9.148459873987693669e+00 -2.328495838737988932e-01 3.527763719395684117e+00 3.093750000000000000e+01 4.271051883697509766e-01 9.074816107749938965e-01 1.049279212951659934e+00 -5.646295612677931786e-04 1.063039246946573431e-02 1.903406530618667256e-02 9.997621774673460804e-01
1.215433684997558361e+06 -4.725671358607463901e-05 8.621982966616758030e-04 4.097982128429872653e-03 9.136458482450349194e+00 -2.328485047229058302e-01 3.557320275575444946e+00 3.091992187500000000e+01 4.271082580089568537e-01 9.074752330780029297e-01 1.049280524253845215e+00 -5.456657381728847707e-04 1.064356137067080064e-02 1.902499981224536896e-02 9.997622966766355201e-01
1.223766684997558361e+06 1.898038132293403124e-03 2.341218318573488714e-03 -1.018130581214882332e-03 9.155660708910096091e+00 -2.388716338892249158e-01 3.558231548635016672e+00 3.095312500000000000e+01 4.271109402179718573e-01 9.074675440788269043e-01 1.049281954765319824e+00 -5.296921590343117714e-04 1.065010577440262014e-02 1.902139186859130859e-02 9.997622966766355201e-01
1.232100684997558361e+06 -2.755072594432105004e-03 8.696370087363366683e-04 9.462165709294216543e-05 9.136458482450349194e+00 -2.388699072477960816e-01 3.550269322524465476e+00 3.095312500000000000e+01 4.271133542060852051e-01 9.074599146842956543e-01 1.049281239509582297e+00 -5.231532268226146698e-04 1.066271122545004238e-02 1.901770941913127899e-02 9.997621774673460804e-01
1.240433684997558361e+06 -1.786717445080292233e-03 2.338243364236004471e-03 -3.671828801008968166e-03 9.159261126371299966e+00 -2.412805186444489103e-01 3.604030536992831824e+00 3.090429687500000000e+01 4.271143674850463867e-01 9.074490666389464222e-01 1.049283146858215110e+00 -5.033055203966796398e-04 1.067184563726187273e-02 1.902250759303569447e-02 9.997620582580566406e-01
1.248767684997558361e+06 1.775376146614660033e-04 1.763998241590303013e-03 -2.881990799455387813e-03 9.108855281914461699e+00 -2.159860956061591952e-01 3.555345529062268639e+00 3.095507812500000000e+01 4.271029233932495117e-01 9.073880314826963112e-01 1.049271821975708008e+00 -7.172551122494597031e-04 1.070542819797993053e-02 1.904433034360408436e-02 9.997611045837401234e-01
1.257100684997558361e+06 -1.051557449116134746e-03 1.475718121485969500e-03 -4.213463455130352434e-03 9.108855281914461699e+00 -2.183946566161153180e-01 3.581209536572840690e+00 3.095507812500000000e+01 4.270900189876555841e-01 9.073442220687865101e-01 1.049259781837463157e+00 -8.802748052403330803e-04 1.064378116279840643e-02 1.900490559637545845e-02 9.997624158859252930e-01
1.265433684997558361e+06 -8.079866290420512076e-04 3.211777264265679513e-03 -3.949116754471609231e-03 9.158060987217565341e+00 -1.750449829555666414e-01 3.545239296474059110e+00 3.094335937500000000e+01 4.270839989185332697e-01 9.073117375373840332e-01 1.049257993698119895e+00 -9.924720507115123488e-04 1.066696550697088415e-02 1.897888258099555969e-02 9.997625350952147327e-01
1.273766684997558361e+06 -1.784114342306894474e-03 2.045099033248076043e-03 -2.866456620716434714e-03 9.149660013141424741e+00 -1.810656300748317571e-01 3.574748393727110951e+00 3.094140625000000000e+01 4.270830452442168634e-01 9.072835445404051624e-01 1.049256920814513938e+00 -1.060083275660816731e-03 1.069249399006367077e-02 1.900337822735309601e-02 9.997617006301882103e-01
1.282100684997558361e+06 -8.019316958252920013e-04 8.917191692026467040e-04 -2.873048295143346836e-03 9.120856673451804397e+00 -1.425260639533909579e-01 3.591590457228512889e+00 3.094140625000000000e+01 4.270810484886169434e-01 9.072638750076292835e-01 1.049253582954406738e+00 -1.117385574616491578e-03 1.070637349039316351e-02 1.902931928634643555e-02 9.997609853744505726e-01
1.290433684997558361e+06 -3.036391501350376733e-04 3.190005303168332983e-03 1.145479276494869997e-03 9.124457090913004720e+00 -1.473435097185710752e-01 3.615054275311265553e+00 3.092968750000000000e+01 4.270814955234528143e-01 9.072526097297667347e-01 1.049251675605773926e+00 -1.150264171883463860e-03 1.072403322905302395e-02 1.904662512242794037e-02 9.997605085372924805e-01
1.298767684997558361e+06 -2.901625280259320649e-04 2.798940632033853834e-04 4.637328443859999559e-03 9.161661404678767440e+00 -1.774538677107906359e-01 3.559297362875480708e+00 3.092968750000000000e+01 4.270811378955841064e-01 9.072526693344115101e-01 1.049252867698669434e+00 -1.200742670334875584e-03 1.073529478162527431e-02 1.902160234749316822e-02 9.997607469558716931e-01
1.307100684997558361e+06 2.035686423954158331e-04 -1.167445068288976498e-03 5.171731003469942807e-03 9.129257647527943220e+00 -2.111708081427651207e-01 3.589151979126770975e+00 3.092968750000000000e+01 4.270805418491364081e-01 9.072518944740296520e-01 1.049249410629272461e+00 -1.233305316418464859e-03 1.075704488903284420e-02 1.904831454157828938e-02 9.997600317001342773e-01
1.315433684997558361e+06 1.190218999975289904e-03 -2.905858766668242225e-03 6.507538240477494032e-03 9.102854586145788574e+00 -1.918999459311516720e-01 3.613022490632168626e+00 3.097460937500000000e+01 4.270798265933990479e-01 9.072589874267578125e-01 1.049247622489929199e+00 -1.259593875147457581e-03 1.075734291225671942e-02 1.907979510724543831e-02 9.997593164443967506e-01
1.323766684997558361e+06 2.659302644805815186e-03 -2.607759971019262251e-03 5.958609000650793783e-03 9.129257647527943220e+00 -2.497077843020628074e-01 3.546847294885524526e+00 3.094335937500000000e+01 4.270696938037871759e-01 9.072710275650024414e-01 1.049241781234741211e+00 -1.296349451877176762e-03 1.068007014691829855e-02 1.904683746397494923e-02 9.997607469558716931e-01
1.332100684997558361e+06 -5.295430232081163591e-04 -3.484333671293447093e-03 4.912023471387586687e-03 9.114855977683133048e+00 -2.436850867961009304e-01 3.569381090416708702e+00 3.092187500000000000e+01 4.270666241645812988e-01 9.072794914245603248e-01 1.049242019653320312e+00 -1.307067810557837944e-03 1.070776674896479000e-02 1.907730288803576729e-02 9.997599124908448376e-01
1.340433684997558361e+06 4.456422982161215018e-04 -4.914545106980553954e-03 2.222313138295408178e-03 9.131657925835408918e+00 -2.665679272019340629e-01 3.558577067633254210e+00 3.092187500000000000e+01 4.270624816417694647e-01 9.072890281677246094e-01 1.049243927001953125e+00 -1.314314547926187515e-03 1.071924157440662731e-02 1.909927092492580414e-02 9.997593164443967506e-01
1.348766684997558361e+06 -2.950747783155224790e-04 -3.753856222674513670e-03 8.851938155218595089e-04 9.150860152295159367e+00 -2.436883242487798695e-01 3.567705059831986603e+00 3.089648437500000000e+01 4.270559847354888916e-01 9.072948694229124866e-01 1.049244403839111106e+00 -1.317084534093793113e-03 1.073482818901538849e-02 1.911236532032489430e-02 9.997588396072387695e-01
1.357100684997558361e+06 1.168451785947529969e-03 -3.157593785469526432e-03 -1.542489401199773893e-03 9.113655838529394870e+00 -2.208036492864286493e-01 3.511784052763212927e+00 3.093359375000000000e+01 4.270484745502471924e-01 9.072992801666258655e-01 1.049245834350585938e+00 -1.337324618361945827e-03 1.073604263365269054e-02 1.913454942405223846e-02 9.997584819793698951e-01
