time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
2.530562146440000534e+08 2.266036307313600007e-01 7.057968427322615368e-02 -9.737438989720456628e-02 8.775216597176322963e+00 -5.543589171101672708e-01 -8.212945856970927938e-01 2.815625000000000000e+01 -1.385287642478942871e+00 2.215582430362701138e-01 1.563276648521423118e+00 3.867939710617065430e-01 -1.715119034051895697e-01 -6.845346093177795410e-01 5.936214327812193714e-01
2.530645486440000534e+08 2.000976175197475559e-01 8.437571730572886175e-02 -1.009331010053423627e-01 8.698407691337330050e+00 -5.519434495344960334e-01 -8.178768331412529236e-01 2.819726562500000000e+01 -1.455741167068481445e+00 3.994806706905364990e-01 1.600870966911315918e+00 6.244120597839355469e-01 -3.283130228519440252e-01 -4.403109550476072553e-01 5.553795695304871716e-01
2.530895486440000534e+08 1.760721329911816013e-01 9.582314140677106185e-02 -9.511687224495790627e-02 8.517186679123449622e+00 -1.364503801385833492e-01 -6.168616638595769697e-01 2.815625000000000000e+01 -1.529200673103332297e+00 6.105635762214660645e-01 1.646333217620849609e+00 7.696583867073059082e-01 -4.344572722911834162e-01 -1.488472521305083118e-01 4.435282051563261829e-01
2.534145486440000534e+08 1.805819786880198674e-01 -4.778653303910668226e-02 4.885044989992639447e-02 1.096547055274142402e+01 -7.364022183998235604e-01 -1.385377725593277098e+00 2.816601562500000000e+01 -1.371096730232238770e+00 5.931425094604492188e-01 1.626848936080932617e+00 6.971964240074157715e-01 -2.652901113033295233e-01 -6.645205616950987659e-01 4.416758939623838254e-02
2.534312146440000534e+08 1.384158086908418017e-01 7.544658396230824460e-02 2.033364354817579489e-02 1.093186665643686339e+01 -7.087007451628279942e-01 -1.563612173896776758e+00 2.816796875000000000e+01 -1.229819297790527122e+00 6.178215742111206055e-01 1.614984989166259544e+00 2.596025764942168634e-01 5.452208966016752756e-02 -8.499007821083068848e-01 -4.553048014640808105e-01
2.534395486440000534e+08 1.122878251255090137e-01 1.538203118441795192e-01 7.303983493388643312e-03 1.085745802890533618e+01 -5.930831259493983820e-01 -1.433312697278086079e+00 2.819921875000000000e+01 -1.190360426902770774e+00 6.236526966094970703e-01 1.612647414207458496e+00 1.737582832574844083e-01 1.027903556823728803e-01 -8.350259661674499512e-01 -5.118339061737060547e-01
2.534478816440000534e+08 9.235922336750071460e-02 2.219949953667126885e-01 1.489908338643682051e-02 1.076264703576032744e+01 -3.353585725920402716e-01 -1.104115987652262376e+00 2.821679687500000000e+01 -1.163717150688171165e+00 6.270604133605957031e-01 1.611729621887207031e+00 1.313843727111816684e-01 1.247659176588056806e-01 -8.242975473403929554e-01 -5.363814830780029297e-01
2.534562156440000534e+08 8.523517502911966137e-02 2.520165690182116225e-01 2.431377628324796897e-02 1.065463451192423960e+01 -1.896309191316588316e-01 -9.016513868568090118e-01 2.821679687500000000e+01 -1.145181059837341309e+00 6.288780570030212402e-01 1.612075328826904297e+00 1.116582080721855441e-01 1.353299617767332319e-01 -8.185300230979918323e-01 -5.470162630081176758e-01
2.534645486440000534e+08 8.231550109494452372e-02 2.915211971985955941e-01 5.166280801479831292e-02 1.063543228546449271e+01 -3.427700734806116145e-02 -5.511254509984115924e-01 2.812304687500000000e+01 -1.132350087165832297e+00 6.300308704376220703e-01 1.612507343292236328e+00 1.057454049587250033e-01 1.378747373819350086e-01 -8.176044821739196777e-01 -5.489365458488464355e-01
2.534728816440000534e+08 9.392736760769139492e-02 3.133606778573065355e-01 9.474766571411856464e-02 1.066663590346158408e+01 8.735251786240050276e-02 -3.787997004863858375e-01 2.815039062500000000e+01 -1.122665166854858398e+00 6.305654048919677734e-01 1.613299012184143066e+00 1.061394736170768738e-01 1.363269686698913019e-01 -8.187928199768065296e-01 -5.474740266799926758e-01
