time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
9.343297599999903468e+05 9.531452826786973240e-03 -3.694973415558237828e-02 -8.010935287662101015e-03 9.498900506878108274e+00 -1.293129716517614769e-01 2.378999516560390326e+00 3.023828125000000000e+01 -4.935999512672423761e-01 3.263659179210662842e-01 1.263578891754150391e+00 -2.052407898008823742e-02 -5.527643486857412858e-02 2.277314811944961548e-01 9.719371199607848011e-01
9.426637599999903468e+05 9.531452826786973240e-03 -3.694973415558237828e-02 -8.010935287662101015e-03 9.498900506878108274e+00 -1.293129716517614769e-01 2.378999516560390326e+00 3.023828125000000000e+01 -4.938182830810546320e-01 3.263075053691864014e-01 1.263678789138793945e+00 -2.044175192713731937e-02 -5.539537221193308741e-02 2.278059124946594516e-01 9.719146490097043678e-01
9.509967599999903468e+05 9.531452826786973240e-03 -3.694973415558237828e-02 -8.010935287662101015e-03 9.498900506878108274e+00 -1.293129716517614769e-01 2.378999516560390326e+00 3.023828125000000000e+01 -4.940366148948668878e-01 3.262524902820587158e-01 1.263773560523986816e+00 -2.037275210022920779e-02 -5.551723018288608202e-02 2.278682142496108731e-01 9.718945622444153942e-01
9.593297599999903468e+05 4.410013696147004579e-03 -4.163667942160957647e-02 -4.502306055968896699e-04 9.490499532801967675e+00 -9.800092311670703660e-02 2.335606024282309789e+00 3.025390625000000000e+01 -4.942612648010253351e-01 3.262016773223876953e-01 1.263857483863830344e+00 -2.036810293793672733e-02 -5.562939494848247179e-02 2.279227375984191895e-01 9.718753695487976074e-01
9.676637599999903468e+05 9.865895500190333123e-04 -4.051121596505755096e-02 3.333034871413032355e-03 9.489299393648233050e+00 -8.957085166677135335e-02 2.329741137908444948e+00 3.026757812500000000e+01 -4.944875836372376043e-01 3.261628448963164728e-01 1.263934731483459473e+00 -2.038581669330591720e-02 -5.576590821146960864e-02 2.279713898897171298e-01 9.718557596206663929e-01
9.759967599999903468e+05 -1.947922011806567594e-03 -4.053618282608388579e-02 6.040294380288564399e-03 9.476097862957155726e+00 -6.548405450122796179e-02 2.190019117703977614e+00 3.026757812500000000e+01 -4.947078526020049494e-01 3.261217474937438965e-01 1.264022588729858398e+00 -2.033889293670648746e-02 -5.588598549365991763e-02 2.279796451330184937e-01 9.718478918075560413e-01
9.843297599999903468e+05 2.477681050676556074e-03 -3.794074252474227693e-02 1.190516423998087478e-02 9.448494662421270007e+00 -5.946016992928382372e-02 2.248004099288119839e+00 3.026562500000000000e+01 -4.949273169040679932e-01 3.260884881019591730e-01 1.264101862907409668e+00 -2.033205516636371959e-02 -5.600927025079721622e-02 2.279908359050750732e-01 9.718384146690367542e-01
9.926637599999903468e+05 2.701325570671000986e-04 -3.765942178749296515e-02 1.165433672101669205e-02 9.450894940728735705e+00 -2.935337313501118484e-02 2.210338940288004039e+00 3.021289062500000000e+01 -4.951467812061309814e-01 3.260614871978759766e-01 1.264174818992614746e+00 -2.034462429583067111e-02 -5.614788457751269946e-02 2.280050665140151978e-01 9.718267321586607776e-01
1.000996759999990347e+06 8.351192060782341303e-03 -3.299017380026809942e-02 1.051011780119634823e-02 9.473697584649688253e+00 -4.862391160135671325e-02 2.214732625720996495e+00 3.023242187500000000e+01 -4.953615069389343262e-01 3.260403573513031006e-01 1.264241576194763184e+00 -2.037511765956878315e-02 -5.627259612083430895e-02 2.280296981334686279e-01 9.718131422996522106e-01
1.009330759999990347e+06 6.401523167975237127e-03 -2.955350088805419953e-02 1.642555770000044338e-02 9.492899811109438701e+00 -7.271124834234632406e-02 2.166276886777506405e+00 3.026367187500000000e+01 -4.955773353576660156e-01 3.260225951671600342e-01 1.264300107955932617e+00 -2.042220532894140073e-02 -5.638159811496729762e-02 2.280691862106323242e-01 9.717965126037596546e-01
1.017663759999990347e+06 8.835861006734883893e-03 -2.547175695241059995e-02 1.210749133934597120e-02 9.489299393648233050e+00 -4.260391197262725083e-02 2.183947850589329054e+00 3.024218750000000000e+01 -4.957911968231200617e-01 3.260104954242706299e-01 1.264351725578308105e+00 -2.049011364579206296e-02 -5.649209767580026104e-02 2.281218022108078003e-01 9.717763662338255726e-01
1.025996759999990347e+06 9.572554911359576826e-03 -2.142862788217106060e-02 1.451194746758873062e-02 9.467696888881016903e+00 -5.344049404582240648e-02 2.196008665430594142e+00 3.024218750000000000e+01 -4.959963560104369562e-01 3.260016441345214844e-01 1.264416933059692383e+00 -2.063795924186700645e-02 -5.671337991952891955e-02 2.281825095415115634e-01 9.717460870742796741e-01
1.034330759999990347e+06 1.691743853845574519e-02 -1.733873458193741640e-02 1.283766056949103666e-02 9.546906073027480844e+00 -1.004145561358600336e-01 2.191401090642655536e+00 3.024609375000000000e+01 -4.961985647678375244e-01 3.259988725185394287e-01 1.264458894729614258e+00 -2.067678794264798947e-02 -5.679196119308468210e-02 2.282437980175018311e-01 9.717262983322143555e-01
1.042663759999990347e+06 1.766072197335363109e-02 -1.821506292874966113e-02 1.524782585602625640e-02 9.542105516412542343e+00 -1.232954540700860052e-01 2.167965845665805080e+00 3.018750000000000000e+01 -4.963952898979187012e-01 3.259952962398529053e-01 1.264500141143798828e+00 -2.073343656957143955e-02 -5.686664953827855196e-02 2.283232659101486761e-01 9.717019796371458851e-01
1.050996759999990463e+06 1.741731830626449054e-02 -1.677547270870092394e-02 1.658985768902304647e-02 9.606913030714194335e+00 -1.269141229998421716e-01 2.177646910492796017e+00 3.018750000000000000e+01 -4.965875744819640558e-01 3.259930610656738281e-01 1.264547228813171165e+00 -2.082663960754876920e-02 -5.695401132106776843e-02 2.283941209316253662e-01 9.716782569885252796e-01
1.059329759999990463e+06 2.010537855903622717e-02 -1.963655541684965547e-02 1.200952211594810866e-02 9.564908160333494891e+00 -1.124589799119802835e-01 2.206438706651599801e+00 3.023046875000000000e+01 -4.967800676822662354e-01 3.259953260421752930e-01 1.264586567878723145e+00 -2.095713093876827582e-02 -5.704818665981288561e-02 2.285137325525284091e-01 9.716418385505676270e-01
1.067663759999990463e+06 1.520498797094323520e-02 -1.677474802601937667e-02 1.446094785884540282e-02 9.548106212181215469e+00 -1.750800553595887599e-01 2.165553491837220790e+00 3.024218750000000000e+01 -4.969642162322998602e-01 3.259977102279663086e-01 1.264618277549743652e+00 -2.103694528341288131e-02 -5.708384141325947847e-02 2.286482453346252441e-01 9.716063737869262695e-01
1.075996759999990463e+06 1.373555345109202762e-02 -1.736097184208820754e-02 1.474186748236223227e-02 9.555307047103619666e+00 -1.919406299198172794e-01 2.230118075727921756e+00 3.024804687500000000e+01 -4.971390962600708008e-01 3.259964883327484131e-01 1.264662384986877441e+00 -2.114114910364156552e-02 -5.716516450047488124e-02 2.287638783454895297e-01 9.715721011161805309e-01
1.084329759999990463e+06 9.303638244542108277e-03 -1.359381996899475253e-02 9.674645647625599795e-03 9.521703150799059046e+00 -1.919376082973169306e-01 2.177683617291056528e+00 3.024609375000000000e+01 -4.972961544990540106e-01 3.260199129581451416e-01 1.264716148376464844e+00 -2.112855389714246232e-02 -5.725321918725963244e-02 2.287755608558654785e-01 9.715644121170046166e-01
1.092663759999990463e+06 5.608396767260534488e-03 -1.126920786241708203e-02 4.334806273599651691e-03 9.539705238105074869e+00 -1.979606295485466516e-01 2.230337518605284064e+00 3.023632812500000000e+01 -4.974647760391235352e-01 3.260402083396912176e-01 1.264791846275329590e+00 -2.108228951692580830e-02 -5.739663168787953462e-02 2.288200110197068093e-01 9.715464711189270020e-01
1.100996759999990463e+06 2.661220566588656800e-03 -9.540328048083933365e-03 3.283214497322383806e-03 9.549306351334946541e+00 -2.280685054937124367e-01 2.202002840660890470e+00 3.023632812500000000e+01 -4.976103603839873712e-01 3.260460495948791504e-01 1.264851927757263184e+00 -2.098064124584197651e-02 -5.740158259868617663e-02 2.288102656602859497e-01 9.715507030487059437e-01
