time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
9.927446510000227718e+05 -4.962834341873396948e-03 2.771367204086067071e-02 1.269347907601013278e-02 9.912948514916445575e+00 -1.257373608426353151e-01 1.208130261113016246e-01 3.279101562500000000e+01 -9.376558661460876465e-01 1.937841057777404785e+00 1.079484105110168457e+00 9.351316094398487433e-02 -1.331719905138014637e-01 5.463870167732238770e-01 -8.215727210044860840e-01
1.001078651000022772e+06 -9.133475036941091085e-03 2.770109835657004471e-02 1.165382105401457057e-02 9.922549628146317247e+00 -1.148996996185472769e-01 1.253772807268236367e-01 3.279101562500000000e+01 -9.376615285873410865e-01 1.937826156616210715e+00 1.079442501068115234e+00 9.342563152313215769e-02 -1.331965178251265092e-01 5.463382005691528320e-01 -8.216111063957214355e-01
1.009411651000022772e+06 -7.427817897093859020e-03 2.945842472335705522e-02 8.686119856181345397e-03 9.927350184761252194e+00 -1.341686193585533982e-01 1.864494923013888528e-01 3.272265625000000000e+01 -9.376818537712096058e-01 1.937835574150085227e+00 1.079399704933166504e+00 9.333995729684835263e-02 -1.331858187913893543e-01 5.463146567344665527e-01 -8.216382861137390137e-01
1.017745651000022772e+06 -1.087895395724492419e-02 3.091969665072568166e-02 2.540267881778331474e-03 1.000415909060025044e+01 -1.100899158247073961e-01 2.065321590764839232e-01 3.276171875000000000e+01 -9.376987814903260388e-01 1.937832355499267578e+00 1.079366207122802734e+00 9.322260320186616378e-02 -1.330928504467009110e-01 5.463415980339049183e-01 -8.216487169265747070e-01
1.026078651000022772e+06 -1.284583229511641715e-02 2.630141726760398813e-02 -1.732015967599854350e-03 9.983756724986767139e+00 -9.804527621840876395e-02 2.209176483452655326e-01 3.276562500000000000e+01 -9.377274513244628906e-01 1.937848448753356712e+00 1.079341292381286621e+00 9.311321377754216977e-02 -1.329796463251113059e-01 5.463915467262268066e-01 -8.216462731361389160e-01
1.034411651000022772e+06 -9.659479496654431452e-03 2.573862069342094938e-02 -2.293823969036580535e-03 9.956153524450876091e+00 -6.071009851703534910e-02 2.765380076851496893e-01 3.276562500000000000e+01 -9.377263784408568226e-01 1.937816143035888894e+00 1.079306602478027122e+00 9.291844815015798398e-02 -1.329656541347503107e-01 5.463698506355285645e-01 -8.216850757598878063e-01
1.042744651000022772e+06 -5.981704675287295714e-03 1.940159037087971217e-02 -5.267991858908969635e-03 9.964554498527016690e+00 -5.228089038781392334e-02 2.728908498134268723e-01 3.274023437500000000e+01 -9.377384185791015625e-01 1.937822818756103516e+00 1.079308629035949707e+00 9.290646761655807495e-02 -1.328793913125991266e-01 5.464143753051757812e-01 -8.216708302497862659e-01
1.051078651000022888e+06 -2.529185290409824427e-03 1.360714968843516025e-02 -7.271750867985665332e-04 9.947752550374735492e+00 -7.721000892375927925e-03 2.742808483985779144e-01 3.276953125000000000e+01 -9.377594590187071644e-01 1.937847614288330078e+00 1.079322338104248047e+00 9.289210289716726132e-02 -1.327930092811583640e-01 5.464854240417480469e-01 -8.216391205787657581e-01
1.059411651000022888e+06 -8.070975506594065289e-04 1.244934550468914866e-02 8.703546793357372358e-04 9.956153524450876091e+00 -1.253887831791311580e-02 3.035558895407564628e-01 3.277734375000000000e+01 -9.377645254135132946e-01 1.937852621078491211e+00 1.079341888427734375e+00 9.287970513105398007e-02 -1.327371299266814630e-01 5.465005040168763317e-01 -8.216395974159239612e-01
1.067745651000022888e+06 1.418505509378865936e-03 6.940365087695927332e-03 5.152408926692116087e-03 9.990957559909171337e+00 -1.615484937043698555e-02 3.289366545637604222e-01 3.277734375000000000e+01 -9.377390146255490944e-01 1.937831640243530495e+00 1.079364061355590820e+00 9.283319115638727359e-02 -1.326828896999358298e-01 5.465156435966491699e-01 -8.216434121131898083e-01
1.076078651000022888e+06 5.108096241922328862e-03 5.832575228823817098e-04 6.471768223229325788e-03 9.963354359373282065e+00 -7.275355105735148431e-02 2.705651413212876721e-01 3.273242187500000000e+01 -9.376975893974304199e-01 1.937798023223876731e+00 1.079395651817321555e+00 9.281816333532329211e-02 -1.326588541269301535e-01 5.464856624603271484e-01 -8.216690421104430042e-01
