time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
9.432198539999128552e+05 6.862223960889744486e-04 -2.595961785151046537e-03 1.680951825820883871e-03 9.143659317372755169e+00 -2.545262013030465398e-01 3.532542110236650323e+00 3.180664062500000000e+01 2.255279272794723511e-01 7.717376947402954102e-01 1.052089691162109153e+00 -1.036748522892649849e-03 -1.073076762259003551e-02 1.461690068244934082e-01 -9.892009496688840553e-01
9.515528539999128552e+05 6.862223960889744486e-04 -2.595961785151046537e-03 1.680951825820883871e-03 9.143659317372755169e+00 -2.545262013030465398e-01 3.532542110236650323e+00 3.180664062500000000e+01 2.255251407623291293e-01 7.717460393905638538e-01 1.052089214324951172e+00 -1.030754647217746456e-03 -1.073971111327406795e-02 1.461711078882217407e-01 -9.892004728317260742e-01
9.598868539999128552e+05 6.862223960889744486e-04 -2.595961785151046537e-03 1.680951825820883871e-03 9.143659317372755169e+00 -2.545262013030465398e-01 3.532542110236650323e+00 3.180664062500000000e+01 2.255242019891738892e-01 7.717522382736206055e-01 1.052089452743530273e+00 -1.012173248454928398e-03 -1.073221769183872742e-02 1.461686789989471436e-01 -9.892010092735289417e-01
9.682198539999128552e+05 -1.033225496480917605e-03 -2.308806800874682597e-03 6.211204565099767011e-04 9.152060291448895768e+00 -2.376670296389790105e-01 3.545349588967993348e+00 3.181835937500000000e+01 2.255264967679977139e-01 7.717518210411070667e-01 1.052084207534790039e+00 -1.017721020616646488e-03 -1.075408514589068325e-02 1.461854875087738037e-01 -9.891982078552246094e-01
9.765528539999128552e+05 1.159259152900937511e-03 2.055007962570180001e-03 -2.353570739784767440e-03 9.125657230066739345e+00 -2.472988995468388129e-01 3.536315997590368632e+00 3.179101562500000000e+01 2.255270183086395264e-01 7.717536687850952148e-01 1.052085280418395996e+00 -9.890485089272258497e-04 -1.073286030441519823e-02 1.461829096078872681e-01 -9.891988635063171387e-01
9.848858539999128552e+05 -5.523426869416049904e-04 8.852250854010419332e-04 -1.264959351687206662e-03 9.143659317372755169e+00 -2.087635421138805680e-01 3.543102770327636986e+00 3.179101562500000000e+01 2.255255877971648892e-01 7.717500925064088024e-01 1.052088975906372070e+00 -9.889771463349459387e-04 -1.071488019078967180e-02 1.461829543113708496e-01 -9.891991615295409046e-01
9.932198539999128552e+05 -8.053835262686604964e-04 2.918632933277751085e-03 -3.143744574179077513e-03 9.188064466060925639e+00 -2.171974985070310726e-01 3.550718307046519584e+00 3.177734375000000000e+01 2.255246043205260675e-01 7.717456221580505371e-01 1.052091598510741965e+00 -9.931257227435152934e-04 -1.071825250983235445e-02 1.461864858865737915e-01 -9.891985654830931507e-01
1.001552853999912855e+06 2.625241842308785600e-03 4.668145542714113513e-03 -2.905186642337327999e-03 9.122056812605535470e+00 -1.714289039879535181e-01 3.569249980301533398e+00 3.174218750000000000e+01 2.255261540412902832e-01 7.717421054840086780e-01 1.052092671394347922e+00 -1.012278837151769917e-03 -1.073112059384581651e-02 1.461859047412872314e-01 -9.891984462738034889e-01
1.009886853999912855e+06 4.188194625756799794e-04 4.658831604259508312e-03 -2.887332879310177455e-03 9.138858760757816668e+00 -2.147845129784136109e-01 3.572561823492425681e+00 3.178710937500000000e+01 2.255286425352096280e-01 7.717338204383850098e-01 1.052094578742980735e+00 -1.005115103907827656e-03 -1.071756985038517518e-02 1.461831480264663696e-01 -9.891989827156066895e-01
1.018219853999912855e+06 -8.001405763147158593e-04 1.754839402820177179e-03 -1.800673997063143017e-03 9.166461961293705940e+00 -1.894971044209284305e-01 3.623893241362448059e+00 3.178320312500000000e+01 2.255295813083648682e-01 7.717264890670776367e-01 1.052092194557189941e+00 -1.018969109281953056e-03 -1.072811428457497163e-02 1.461843699216842651e-01 -9.891986846923827015e-01
1.026552853999912855e+06 4.336995847675356730e-04 2.901220445973960813e-03 1.676554753294419919e-03 9.138858760757816668e+00 -2.063545494435672367e-01 3.599596767414289022e+00 3.182031250000000000e+01 2.255322635173797607e-01 7.717197537422179066e-01 1.052093982696533203e+00 -1.021643984131570320e-03 -1.072107255458829012e-02 1.461759507656097412e-01 -9.892000555992126465e-01
1.034886853999912855e+06 -7.982392235826863943e-04 8.854450309925481584e-04 -1.531321049390346398e-03 9.161661404678767440e+00 -1.630025016510540659e-01 3.591032080444145791e+00 3.182031250000000000e+01 2.255345433950423917e-01 7.717164158821107067e-01 1.052095293998718262e+00 -1.037557958625312310e-03 -1.072327420115467937e-02 1.461744457483291626e-01 -9.892002344131468616e-01
1.043219853999912855e+06 1.173751655664953542e-03 5.867766523465021283e-04 2.209981059979099563e-03 9.124457090913004720e+00 -1.870847663828467955e-01 3.619773696185876855e+00 3.179101562500000000e+01 2.255357801914215088e-01 7.717162370681761585e-01 1.052095174789428711e+00 -1.061417860910240712e-03 -1.073278859257696671e-02 1.461813151836395264e-01 -9.891991019248961292e-01
1.051552853999912739e+06 1.420460175568863176e-03 -5.697078578504625665e-04 2.209340639894568498e-03 9.124457090913004720e+00 -1.750419613330662649e-01 3.604485859735616859e+00 3.179687500000000000e+01 2.255372405052184781e-01 7.717184424400329590e-01 1.052094459533691406e+00 -1.062509370967690270e-03 -1.074006501585242357e-02 1.461738795042037964e-01 -9.892001152038573109e-01
1.059885853999912739e+06 1.951678172553150410e-04 -2.596776721610050218e-03 1.416573879565206223e-03 9.132858064989148872e+00 -1.870855217884719590e-01 3.593793953200645319e+00 3.179687500000000000e+01 2.255343496799468717e-01 7.717119455337523304e-01 1.052093625068664329e+00 -1.027746591717060287e-03 -1.075889170169828761e-02 1.461402922868728638e-01 -9.892048835754393421e-01
1.068219853999912739e+06 4.476740595259279254e-04 -2.030785247498013632e-03 4.365718403092879590e-03 9.130457786681676069e+00 -2.015366720180299942e-01 3.563268188059578456e+00 3.182031250000000000e+01 2.255357950925827304e-01 7.717208266258238636e-01 1.052091956138610840e+00 -1.021981122903470318e-03 -1.075973082333801616e-02 1.461457312107085904e-01 -9.892040491104125977e-01
1.076552853999912739e+06 6.848188960062243091e-04 -3.748461866830445771e-03 6.089133605814145422e-04 9.144859456526488017e+00 -2.352578211384870888e-01 3.579540744440469435e+00 3.180664062500000000e+01 2.255381494760513306e-01 7.717289924621582031e-01 1.052092313766479492e+00 -1.013156259432435036e-03 -1.075688656419512834e-02 1.461459249258041104e-01 -9.892041087150572620e-01
1.084886853999912739e+06 -5.030435555078427434e-05 -3.463441492562132837e-03 8.828742312336646664e-04 9.143659317372755169e+00 -2.376662742333538469e-01 3.576031690761579007e+00 3.179492187500000000e+01 2.255378961563110352e-01 7.717386484146118164e-01 1.052093625068664329e+00 -9.966309880837798119e-04 -1.074130740016696062e-02 1.461488008499145508e-01 -9.892038702964782715e-01
1.093219853999912739e+06 -5.437213953585900983e-04 -1.150472472168200845e-03 8.841550714027249539e-04 9.149660013141424741e+00 -2.099683621943050915e-01 3.537141932035732683e+00 3.177734375000000000e+01 2.255359292030334473e-01 7.717438340187071644e-01 1.052095174789428711e+00 -9.761496912688015807e-04 -1.072737853974101152e-02 1.461493670940399170e-01 -9.892038702964782715e-01
1.101552853999912739e+06 -3.011664559394305342e-04 -8.562932591297613182e-04 7.679913966272822190e-05 9.134058204142879944e+00 -2.208054838429467648e-01 3.531485494531894531e+00 3.177539062500000000e+01 2.255318909883499146e-01 7.717500329017638050e-01 1.052095293998718262e+00 -9.683336829767185154e-04 -1.071950141340491207e-02 1.461486667394638062e-01 -9.892041087150572620e-01
1.109885853999912739e+06 9.219839078428646029e-04 1.953035059244594140e-05 -4.708180143979736622e-04 9.135258343296616346e+00 -2.280312747879043589e-01 3.532647505065093618e+00 3.177539062500000000e+01 2.255302965641021729e-01 7.717522978782652698e-01 1.052094101905822754e+00 -9.636753238737584245e-04 -1.072519365698096361e-02 1.461466997861861905e-01 -9.892043471336364746e-01
1.118219853999912739e+06 9.186790550280988761e-04 -2.635753592593264943e-04 -1.812209427310241183e-03 9.160461265525036367e+00 -2.208078579749112869e-01 3.542874401572183807e+00 3.182226562500000000e+01 2.255236506462096890e-01 7.717423439025880016e-01 1.052086114883422852e+00 -9.073831606656314027e-04 -1.072728820145127208e-02 1.460992395877838135e-01 -9.892114400863647461e-01
1.126552853999912739e+06 6.689430685158023748e-04 2.052938198469156719e-03 -2.349603236889843266e-03 9.134058204142879944e+00 -2.159883618230345192e-01 3.545590502827715262e+00 3.182421875000000000e+01 2.255226820707320889e-01 7.717447280883789062e-01 1.052085757255553977e+00 -9.287300053985038080e-04 -1.071962155401705134e-02 1.461124718189239502e-01 -9.892095327377320446e-01
1.134886853999912739e+06 -6.769391634540294911e-05 2.917973096503228940e-03 -2.344659481069658741e-03 9.102854586145788574e+00 -2.147812755257346717e-01 3.590696109906388767e+00 3.182421875000000000e+01 2.255133539438247958e-01 7.717486619949340820e-01 1.052079916000366211e+00 -8.930296171457129421e-04 -1.069944910705086794e-02 1.460925489664077481e-01 -9.892127513885498047e-01
1.143219853999912739e+06 1.784800065020714088e-04 4.360887908295009441e-03 -1.274940600118385989e-03 9.140058899911551293e+00 -1.774519252391833501e-01 3.606621215488607923e+00 3.178125000000000000e+01 2.255051434040069303e-01 7.717521786689758301e-01 1.052073717117309570e+00 -9.019699646161116746e-04 -1.070837769657370653e-02 1.460902839899063110e-01 -9.892129898071287952e-01
1.151552853999912739e+06 4.301540901535393395e-04 5.974751102571810787e-04 -7.358676263351167672e-04 9.154460569756365018e+00 -2.075602328447062328e-01 3.557059197455600952e+00 3.182031250000000000e+01 2.255102097988128662e-01 7.717483639717102051e-01 1.052075624465942383e+00 -9.342228295281528342e-04 -1.071486435830591548e-02 1.461098492145538330e-01 -9.892100095748899147e-01
1.159886853999912739e+06 6.771399962638285919e-04 8.841253574435048446e-04 6.684913682848681038e-05 9.152060291448895768e+00 -1.894958094398568327e-01 3.601757213375816669e+00 3.177343750000000000e+01 2.255040705204010010e-01 7.717499732971190296e-01 1.052071571350097656e+00 -9.267972200177055893e-04 -1.070656534284351868e-02 1.460923552513122281e-01 -9.892126917839048073e-01
1.168219853999912739e+06 -5.490010897196903605e-04 5.908259267710935791e-04 -1.912417222440735559e-04 9.123256951759273647e+00 -2.159873905872307931e-01 3.593939812878140572e+00 3.177148437500000000e+01 2.255107611417770386e-01 7.717447876930236816e-01 1.052075028419494629e+00 -9.518049773760142111e-04 -1.072755828499791231e-02 1.461094170808792114e-01 -9.892098307609558105e-01
1.176552853999912739e+06 9.256028912711655732e-04 1.168265949345786807e-03 1.406256798293295876e-03 9.156860848063832492e+00 -1.870876800902578907e-01 3.588757967137201632e+00 3.180078125000000000e+01 2.255062758922576904e-01 7.717357873916627087e-01 1.052072405815124290e+00 -9.165419032797772481e-04 -1.073755603283640774e-02 1.460598409175872803e-01 -9.892170429229736328e-01
1.184885853999912739e+06 -7.874024486541203460e-04 -1.154017009502751254e-03 1.422829721151383855e-03 9.108855281914461699e+00 -1.991261685364665301e-01 3.576498905247512461e+00 3.182812500000000000e+01 2.255084961652756015e-01 7.717391848564149059e-01 1.052069902420043945e+00 -8.973867516033905449e-04 -1.072199549525973405e-02 1.460545510053634644e-01 -9.892180562019347034e-01
1.193219853999912739e+06 -2.926553975778761751e-04 -1.159476211253843841e-03 3.028934913160061509e-03 9.130457786681676069e+00 -1.798596229284250003e-01 3.600877751944821625e+00 3.182812500000000000e+01 2.255132943391799927e-01 7.717249393463134766e-01 1.052076816558837891e+00 -8.850654121488332748e-04 -1.072526164352891054e-02 1.460469514131546021e-01 -9.892191886901854359e-01
1.201552853999912739e+06 2.158961768754936051e-03 -1.726632259230444699e-03 2.741423615216318204e-03 9.131657925835408918e+00 -2.316437925575705603e-01 3.600883302971432443e+00 3.179492187500000000e+01 2.255202978849411288e-01 7.717294692993165173e-01 1.052079319953918457e+00 -9.039697470142881190e-04 -1.073104422539469804e-02 1.460808813571929932e-01 -9.892140626907347523e-01
1.209886853999912739e+06 -5.118982762791073770e-05 -1.152167190993235064e-03 1.685223915959602886e-03 9.108855281914461699e+00 -2.220074981310494744e-01 3.570630780350975808e+00 3.183398437500000000e+01 2.255161106586456021e-01 7.717382311820982776e-01 1.052073359489440696e+00 -8.936907979659736156e-04 -1.072370912879702654e-02 1.460732817649841309e-01 -9.892152547836303711e-01
1.218219853999912739e+06 -1.030234774279686905e-03 -2.891330979924479783e-03 1.426828469643244210e-03 9.162861543832503841e+00 -2.268294763299801564e-01 3.551072751922848880e+00 3.183398437500000000e+01 2.255140691995620728e-01 7.717455029487609863e-01 1.052070260047912376e+00 -8.676052093505304263e-04 -1.070774346590040726e-02 1.460661888122558316e-01 -9.892165064811705433e-01
1.226552853999912739e+06 -5.489276009053856153e-04 -5.641838101923439888e-04 -7.265892891823427097e-04 9.167662100447440565e+00 -2.316470300102495550e-01 3.592153734174178048e+00 3.178515625000000000e+01 2.255120277404784879e-01 7.717546224594115101e-01 1.052065968513488770e+00 -8.621158776805359913e-04 -1.069461647421118822e-02 1.460717320442199707e-01 -9.892159104347229004e-01
1.234885853999912739e+06 -2.016571001246018902e-03 -2.872873926436448136e-04 6.267046324146888225e-04 9.135258343296616346e+00 -1.979242621634529631e-01 3.557321963001186305e+00 3.180468750000000000e+01 2.255058288574218750e-01 7.717586159706115723e-01 1.052061200141906738e+00 -8.552209474145811008e-04 -1.070573274046179857e-02 1.460563838481903076e-01 -9.892180562019347034e-01
1.243219853999912739e+06 -1.035090104805784506e-03 -2.016917297528774203e-03 8.409372536804377019e-05 9.147259734833955491e+00 -2.123767073740826516e-01 3.568917250782256634e+00 3.176757812500000000e+01 2.255082428455352783e-01 7.717585563659669079e-01 1.052062869071960449e+00 -8.984048618003726006e-04 -1.073355507105585964e-02 1.460870802402496338e-01 -9.892131686210632324e-01
1.251552853999912739e+06 4.274407541586879868e-04 2.623134046690266293e-03 -7.382184562202480068e-04 9.167662100447440565e+00 -2.003357368808201533e-01 3.558048189973526121e+00 3.182421875000000000e+01 2.255060076713562012e-01 7.717631459236146130e-01 1.052060365676879883e+00 -8.896276121958534037e-04 -1.073571760207413239e-02 1.460783481597900391e-01 -9.892143607139587402e-01
