time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
9.880944440002440242e+05 -1.526254916860890487e-03 -2.852176285426206645e-04 6.227371295197681178e-04 9.084852498839774526e+00 -1.834683636699658282e-01 3.635605296186993574e+00 3.070507812500000000e+01 4.262389838695526123e-01 1.258072853088378906e+00 1.050016403198241965e+00 -4.118820652365572620e-03 -1.408699341118336244e-02 -2.736821956932544708e-02 -9.995176792144776501e-01
9.964274440002440242e+05 -1.526254916860890487e-03 -2.852176285426206645e-04 6.227371295197681178e-04 9.084852498839774526e+00 -1.834683636699658282e-01 3.635605296186993574e+00 3.070507812500000000e+01 4.262341856956481378e-01 1.258068442344665527e+00 1.050013899803161621e+00 -4.161200020462329195e-03 -1.413693279027939190e-02 -2.738666348159312855e-02 -9.995163679122924805e-01
1.004761444000244024e+06 -7.908542790974886242e-04 8.728967545723541029e-04 1.152133442115654480e-03 9.101654446992052172e+00 -1.509543008468085534e-01 3.621250720810976098e+00 3.070507812500000000e+01 4.262330830097198486e-01 1.258067131042480469e+00 1.050005197525024414e+00 -4.185053985565900803e-03 -1.415095478296280254e-02 -2.737870439887046120e-02 -9.995162487030029297e-01
1.013094444000244024e+06 4.344179038597225664e-04 -2.585703218423383506e-03 -7.321734650870564574e-04 9.128057508374208595e+00 -1.967193341679391583e-01 3.627956916270720811e+00 3.070898437500000000e+01 4.262243509292602539e-01 1.258078455924987571e+00 1.050009250640869141e+00 -4.135750699788387497e-03 -1.424318458884954453e-02 -2.732632309198379170e-02 -9.995166063308713600e-01
1.021428444000244024e+06 -2.266861760171073447e-03 -8.570433496817383588e-04 -1.517403543661182330e-03 9.100454307838319323e+00 -1.738355225263022719e-01 3.627155174298079210e+00 3.072460937500000000e+01 4.262022078037261408e-01 1.258066534996032715e+00 1.049993276596069114e+00 -4.119031596928889559e-03 -1.420166157186031515e-02 -2.740337140858172676e-02 -9.995151758193967506e-01
1.029761444000244024e+06 6.816811961763979966e-04 -8.559182138537711716e-04 8.739004813246852325e-04 9.104054725299523199e+00 -1.629973217267676744e-01 3.620046938706487083e+00 3.072460937500000000e+01 4.262029230594635010e-01 1.258067727088928223e+00 1.049992561340332031e+00 -4.150272812694367520e-03 -1.419864129275084062e-02 -2.740182913839816700e-02 -9.995150566101073109e-01
1.038094444000244024e+06 -5.368269717985484790e-05 -2.591537465450464723e-03 7.683038525966787158e-05 9.107655142760723521e+00 -1.557719624421672888e-01 3.621169382126447012e+00 3.067578125000000000e+01 4.262011945247649591e-01 1.258068561553955078e+00 1.049990892410278320e+00 -4.178829491138347230e-03 -1.420389115810394634e-02 -2.738308161497115742e-02 -9.995154142379759632e-01
1.046428444000244024e+06 1.416841192140562422e-03 -1.718443456603804299e-03 3.322658272033006399e-04 9.111255560221927396e+00 -1.666108107322376297e-01 3.658742861795817536e+00 3.070312500000000000e+01 4.261796176433563232e-01 1.258059382438659668e+00 1.049980401992797852e+00 -4.137453623116071899e-03 -1.415724772959947933e-02 -2.746354974806308052e-02 -9.995139837265011318e-01
1.054761444000243908e+06 1.853469229816523671e-04 8.845652486265200053e-04 -4.658742585777891909e-04 9.134058204142879944e+00 -1.690214221288904306e-01 3.621983669203356904e+00 3.065234375000000000e+01 4.261809289455413818e-01 1.258068323135375977e+00 1.049984931945800781e+00 -4.134000279009231171e-03 -1.417727675288916328e-02 -2.740789204835892071e-02 -9.995152950286864124e-01
1.063094444000243908e+06 -3.048956725891782140e-04 -2.725142524379426875e-04 -9.972543226211359052e-04 9.136458482450349194e+00 -1.666130769491129815e-01 3.603139837179807792e+00 3.066015625000000000e+01 4.261843562126160223e-01 1.258067846298217551e+00 1.049984693527221680e+00 -4.156846553087233630e-03 -1.418002415448427200e-02 -2.738322503864764820e-02 -9.995157718658448376e-01
1.071427444000243908e+06 -3.735594529980908185e-03 -8.670171249108690661e-04 -7.004646875246149651e-04 9.074051246456166453e+00 -1.449304162748645264e-01 3.585188526228026085e+00 3.066015625000000000e+01 4.261899590492248535e-01 1.258066415786743164e+00 1.049985885620117188e+00 -4.180913325399215896e-03 -1.418028865009546800e-02 -2.736719883978366505e-02 -9.995161294937132679e-01
1.079761444000243908e+06 -1.281484494096159221e-03 5.197101569760601544e-06 6.204175452315750100e-04 9.132858064989148872e+00 -1.738384362337133671e-01 3.617300059886999986e+00 3.070117187500000000e+01 4.261922836303710938e-01 1.258067131042480469e+00 1.049985647201538086e+00 -4.196362104266937454e-03 -1.417213119566440409e-02 -2.737482264637946736e-02 -9.995160102844237171e-01
1.088094444000243908e+06 2.642447681067638943e-03 1.174255296057350861e-03 1.660715987311668293e-03 9.087252777147242000e+00 -1.389102008159565083e-01 3.601460701905414119e+00 3.068750000000000000e+01 4.261959791183472235e-01 1.258066892623901145e+00 1.049983501434325950e+00 -4.207159858197028444e-03 -1.418693456798792406e-02 -2.736660093069076538e-02 -9.995160102844237171e-01
1.096428444000243908e+06 1.659877415158196373e-03 2.617015008164650259e-03 1.666971828897847660e-03 9.090853194608444099e+00 -1.605875736508293183e-01 3.659023859801089795e+00 3.066992187500000000e+01 4.262036085128784180e-01 1.258068323135375977e+00 1.049985408782958762e+00 -4.206782206892856202e-03 -1.420889887958765550e-02 -2.735842205584048878e-02 -9.995158910751342773e-01
1.104761444000243908e+06 6.795961214086307378e-04 2.901000500382452853e-03 1.942916450997557920e-03 9.164061682986238466e+00 -1.798626445509253491e-01 3.628624826637824707e+00 3.066406250000000000e+01 4.262354671955108643e-01 1.258069753646850364e+00 1.050027608871459961e+00 -4.021156579256112383e-03 -1.391210220754146923e-02 -2.742756903171539654e-02 -9.995189905166625977e-01
1.113094444000243908e+06 1.416547236883350380e-03 2.901595491249949442e-03 2.473656094956375520e-03 9.032046376075463456e+00 -1.882807374259488908e-01 3.623409857554456881e+00 3.066406250000000000e+01 4.262180924415587824e-01 1.258056044578552246e+00 1.050005674362182617e+00 -4.026589449495077133e-03 -1.395646762102842678e-02 -2.748572081327437661e-02 -9.995167255401612438e-01
1.121427444000243908e+06 -7.918132399889130091e-04 4.339180793104689335e-03 2.489830693779860118e-03 9.099254168684584698e+00 -1.702225730962788619e-01 3.643628560393143090e+00 3.067578125000000000e+01 4.262288212776184082e-01 1.258062124252319114e+00 1.050009369850158691e+00 -4.046996589750107010e-03 -1.410811208188533956e-02 -2.739842049777507088e-02 -9.995168447494503505e-01
1.129761444000243908e+06 1.165334261474026750e-03 5.220618704262471044e-03 1.399571387075571527e-03 9.148459873987693669e+00 -1.401199849904887218e-01 3.678199389775099970e+00 3.067578125000000000e+01 4.262353479862212580e-01 1.258060336112976074e+00 1.050002694129943848e+00 -4.098612815141732500e-03 -1.413985621184111162e-02 -2.738687768578528664e-02 -9.995164871215820312e-01
1.138094444000243908e+06 -3.082170944547560354e-04 5.507553742947327025e-03 6.061017154678060431e-04 9.028445958614263134e+00 -1.653990840860979916e-01 3.632854795645524604e+00 3.068750000000000000e+01 4.262405931949616034e-01 1.258060097694396751e+00 1.049999117851257102e+00 -4.130310378968715668e-03 -1.417048368602991451e-02 -2.735362015664576790e-02 -9.995168447494505726e-01
1.146428444000243908e+06 -6.499714940136347430e-05 6.955487865307186796e-03 6.024387998166801789e-04 9.048848324227744655e+00 -1.473367110679453251e-01 3.644319354014923906e+00 3.068750000000000000e+01 4.262575507164001465e-01 1.258068323135375977e+00 1.050003528594970703e+00 -4.143281839787960052e-03 -1.415149867534637625e-02 -2.737927250564097664e-02 -9.995163679122924805e-01
1.154761444000243908e+06 -7.915927735460126513e-04 8.741515822143740289e-04 8.837879929650526573e-04 9.120856673451804397e+00 -1.449346249633469697e-01 3.683287488056049774e+00 3.068164062500000000e+01 4.262637197971343994e-01 1.258069992065429688e+00 1.049995541572570801e+00 -4.167977720499094207e-03 -1.418547984212637642e-02 -2.738453075289726257e-02 -9.995156526565550648e-01
1.163094444000243908e+06 1.863628036365624907e-04 2.326445178367788323e-03 6.058283738209456482e-04 9.096853890377117224e+00 -1.762437597909905507e-01 3.642488918578116852e+00 3.075000000000000000e+01 4.262704551219940186e-01 1.258084177970886230e+00 1.050002813339233176e+00 -4.149816464632749557e-03 -1.419176161289214914e-02 -2.737820707261562000e-02 -9.995157718658448376e-01
1.171428444000243908e+06 -1.030214598923342778e-03 2.594337856830844068e-03 4.103902137175317530e-03 9.092053333762178724e+00 -1.593834010609405105e-01 3.636670457066339956e+00 3.068945312500000000e+01 4.262712597846984863e-01 1.258081078529357910e+00 1.049998998641967551e+00 -4.172483924776204667e-03 -1.424880139529705568e-02 -2.736678719520568501e-02 -9.995152950286864124e-01
1.179761444000243908e+06 1.910294976355516715e-03 -4.608917345479455509e-03 6.331120356510913649e-05 9.104054725299523199e+00 -1.678144437466799199e-01 3.642385211175414472e+00 3.067773437500000000e+01 4.262658655643463135e-01 1.258087396621704102e+00 1.050002574920654297e+00 -4.151644650846775253e-03 -1.433702465146780361e-02 -2.734077908098697662e-02 -9.995148181915283203e-01
1.188094444000243908e+06 1.420072556141030451e-03 -2.803280097885942415e-04 2.209004807053837043e-03 9.144859456526488017e+00 -1.617967103348257885e-01 3.650044587594828638e+00 3.067773437500000000e+01 4.262630343437194269e-01 1.258083581924438477e+00 1.049996495246887207e+00 -4.166101105511244018e-03 -1.431540213525295605e-02 -2.735047601163386258e-02 -9.995146989822385475e-01
1.196427444000243908e+06 1.932664645232853591e-04 -1.727382349782423041e-03 1.147220931892405918e-03 9.114855977683133048e+00 -1.160313532684273952e-01 3.623403411287840825e+00 3.073242187500000000e+01 4.262607097625732977e-01 1.258082747459411621e+00 1.049993991851806641e+00 -4.170272033661659439e-03 -1.428691204637289568e-02 -2.736354619264602314e-02 -9.995148181915283203e-01
1.204761444000243908e+06 1.906455526484316038e-03 -2.292623733342480201e-03 -2.077209083113547294e-04 9.124457090913004720e+00 -1.714291198181321085e-01 3.610362257149128062e+00 3.070898437500000000e+01 4.262617528438568115e-01 1.258086919784545898e+00 1.049996972084045410e+00 -4.151089582592137894e-03 -1.436125859618187124e-02 -2.731716819107532501e-02 -9.995150566101073109e-01
