time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
1.386380944440002441e+08 -7.981742533929254702e-01 1.248315646662334806e-02 1.463237228896143438e-01 1.029459276580394800e+01 2.890950987128991567e+00 -5.123761243964430889e-01 2.830859375000000000e+01 5.784604549407958984e-01 -1.305636167526245117e+00 1.784159064292907493e+00 1.296083927154539905e-01 2.373304516077041626e-01 6.330880522727966309e-01 -7.253106236457823597e-01
1.386464284440002441e+08 -7.868688803123108366e-01 2.345441526406080723e-02 1.617837447258180794e-01 1.033779777533838384e+01 2.733186356033651787e+00 -3.259901595907904182e-01 2.832226562500000000e+01 5.725246071815490723e-01 -1.312279224395751953e+00 1.782326817512512207e+00 1.294636577367783148e-01 2.361773252487183172e-01 6.357012391090391956e-01 -7.234247326850891113e-01
1.386547614440002441e+08 -7.687082048008425650e-01 2.696340022799649169e-02 1.702199714974363953e-01 1.039780473302510089e+01 2.562173128572303948e+00 -2.444595299941716426e-01 2.829492187500000000e+01 5.665213465690612793e-01 -1.318882584571838379e+00 1.780553579330444336e+00 1.292978376150131226e-01 2.350085228681564886e-01 6.382145881652832031e-01 -7.216199040412902832e-01
1.386630944440002441e+08 -7.588994839077585208e-01 2.411350668468232455e-02 1.696072888696440739e-01 1.042420779440725553e+01 2.477871119091875407e+00 -1.930643808211118806e-01 2.832226562500000000e+01 5.604797601699829102e-01 -1.325402498245239258e+00 1.778851866722106712e+00 1.291048824787140448e-01 2.337251454591751931e-01 6.405690908432006836e-01 -7.199830412864685059e-01
1.386714284440002441e+08 -7.468816272989466931e-01 1.924726814338966266e-02 1.689791033087097438e-01 1.048901530870890753e+01 2.345394436129466964e+00 -5.989107481755583801e-02 2.834179687500000000e+01 5.543496608734130859e-01 -1.331863403320312500e+00 1.777209758758544700e+00 1.289166361093521118e-01 2.324399650096894421e-01 6.429061889648437500e-01 -7.183480262756347656e-01
1.386797614440002441e+08 -7.456611002132941257e-01 1.493056724734447525e-02 1.649490403068243904e-01 1.053582073570454369e+01 2.245434945527805759e+00 5.706023592568376657e-02 2.834179687500000000e+01 5.480973124504088245e-01 -1.338259220123291016e+00 1.775633573532104492e+00 1.288120150566101629e-01 2.312093973159791149e-01 6.453684568405151367e-01 -7.165537476539611816e-01
1.386880944440002441e+08 -7.508028663134718173e-01 1.056688217571366724e-02 1.652640820289827117e-01 1.056462407539416759e+01 2.221346745466101780e+00 1.401370927140882516e-01 2.829882812500000000e+01 5.417938828468322754e-01 -1.344580054283142090e+00 1.774115204811095969e+00 1.286316215991973322e-01 2.299084663391115224e-01 6.477336883544921875e-01 -7.148685455322265625e-01
1.386964274440002441e+08 -7.640464065063309329e-01 2.146589159316236815e-03 1.594773438782136621e-01 1.058022588439271594e+01 2.121390060656762167e+00 1.811087882531805249e-01 2.831640625000000000e+01 5.354006886482238770e-01 -1.350836038589477539e+00 1.772672533988952637e+00 1.286119967699050348e-01 2.286873459815979281e-01 6.500998735427856445e-01 -7.131137847900391735e-01
1.387047614440002441e+08 -7.687112063419601071e-01 -7.100603218930804511e-03 1.525488001287032269e-01 1.064623353784810078e+01 2.065987222097860787e+00 2.084292496381109083e-01 2.835351562500000000e+01 5.289357900619506836e-01 -1.356999278068542480e+00 1.771293044090270774e+00 1.283946633338928223e-01 2.274739444255829690e-01 6.524883508682249866e-01 -7.113574147224425159e-01
1.387130944440002441e+08 -7.701955779037669148e-01 -1.083737984498769208e-02 1.458564322355525578e-01 1.067503687753772468e+01 2.049124705066024621e+00 1.798219825342278755e-01 2.835351562500000000e+01 5.223798155784606934e-01 -1.363090753555297852e+00 1.769960284233093262e+00 1.281763911247253418e-01 2.263539731502533514e-01 6.549241542816162109e-01 -7.095133066177368164e-01
1.387214284440002441e+08 -7.770781916664707412e-01 -2.094069363596061037e-02 1.343848771120313423e-01 1.072064216537962800e+01 2.004562225608442994e+00 1.451151195844876396e-01 2.832421875000000000e+01 5.157164931297302246e-01 -1.369086623191833496e+00 1.768696784973144309e+00 1.279899924993515570e-01 2.252569794654847579e-01 6.573595404624937855e-01 -7.076413035392761230e-01
1.387297614440002441e+08 -7.827615642739513824e-01 -3.157116409004999402e-02 1.129752932783820440e-01 1.073264355691697070e+01 2.028646756557111797e+00 3.443253331439311005e-02 2.832226562500000000e+01 5.089544653892517090e-01 -1.374992728233337402e+00 1.767513155937194824e+00 1.278574615716934204e-01 2.241537719964981912e-01 6.597580313682556152e-01 -7.057811021804808460e-01
