time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
8.807456319999695988e+05 -7.887324599225656319e-04 -3.461526828145589790e-03 -1.845563110263528928e-04 9.119656534298067996e+00 -1.461387975532357497e-01 3.608066945517440782e+00 3.139648437500000000e+01 3.851506114006041370e-01 1.253618836402893066e+00 1.050883412361145020e+00 -2.392170717939734459e-03 -9.968599304556846619e-03 3.383449278771878590e-03 -9.999418258666992188e-01
8.890786320018768311e+05 -7.887324599225656319e-04 -3.461526828145589790e-03 -1.845563110263528928e-04 9.119656534298067996e+00 -1.461387975532357497e-01 3.608066945517440782e+00 3.139648437500000000e+01 3.851473331451416016e-01 1.253628015518188477e+00 1.050884366035461426e+00 -2.372328657656963546e-03 -9.930236265063282358e-03 3.428733674809337530e-03 -9.999420642852784313e-01
8.974126319999695988e+05 -7.887324599225656319e-04 -3.461526828145589790e-03 -1.845563110263528928e-04 9.119656534298067996e+00 -1.461387975532357497e-01 3.608066945517440782e+00 3.139648437500000000e+01 3.851496875286102295e-01 1.253626108169555664e+00 1.050884246826171875e+00 -2.392670372500960152e-03 -9.949244558811186009e-03 3.414469072595239987e-03 -9.999418258666992188e-01
9.057456320018768311e+05 1.877093839558127968e-04 -1.429218708226417077e-03 -7.315330450025272352e-04 9.125657230066739345e+00 -1.461393371286823506e-01 3.602105590193225737e+00 3.140234375000000000e+01 3.851463198661804199e-01 1.253625869750976340e+00 1.050883293151855469e+00 -2.391797956079244614e-03 -9.943531826138494664e-03 3.397412830963732113e-03 -9.999419450759887695e-01
9.140786319999695988e+05 -5.371944158700375782e-05 -2.014032596968746806e-03 3.445041687288007137e-04 9.111255560221927396e+00 -1.557722861874351605e-01 3.595256364592232856e+00 3.140625000000000000e+01 3.851346373558044989e-01 1.253629446029663086e+00 1.050883293151855469e+00 -2.373332856222987175e-03 -9.916651062667369843e-03 3.446404123678804745e-03 -9.999420642852784313e-01
9.224126320018768311e+05 -1.282039266508931685e-03 -2.881072413196816319e-03 -9.862968212646962274e-04 9.122056812605535470e+00 -1.605903794431511322e-01 3.551611481479406862e+00 3.139062500000000000e+01 3.851297199726104736e-01 1.253633499145507812e+00 1.050886511802673118e+00 -2.370918169617652893e-03 -9.914649650454519444e-03 3.437624080106616888e-03 -9.999421834945678711e-01
9.307456319999695988e+05 1.412243072464507143e-03 -4.886563853580133676e-03 -2.884185401355836634e-03 9.162861543832503841e+00 -1.280784749217797891e-01 3.547503586167096934e+00 3.140820312500000000e+01 3.851180672645568848e-01 1.253632307052612305e+00 1.050886034965515137e+00 -2.376240212470292611e-03 -9.905708953738210851e-03 3.423837944865228914e-03 -9.999423027038574219e-01
9.390786320018768311e+05 6.777480821345549522e-04 -2.870283701508682256e-03 -1.538857731145582691e-03 9.171262517908642664e+00 -1.617990844667903660e-01 3.582668984595178241e+00 3.140820312500000000e+01 3.851000964641571045e-01 1.253642678260803223e+00 1.050891041755676270e+00 -2.333038486540372613e-03 -9.841728955507278442e-03 3.447329625487329310e-03 -9.999428987503052868e-01
9.474116319980621338e+05 -2.018178398720850419e-03 -4.037931968669770076e-03 -1.784038583011180725e-03 9.090853194608444099e+00 -1.063949509268168336e-01 3.499120393863045742e+00 3.139062500000000000e+01 3.850921094417572021e-01 1.253644466400146484e+00 1.050893068313598633e+00 -2.326346933841705322e-03 -9.827749803662300110e-03 3.418127074837684631e-03 -9.999432563781737171e-01
9.557456319999695988e+05 9.320821883229065156e-04 -2.018676862260833111e-03 2.214987306993156449e-03 9.184464048599721764e+00 -1.437360639581018451e-01 3.521347069611606706e+00 3.141796875000000000e+01 3.850870728492736816e-01 1.253646016120910645e+00 1.050897002220153809e+00 -2.304648514837026596e-03 -9.819797240197656804e-03 3.392495447769762387e-03 -9.999433755874631569e-01
