time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
4.696086327199935913e+07 7.199900097656574127e-01 1.785332620917222668e-01 -9.236685110953136990e-02 1.089106192520989858e+01 5.883130278115716871e-01 -1.039288844230324305e+00 2.752929687500000000e+01 -1.257372140884399414e+00 5.093497782945632935e-02 1.581167697906493919e+00 -3.686610981822016631e-02 1.341857016086576704e-01 -8.475507497787475586e-01 -5.121453404426574707e-01
4.699419627199744433e+07 8.156083767740566204e-01 2.587723279089075845e-01 3.745234178402478270e-02 1.037980264571908684e+01 1.319366882529308116e-01 -1.175408572105950400e+00 2.755078125000000000e+01 -1.191694974899291992e+00 5.273071527481079102e-01 1.584002494812011497e+00 5.946556106209754250e-02 2.106805443763732077e-01 -3.467023968696594238e-01 -9.120718240737917260e-01
4.700253027199935913e+07 8.452546931673386998e-01 2.892435330266132643e-01 4.549575433427364285e-02 1.022138427742615718e+01 6.089838325101316202e-02 -9.933109028964606235e-01 2.754296875000000000e+01 -1.171631455421447532e+00 5.866246223449707031e-01 1.585785746574401855e+00 6.781410425901407413e-02 2.105564773082732877e-01 -2.841088771820068914e-01 -9.329251646995544434e-01
4.701086327199744433e+07 8.680065467486387520e-01 3.217578490060923335e-01 4.366357947659408462e-02 1.000535922975398329e+01 1.033802675800865600e-02 -7.810315752718253179e-01 2.756250000000000000e+01 -1.152940392494201660e+00 6.309086680412292480e-01 1.587640166282653809e+00 7.323372364044195004e-02 2.102982699871062400e-01 -2.409059405326842707e-01 -9.446564316749571644e-01
4.701919627199935913e+07 8.745831887135214755e-01 3.360055578610323113e-01 3.500650800549752473e-02 9.962154220219549217e+00 -1.013085688340353840e-02 -6.746191834754022842e-01 2.756250000000000000e+01 -1.135408520698547141e+00 6.633754372596740723e-01 1.589561700820922852e+00 7.667417824268341064e-02 2.098073661327361505e-01 -2.119377404451370794e-01 -9.514117836952208362e-01
4.702752927199744433e+07 8.766975103971924588e-01 3.618675548330708702e-01 1.402782008589835080e-02 9.814537104310227633e+00 -6.504741812485503871e-03 -4.809478055130860241e-01 2.757812500000000000e+01 -1.118825674057006836e+00 6.865504980087280273e-01 1.591498494148254395e+00 7.864982634782796689e-02 2.092490792274474265e-01 -1.932771652936935980e-01 -9.553391933441162109e-01
4.703586327199935913e+07 8.819987929651966763e-01 3.834123461719741721e-01 -9.118382703111632681e-03 9.737728198471232943e+00 2.360917737768097532e-02 -2.271413381555100752e-01 2.752148437500000000e+01 -1.103034734725951926e+00 7.023909091949462891e-01 1.593368649482727051e+00 7.945220917463302612e-02 2.078702598810195923e-01 -1.822019964456558783e-01 -9.577471613883971058e-01
4.704419627200127393e+07 8.851594288665378674e-01 3.866466227965720259e-01 -1.719822910769467847e-02 9.704124302166674099e+00 -2.335474069396292762e-02 -1.537675342087672092e-01 2.753710937500000000e+01 -1.087955355644226074e+00 7.126647233963012695e-01 1.595234036445617676e+00 7.929978519678121396e-02 2.063187956809996726e-01 -1.770494282245635986e-01 -9.590607881546019398e-01
4.705253027199935913e+07 8.777357504061985560e-01 3.907748093851364790e-01 -4.022112685099271667e-02 9.617714283097804184e+00 -1.172808501958214622e-01 -2.556245974462867734e-02 2.754296875000000000e+01 -1.073417067527770774e+00 7.186313271522521973e-01 1.597177982330322266e+00 7.894630730152130127e-02 2.050392627716063898e-01 -1.759622991085052768e-01 -9.595642685890195533e-01
4.706086327200127393e+07 8.637161923809080211e-01 3.812654175059351780e-01 -6.129626101764067136e-02 9.522903289952797223e+00 -1.582178620730207430e-01 7.922484079534221346e-02 2.755859375000000000e+01 -1.059393286705017090e+00 7.213569879531859241e-01 1.599060058593750000e+00 7.777671515941607383e-02 2.034013569355010431e-01 -1.780426204204559604e-01 -9.596247076988221325e-01
