time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
9.857089909999369411e+05 -7.912786429324705773e-04 1.739781471115943272e-03 1.419471392744054350e-03 9.177263213677315790e+00 -1.955194781816223526e-01 3.466216674179332102e+00 3.181835937500000000e+01 3.472751379013060968e-01 7.966764569282531738e-01 1.053481698036193848e+00 -1.595812849700506408e-03 6.651112344115959508e-03 -2.158072143793106079e-01 9.764121174812316895e-01
9.940419909999369411e+05 -7.912786429324705773e-04 1.739781471115943272e-03 1.419471392744054350e-03 9.177263213677315790e+00 -1.955194781816223526e-01 3.466216674179332102e+00 3.181835937500000000e+01 3.473128676414489746e-01 7.966832518577574573e-01 1.053449153900146484e+00 -1.604262390174027164e-03 6.810479797422857272e-03 -2.157945483922958374e-01 9.764137268066406250e-01
1.002375990999937057e+06 -1.037599543408547487e-03 2.606886133251039208e-03 1.420447645669319905e-03 9.186864326907192790e+00 -1.967246220073148033e-01 3.435518408055301620e+00 3.181835937500000000e+01 3.473452627658843994e-01 7.966902256011961780e-01 1.053422570228576660e+00 -1.571536646224558353e-03 6.985036190599175354e-03 -2.158094495534896851e-01 9.764092564582823597e-01
1.010708990999937057e+06 -1.527805394572222253e-03 8.723017637048577312e-04 6.213937981568369876e-04 9.214467527443078509e+00 -2.171998726389955947e-01 3.466884448217626868e+00 3.180859375000000000e+01 3.473689556121826172e-01 7.966951131820678711e-01 1.053398132324218750e+00 -1.552395406179241100e-03 7.046078797429772278e-03 -2.158408463001251221e-01 9.764019846916198730e-01
1.019042990999937057e+06 -2.994120808360034580e-04 5.843318429694897842e-04 1.416847221212064883e-03 9.191664883522125962e+00 -2.111764197274086374e-01 3.474252347160939003e+00 3.180078125000000000e+01 3.473177850246429443e-01 7.966874241828918457e-01 1.053448081016540305e+00 -1.446473062969744205e-03 6.773908156901542466e-03 -2.159278839826583862e-01 9.763847589492796741e-01
1.027375990999937057e+06 6.763647574081557701e-04 1.462885053567243229e-03 6.617747114702129951e-05 9.168862239601175190e+00 -2.063572473207997138e-01 3.491025480753272348e+00 3.180078125000000000e+01 3.472734689712524414e-01 7.966840863227843128e-01 1.053477287292480469e+00 -1.387899625115041058e-03 6.567951291799517533e-03 -2.159909009933471957e-01 9.763724207878111683e-01
1.035708990999937057e+06 -5.161419146289258230e-05 -2.852824744496466544e-04 1.952561866588002756e-03 9.182063770292252514e+00 -2.099712759017162700e-01 3.454400256095156330e+00 3.183203125000000000e+01 3.473089337348937433e-01 7.966902852058409534e-01 1.053438782691955566e+00 -1.391022233292515953e-03 6.715856958180638214e-03 -2.159867435693740845e-01 9.763723015785216175e-01
1.044041990999937057e+06 -1.774995198074606761e-03 -2.012492977828192822e-03 -1.520027715193172230e-03 9.196465440137064462e+00 -2.340581809823488735e-01 3.505936367280220622e+00 3.184375000000000000e+01 3.473395705223083496e-01 7.966961264610289417e-01 1.053409814834594727e+00 -1.404237584210876744e-03 6.827596575021702141e-03 -2.159744352102279941e-01 9.763741493225096546e-01
1.052375990999937057e+06 1.171923791747228605e-03 3.011612872106913044e-04 1.405280545368033573e-03 9.207266692520672535e+00 -2.196077861584159185e-01 3.484619415990104940e+00 3.179492187500000000e+01 3.472908437252044678e-01 7.966923117637633167e-01 1.053447246551513672e+00 -1.338699948974009235e-03 6.618733983486835282e-03 -2.160212397575378418e-01 9.763653874397276722e-01
1.060708990999937057e+06 -1.533325730732552905e-03 5.929605367791437182e-04 -1.525033962207229116e-03 9.162861543832503841e+00 -2.521193669345193067e-01 3.464089971646815869e+00 3.184179687500000000e+01 3.473185598850250244e-01 7.966980934143065296e-01 1.053416848182678223e+00 -1.345922355540041249e-03 6.739741656929226776e-03 -2.160097062587738037e-01 9.763670563697816052e-01
1.069042990999937057e+06 1.412446969856588630e-03 -2.288419359233408081e-03 -1.545480651169432729e-03 9.182063770292252514e+00 -2.256269224664308737e-01 3.479094361259059909e+00 3.182031250000000000e+01 3.473371267318725031e-01 7.967009544372558594e-01 1.053391456604003906e+00 -1.350540667772293091e-03 6.848774850368472000e-03 -2.159987986087799072e-01 9.763686656951904297e-01
1.077375990999937057e+06 -1.775272584280992777e-03 -3.455627735211479548e-03 -2.323384898441310450e-03 9.189264605214658488e+00 -1.822734717777567959e-01 3.474273301110988754e+00 3.182031250000000000e+01 3.472808301448822021e-01 7.966926097869873047e-01 1.053434014320373535e+00 -1.327448058873470504e-03 6.606534123420673699e-03 -2.160370498895644864e-01 9.763619899749756970e-01
1.085708990999937057e+06 4.275142429729927862e-04 1.468124309726828291e-03 -1.273566023158517052e-03 9.166461961293705940e+00 -2.015399094707089611e-01 3.481652057732827821e+00 3.178320312500000000e+01 3.472339808940887451e-01 7.966897487640380859e-01 1.053469419479369895e+00 -1.280743163078967850e-03 6.403529550880165955e-03 -2.160876840353012085e-01 9.763522148132323109e-01
1.094041990999937057e+06 -5.446270427920535395e-04 -4.324867007354626057e-03 -9.905689114034135073e-04 9.220468223211748082e+00 -1.654163505003857504e-01 3.425633169441386183e+00 3.179687500000000000e+01 3.471995890140533447e-01 7.966952919960021973e-01 1.053495168685913086e+00 -1.242481055669431012e-03 6.250209175050217003e-03 -2.161380350589751920e-01 9.763421416282652698e-01
1.102375990999937057e+06 1.168729172153916418e-03 -1.714459028086238838e-03 -7.391322179516376240e-04 9.171262517908642664e+00 -1.919060970912417063e-01 3.440435556450220922e+00 3.179687500000000000e+01 3.471750319004058838e-01 7.966988086700438343e-01 1.053515315055847168e+00 -1.203542109578792374e-03 6.139242090284796616e-03 -2.161867916584014893e-01 9.763320684432984509e-01
1.110708990999937057e+06 -5.467121175598346761e-04 -5.679482931184032246e-04 7.844705826945755356e-05 9.153260430602626840e+00 -1.919044783649022090e-01 3.413647213743498554e+00 3.180664062500000000e+01 3.471512496471405029e-01 7.967073917388914905e-01 1.053532600402832031e+00 -1.187944668345208843e-03 6.040075328201013893e-03 -2.161946743726730347e-01 9.763309359550477184e-01
1.119041990999937057e+06 -1.043287032553810723e-03 -8.481044565031205934e-04 -2.332358648350288041e-03 9.189264605214658488e+00 -2.075633623822958906e-01 3.449596775045653541e+00 3.181445312500000000e+01 3.471348583698272705e-01 7.967047095298765980e-01 1.053542852401733176e+00 -1.166246132925208290e-03 5.975538864731747002e-03 -2.162275463342666348e-01 9.763240218162535511e-01
1.127375990999937057e+06 -3.055974226305463448e-04 -8.487642932776434971e-04 -1.533273555240870353e-03 9.191664883522125962e+00 -1.738437240730889566e-01 3.423685961969492375e+00 3.179101562500000000e+01 3.471214473247528076e-01 7.967115044593811035e-01 1.053552389144897461e+00 -1.168110640719588478e-03 5.913133267313214203e-03 -2.162276506423949918e-01 9.763244390487670898e-01
1.135708990999937057e+06 -5.576777194762211343e-05 1.165381248785758326e-03 1.145846354932538716e-03 9.196465440137064462e+00 -1.726398752284681315e-01 3.487100563398950470e+00 3.183007812500000000e+01 3.471101820468902588e-01 7.967157363891601562e-01 1.053558588027954102e+00 -1.171319046989083290e-03 5.873218644410344025e-03 -2.162241488695144931e-01 9.763253927230834961e-01
1.144042990999937057e+06 -2.507625580079671235e-03 -2.881023291026488741e-04 3.623266861590128548e-04 9.173662796216111914e+00 -1.955191544363543976e-01 3.441579334523732658e+00 3.186523437500000000e+01 3.471061587333679199e-01 7.967118620872497559e-01 1.053564190864562766e+00 -1.151570933870971203e-03 5.856670904904576203e-03 -2.162453085184096735e-01 9.763209223747251198e-01
1.152375990999937057e+06 -1.278918135729910366e-03 2.895576390635522593e-04 1.693463508993240871e-03 9.159261126371299966e+00 -2.171949085448878491e-01 3.428857330735405551e+00 3.186523437500000000e+01 3.471752107143402100e-01 7.967183589935302734e-01 1.053508043289184348e+00 -1.201850245706626019e-03 6.143446546047897326e-03 -2.162072211503982266e-01 9.763274788856505237e-01
1.160708990999937057e+06 -5.418054982912756667e-05 -5.696430119434383113e-04 8.795159028263371120e-04 9.166461961293705940e+00 -2.099698730055553630e-01 3.424051781556659790e+00 3.183007812500000000e+01 3.471598625183105469e-01 7.967169284820556641e-01 1.053523898124694824e+00 -1.223286497406661510e-03 6.061203777790041825e-03 -2.162043005228042325e-01 9.763286113739011451e-01
1.169041990999937057e+06 1.166440199994060734e-03 -5.556848081967411673e-04 -1.008820998465170468e-03 9.196465440137064462e+00 -2.111768513877657905e-01 3.437742340945172614e+00 3.178125000000000000e+01 3.471517562866210938e-01 7.967103123664855957e-01 1.053535103797912376e+00 -1.197574543766621868e-03 6.025687791407066674e-03 -2.162283062934875488e-01 9.763235449790953480e-01
1.177375990999937057e+06 6.853369240118478700e-04 -2.846874835821488190e-04 2.483301510546820356e-03 9.168862239601175190e+00 -1.943144422710192387e-01 3.461630567877946874e+00 3.183007812500000000e+01 3.471442461013793390e-01 7.967026829719542347e-01 1.053543686866760254e+00 -1.174110919237136841e-03 5.993022583425016390e-03 -2.162462472915649137e-01 9.763198494911193848e-01
1.185708990999937057e+06 -6.217358018507229689e-05 3.197314323428943061e-03 -1.982317207055924748e-04 9.184464048599721764e+00 -2.208100162766972741e-01 3.455547136362533411e+00 3.183007812500000000e+01 3.471397757530212402e-01 7.966965436935423694e-01 1.053549051284790039e+00 -1.157593214884400368e-03 5.969949997961465638e-03 -2.162690162658691684e-01 9.763149023056030273e-01
1.194042990999937057e+06 -1.284161085683854786e-03 1.453351169521127900e-03 3.503929318773111451e-04 9.168862239601175190e+00 -2.099700888357339257e-01 3.454583751085455567e+00 3.179687500000000000e+01 3.472057282924652100e-01 7.967048883438110352e-01 1.053493142127990723e+00 -1.194615266285892208e-03 6.245215423405128807e-03 -2.162225544452667236e-01 9.763234853744505726e-01
1.202375990999937057e+06 -5.600841374685944229e-05 -8.552583770792491352e-04 7.481538821526786953e-05 9.200065857598264785e+00 -1.967258090732970366e-01 3.469427014425574107e+00 3.178906250000000000e+01 3.471904993057250977e-01 7.966995835304259144e-01 1.053510427474975586e+00 -1.179587212391141953e-03 6.165129598230124387e-03 -2.162389010190964023e-01 9.763203859329222523e-01
1.210708990999937057e+06 2.150266988357636688e-03 1.464075035302235973e-03 1.127656759064657802e-03 9.214467527443078509e+00 -1.738457744597856625e-01 3.417491067566714058e+00 3.183203125000000000e+01 3.472581207752227783e-01 7.967139482498170056e-01 1.053469657897949219e+00 -1.208430505357738216e-03 6.322246510535464714e-03 -2.162163555622100830e-01 9.763243198394776501e-01
1.219041990999937057e+06 -5.340531097346862266e-05 -1.148402708067175829e-03 8.801875685078025145e-04 9.174862935369846539e+00 -2.159920309360706392e-01 3.430991135391463942e+00 3.183789062500000000e+01 3.472982645034790039e-01 7.967171072959901013e-01 1.053430080413818359e+00 -1.223031664267182350e-03 6.523919291794286202e-03 -2.161867320537567139e-01 9.763295054435729980e-01
1.227375990999937057e+06 -3.000770864702226315e-04 -5.694230663519303515e-04 6.131542051231956419e-04 9.177263213677315790e+00 -1.967237586866004695e-01 3.435651858957336824e+00 3.180664062500000000e+01 3.472625017166137695e-01 7.967072725296019398e-01 1.053470611572265625e+00 -1.162377884611542900e-03 6.385250017046886772e-03 -2.162125408649444303e-01 9.763248562812802955e-01
1.235708990999937057e+06 -3.019416947950964714e-04 -2.775335630060210904e-04 7.612747398126269748e-05 9.182063770292252514e+00 -1.870899463071331592e-01 3.462619560395872043e+00 3.180664062500000000e+01 3.472341001033782959e-01 7.967025637626647949e-01 1.053494095802307129e+00 -1.154726371169090271e-03 6.265757139772135109e-03 -2.162274867296218872e-01 9.763222336769104004e-01
1.244041990999937057e+06 -1.033021599088829179e-03 2.893376934720442994e-04 1.959825206696380606e-03 9.185664187753456389e+00 -1.919073920723133320e-01 3.487258968180714014e+00 3.182812500000000000e+01 3.472784757614135742e-01 7.967064380645751953e-01 1.053448438644409180e+00 -1.189165632240418713e-03 6.484341807663412949e-03 -2.161894738674164096e-01 9.763292074203491211e-01
1.252375990999937057e+06 -7.863130791849193280e-04 -8.671468167249205038e-04 1.959184786611851276e-03 9.185664187753456389e+00 -2.208101241917865554e-01 3.448476916787247770e+00 3.180664062500000000e+01 3.472462296485900879e-01 7.967026829719542347e-01 1.053474664688110352e+00 -1.198221114464048664e-03 6.348203402012544960e-03 -2.162131965160369595e-01 9.763248562812802955e-01
1.260708990999937057e+06 1.909407479562807985e-04 8.896738588793848268e-06 1.145205934848009602e-03 9.186864326907192790e+00 -1.991331830172708706e-01 3.433168262715746266e+00 3.180664062500000000e+01 3.472227752208709717e-01 7.966997623443603516e-01 1.053494691848754883e+00 -1.185805420391261578e-03 6.245227064937324511e-03 -2.162315845489501676e-01 9.763214588165283203e-01
1.269042990999937057e+06 -7.864600568135148321e-04 1.442872657201956042e-03 3.029879920488389149e-03 9.180863631138514336e+00 -1.894983994020000007e-01 3.473217583142045761e+00 3.180664062500000000e+01 3.472066223621368408e-01 7.966969013214110218e-01 1.053509712219238281e+00 -1.171731040813139835e-03 6.164203397929626793e-03 -2.162417471408843994e-01 9.763197302818297230e-01
1.277375990999937057e+06 6.860386740532159466e-04 2.915625572575504185e-04 3.019320743166555021e-03 9.214467527443078509e+00 -2.039527870842369472e-01 3.461000812351764822e+00 3.178710937500000000e+01 3.472614288330078125e-01 7.967036366462707520e-01 1.053461670875549094e+00 -1.222029444761407518e-03 6.409701891243443916e-03 -2.161989361047744751e-01 9.763275980949401855e-01
1.285708990999937057e+06 -3.002975529131229350e-04 2.895606144538385388e-03 2.219196905938003103e-03 9.165261822139971315e+00 -2.039483625655757193e-01 3.499303618691533391e+00 3.184179687500000000e+01 3.472366631031036377e-01 7.966986298561096191e-01 1.053484797477721946e+00 -1.215053140185773156e-03 6.295848637819248528e-03 -2.162177711725234708e-01 9.763241410255432129e-01
1.294041990999937057e+06 -3.015908197744124331e-04 1.059145741382720024e-05 3.441370902911317781e-04 9.206066553366937910e+00 -1.907049461238533306e-01 3.504608713512907592e+00 3.181445312500000000e+01 3.472204506397247870e-01 7.966935038566588245e-01 1.053511738777160645e+00 -1.171572133898735046e-03 6.194795481860582154e-03 -2.162376195192336759e-01 9.763204455375672497e-01
1.302375990999937057e+06 -2.966620004340100869e-04 -2.018831961945316382e-03 1.151524267628061112e-03 9.155660708910096091e+00 -2.027432187398832686e-01 3.445359426265180325e+00 3.180859375000000000e+01 3.472773432731628418e-01 7.967014312744140625e-01 1.053465127944946289e+00 -1.213051145896260063e-03 6.424380932003218025e-03 -2.161889076232909879e-01 9.763297438621519886e-01
1.310708990999937057e+06 9.268392383689622038e-04 -8.548833318032592055e-04 8.719167298772249886e-04 9.194065161829598765e+00 -2.196065990924336020e-01 3.438954912598946478e+00 3.180859375000000000e+01 3.472523093223571777e-01 7.966982722282409668e-01 1.053488016128540039e+00 -1.211429131217300892e-03 6.312234792858334442e-03 -2.162082642316818515e-01 9.763262271881103516e-01
