time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
1.025426322999954224e+06 4.285668680350449011e-04 2.332499370986377499e-03 -4.695371742289132662e-04 9.146059595680224419e+00 -9.556139047612211002e-02 3.255001329553190992e+00 2.845898437500000000e+01 3.216714560985564630e-01 1.145379304885864258e+00 1.051625609397887962e+00 -6.521253380924407761e-03 6.953188567421775268e-04 -3.160559237003326416e-01 9.487180113792419434e-01
1.033760322999954224e+06 4.285668680350449011e-04 2.332499370986377499e-03 -4.695371742289132662e-04 9.146059595680224419e+00 -9.556139047612211002e-02 3.255001329553190992e+00 2.845898437500000000e+01 3.216541111469268799e-01 1.145389676094055176e+00 1.051625132560729980e+00 -6.538825575262363632e-03 7.083414238877039359e-04 -3.160298168659210205e-01 9.487264752388000488e-01
1.042093322999954224e+06 4.285668680350449011e-04 2.332499370986377499e-03 -4.695371742289132662e-04 9.146059595680224419e+00 -9.556139047612211002e-02 3.255001329553190992e+00 2.845898437500000000e+01 3.216660618782043457e-01 1.145377993583679199e+00 1.051628947257995605e+00 -6.458404008299167831e-03 7.498721242882033788e-04 -3.161230683326720636e-01 9.486959576606748268e-01
1.050427322999954224e+06 4.418597681084061022e-04 2.309912473430028156e-03 4.360680910481887392e-03 9.092053333762178724e+00 -1.124164613667965051e-01 3.216964769160566284e+00 2.845898437500000000e+01 3.216690421104431152e-01 1.145367980003356712e+00 1.051637291908263938e+00 -6.405732128769103806e-03 7.754613179712931429e-04 -3.162010610103607178e-01 9.486703276634216309e-01
1.058760322999954224e+06 1.196220619734088275e-03 1.414761711987486386e-03 1.079602793427610237e-02 9.388487704734552963e+00 -1.991513127522730464e-01 3.422136665858378279e+00 2.844531250000000000e+01 3.216400444507598877e-01 1.145370841026305930e+00 1.051626086235046387e+00 -6.461865268647726257e-03 6.129622925072353290e-04 -3.160485029220581055e-01 9.487208724021911621e-01
1.067093322999954224e+06 8.793182518960367816e-03 -4.611311339115608740e-03 6.716402391801203249e-03 9.347682973507586368e+00 -1.943305216193247642e-01 3.283982179216324404e+00 2.845117187500000000e+01 3.216434419155120850e-01 1.145363211631774902e+00 1.051637530326843262e+00 -6.404322106391303372e-03 6.575118168256621765e-04 -3.161225616931915283e-01 9.486966133117676891e-01
1.075426322999954224e+06 1.049080627773898815e-02 -1.005836531046686022e-02 -2.683193764628100803e-03 8.938435522084189344e+00 -1.979065640888079958e-01 3.120387157911756582e+00 2.844140625000000000e+01 3.216142356395721436e-01 1.145371198654174805e+00 1.051641345024108887e+00 -6.450346205383483689e-03 6.249074358492535649e-04 -3.160974681377410889e-01 9.487046003341671474e-01
1.083760322999954224e+06 3.940413509903525359e-04 -4.960480722473033189e-04 -1.442014220165279033e-02 9.299677407358215575e+00 -1.401335822917404439e-01 3.184701042594979548e+00 2.842382812500000000e+01 3.215499818325042725e-01 1.145359039306640625e+00 1.051601290702819824e+00 -6.608826108276955047e-03 6.183384102768640922e-04 -3.160018324851989746e-01 9.487353563308716931e-01
1.092093322999954224e+06 -1.211948813168758216e-02 -4.284413701145305814e-03 -1.994985948306535889e-02 9.213267388289343884e+00 -1.608492039257136685e-02 3.179970897874844216e+00 2.843359375000000000e+01 3.215725421905517023e-01 1.145334362983703613e+00 1.051623702049255149e+00 -6.492527667432967942e-03 6.371601484715384541e-04 -3.161476254463195801e-01 9.486876726150511585e-01
1.100427322999954224e+06 -1.774434891844477863e-02 -2.895236341334157804e-04 -1.293195318162841147e-02 9.119656534298067996e+00 9.953442546228720433e-02 3.198856254599182769e+00 2.843359375000000000e+01 3.216041922569274902e-01 1.145315408706665039e+00 1.051635026931762695e+00 -6.416077259928044431e-03 6.861804286017458843e-04 -3.162361383438110352e-01 9.486586451530456543e-01
1.108760322999954224e+06 -8.627527373170310043e-03 8.332285887514088302e-03 7.915518063340353655e-03 9.376486313197208489e+00 1.886280890015532286e-01 3.263432385299873673e+00 2.842578125000000000e+01 3.216418921947479248e-01 1.145300984382629172e+00 1.051643967628479004e+00 -6.379794329404776289e-03 7.416252628899555610e-04 -3.162790536880492609e-01 9.486445188522335537e-01
1.117093322999954224e+06 1.053619235137411535e-02 7.765231471019211525e-03 2.252045681940286273e-02 9.022445262845591785e+00 -1.727204239835078425e-02 3.190852879499731287e+00 2.844531250000000000e+01 3.216837942600250244e-01 1.145287513732909934e+00 1.051647305488586426e+00 -6.341073196381329623e-03 8.145244210026879620e-04 -3.162966072559356689e-01 9.486389160156250000e-01
1.125426322999954224e+06 1.421945437079995267e-02 1.383388978587777804e-02 2.758221159189696084e-02 9.129257647527943220e+00 -1.377096973391038759e-01 3.248199426550100632e+00 2.844531250000000000e+01 3.217022418975830078e-01 1.145295143127441406e+00 1.051639914512634277e+00 -6.419271230697631836e-03 8.719941251910945379e-04 -3.161825537681579590e-01 9.486763477325439453e-01
1.133760322999954224e+06 8.082490110273531092e-03 1.208930623323203543e-02 2.387698408701948230e-02 9.401689235425628510e+00 -3.256019528409510033e-01 3.466679867940083426e+00 2.844921875000000000e+01 3.217206597328186035e-01 1.145297408103942871e+00 1.051633715629577637e+00 -6.489576306194067001e-03 9.244455141014796791e-04 -3.161035776138305664e-01 9.487021565437314674e-01
1.142093322999954224e+06 -7.757666532080265132e-04 1.326227263262589988e-02 1.267654694343993936e-02 9.039247210997871207e+00 -4.387717299519198200e-01 3.278969529386602133e+00 2.839648437500000000e+01 3.217575550079345703e-01 1.145274758338928223e+00 1.051637768745422363e+00 -6.427776999771595001e-03 1.000757096335236351e-03 -3.161834776401519775e-01 9.486758112907407448e-01
1.150426322999954224e+06 -3.242892202959757331e-03 1.385578006108490606e-02 7.328803809221085160e-03 9.087252777147242000e+00 -4.134861559509527273e-01 3.351177978727394091e+00 2.843750000000000000e+01 3.217561841011047363e-01 1.145272850990295410e+00 1.051632523536681907e+00 -6.479592062532901764e-03 1.034262590110246460e-03 -3.161820769309997003e-01 9.486759305000304066e-01
1.158760322999954224e+06 -4.263774122327132488e-03 8.145607368376741458e-03 -1.009899872296341622e-02 9.256472397823779730e+00 -3.424488221848386305e-01 3.382887503033250809e+00 2.839453125000000000e+01 3.217391967773436945e-01 1.145268440246582031e+00 1.051633834838867188e+00 -6.499726790934856613e-03 1.030536368489209931e-03 -3.162392973899841309e-01 9.486567378044128418e-01
1.167093322999954224e+06 -4.296455206403287930e-03 -4.604984149581721475e-04 -2.618965068677743535e-02 9.221668362365484484e+00 -2.220176421494436392e-01 3.408006943065910122e+00 2.841992187500000000e+01 3.217217922210693359e-01 1.145263433456420898e+00 1.051640987396240234e+00 -6.543856114149038117e-03 1.009940868243519585e-03 -3.163315653800964355e-01 9.486256837844847523e-01
1.175427322999954224e+06 -3.813340344467612986e-03 -3.333404716845551549e-03 -3.021544159852402461e-02 9.119656534298067996e+00 -1.039889798790039066e-01 3.315327013566486514e+00 2.841992187500000000e+01 3.216885924339294434e-01 1.145251512527465820e+00 1.051646828651428223e+00 -6.536881905049030106e-03 9.334830101578595052e-04 -3.163304626941680908e-01 9.486261606216428444e-01
1.183760322999954224e+06 -9.675920915474194028e-03 -5.992776382023128415e-03 -2.372451828860396711e-02 9.312878938049292898e+00 2.364737931929272730e-02 3.374892762948773051e+00 2.844140625000000000e+01 3.216206133365631104e-01 1.145236968994140625e+00 1.051608800888061523e+00 -6.680544931441489975e-03 8.755699382163029121e-04 -3.162454664707183838e-01 9.486535787582396351e-01
1.192093322999954224e+06 -1.060879158688989021e-02 -8.099119332821452799e-03 -7.345160054742388457e-03 9.130457786681676069e+00 1.260276253360006482e-01 3.212801824048618471e+00 2.845507812500000000e+01 3.216092288494110107e-01 1.145244598388671875e+00 1.051617503166198730e+00 -6.666389293968677521e-03 8.297277381643097804e-04 -3.162585496902465820e-01 9.486493468284608044e-01
1.200426322999954224e+06 -5.175546191654792350e-03 -6.411598014934084475e-03 7.904873017953277514e-03 9.046448045920275405e+00 1.344651429270978804e-01 3.203385592896456302e+00 2.845507812500000000e+01 3.216057121753692627e-01 1.145263195037841575e+00 1.051618456840515137e+00 -6.679071579128559311e-03 8.127585169858675407e-04 -3.162313699722290039e-01 9.486583471298215553e-01
1.208760322999954224e+06 1.349091704321061201e-02 -2.349389798898056120e-03 2.224006050230838138e-02 9.365685060813602192e+00 1.882550903545121210e-02 3.355351415883403021e+00 2.843750000000000000e+01 3.215980231761932373e-01 1.145285010337829590e+00 1.051620125770568848e+00 -6.709098815917968750e-03 7.480541244148929429e-04 -3.162377774715423584e-01 9.486560225486755371e-01
1.217093322999954224e+06 1.593815655631026021e-02 -9.549695454741302311e-03 1.713005527499069855e-02 9.194065161829598765e+00 -1.774567814182017034e-01 3.247315695027616300e+00 2.844921875000000000e+01 3.215963244438171387e-01 1.145306229591369629e+00 1.051616311073303223e+00 -6.738125346600953858e-03 7.042188080958188294e-04 -3.162305951118468683e-01 9.486582279205321155e-01
1.225427322999954224e+06 6.843493450796929271e-03 -6.660307263657022289e-03 9.954768623073222480e-03 9.142459178219020544e+00 -2.581389349028914704e-01 3.183410201176005483e+00 2.845312500000000000e+01 3.216214776039123535e-01 1.145302534103393555e+00 1.051627159118652344e+00 -6.649893708527088165e-03 6.596852326765378915e-04 -3.163864910602569025e-01 9.486068487167358398e-01
1.233760322999954224e+06 -1.207307321465226485e-02 -2.630953237147376066e-03 -2.241074836170146162e-03 9.194065161829598765e+00 -2.340579651521702276e-01 3.257920302865022322e+00 2.843945312500000000e+01 3.216147124767303467e-01 1.145321607589721680e+00 1.051624059677124023e+00 -6.695888470858279984e-03 5.837845383211415218e-04 -3.163953721523284912e-01 9.486036896705628552e-01
1.242093322999954224e+06 -1.502851983188646656e-02 1.421749155174867893e-03 -5.173771419227478005e-03 9.219268084058015233e+00 -1.377177909708012793e-01 3.285742784512441617e+00 2.843164062500000000e+01 3.216122984886169434e-01 1.145340919494628906e+00 1.051617741584777832e+00 -6.750213447958119950e-03 5.466389120556136572e-04 -3.163945078849792480e-01 9.486036300659180798e-01
1.250426322999954224e+06 -9.384160627905036023e-03 4.323037163609082072e-03 -1.734265191968606401e-03 9.236070032210296432e+00 -1.160422526924465014e-01 3.304309374085704132e+00 2.843164062500000000e+01 3.216059207916259766e-01 1.145359396934509277e+00 1.051612496376037598e+00 -6.779855582863036911e-03 5.010151071473400997e-04 -3.164004683494567871e-01 9.486013650894162819e-01
1.258760322999954224e+06 1.905108946165065108e-03 1.463040153251724332e-03 1.129640510512119889e-03 9.213267388289343884e+00 -1.654157030098499237e-01 3.314052235919491274e+00 2.846679687500000000e+01 3.216214776039123535e-01 1.145355224609375000e+00 1.051620125770568848e+00 -6.728488486260231216e-03 4.553060862235447370e-04 -3.165335953235626221e-01 9.485574364662169300e-01
1.267093322999954224e+06 2.872374726047676862e-03 2.644776315973560842e-03 -3.173165013050257416e-03 9.144859456526488017e+00 -2.099679305339479940e-01 3.336182818429589414e+00 2.844921875000000000e+01 3.216286897659301758e-01 1.145352005958557129e+00 1.051627159118652344e+00 -6.685312371701001254e-03 3.979304165113439762e-04 -3.166718780994415283e-01 9.485116004943846546e-01
1.275426322999954224e+06 -1.056837143477213975e-03 3.217016520425265442e-03 -5.288860248777145848e-03 9.203666275059470436e+00 -1.858876082737625224e-01 3.330652732200051425e+00 2.844921875000000000e+01 3.216272294521331787e-01 1.145357131958007812e+00 1.051628828048706055e+00 -6.637649144977275650e-03 3.659652720670869552e-04 -3.167703151702880859e-01 9.484789967536926270e-01
1.283760322999954224e+06 -4.973975890975736169e-03 -2.733545967673784729e-04 -4.984744782378377516e-03 9.254072119516310480e+00 -1.798707381826227802e-01 3.380499886992622827e+00 2.843945312500000000e+01 3.215885460376739502e-01 1.145383834838867188e+00 1.051622390747070312e+00 -6.714033428579624374e-03 2.640214224811088251e-04 -3.167488574981689453e-01 9.484857320785520240e-01
1.292093322999954224e+06 -4.223788795191127377e-03 -5.203510471729837217e-03 -2.033186937771701633e-03 9.189264605214658488e+00 -1.232637270338321350e-01 3.328474843468765432e+00 2.843554687500000000e+01 3.215512335300445002e-01 1.145403146743774414e+00 1.051595807075500488e+00 -6.773055065423249331e-03 1.561449971629325084e-05 -3.166365623474120539e-01 9.485228657722472034e-01
1.300427322999954224e+06 -3.489016418654795892e-03 -5.776655866418000176e-03 -2.575157424733817355e-03 9.203666275059470436e+00 -1.545763151443331207e-01 3.345921955487122901e+00 2.842578125000000000e+01 3.215411007404327393e-01 1.145415306091308372e+00 1.051604866981506348e+00 -6.744907703250591080e-03 -2.502836832724008803e-05 -3.167720437049865723e-01 9.484778046607971191e-01
1.308760322999954224e+06 -1.523378034186631536e-03 -1.068406974413962755e-02 -3.390354625472847064e-03 9.188064466060925639e+00 -9.556516750424769169e-02 3.266173378877672562e+00 2.846484375000000000e+01 3.215253055095672607e-01 1.145433664321899414e+00 1.051612257957458496e+00 -6.747129838913735501e-03 -5.890311149417404302e-05 -3.168790042400360107e-01 9.484420418739318848e-01
1.317093322999954224e+06 1.863022775675516045e-04 -1.413056133189818236e-02 -7.425392628775282985e-03 9.328480747047835919e+00 -1.040077571045418953e-01 3.301844149128414507e+00 2.846289062500000000e+01 3.215079009532928467e-01 1.145456075668334739e+00 1.051617741584777832e+00 -6.753919180482681472e-03 -9.831421630226988562e-05 -3.169707953929900568e-01 9.484112858772275612e-01
1.325426322999954224e+06 1.658025769578609643e-03 -1.470311173571884830e-02 -7.436623471778579589e-03 9.252871980362575854e+00 -6.305542128466234963e-02 3.225288575545525394e+00 2.846289062500000000e+01 3.214937448501586914e-01 1.145475387573241965e+00 1.051619768142699973e+00 -6.774736102670431137e-03 -1.209290203406376829e-04 -3.170475363731384277e-01 9.483855366706848145e-01
1.333760322999954224e+06 -3.227558185136820967e-03 -1.244390576621067987e-02 1.140374706615782802e-04 9.242070727978967781e+00 -7.630153560361718768e-02 3.181947576188454363e+00 2.842578125000000000e+01 3.214836716651916504e-01 1.145494699478149414e+00 1.051620960235595703e+00 -6.788189522922150054e-03 -1.217060053023133335e-04 -3.171059191226959229e-01 9.483658075332640491e-01
1.342093322999954224e+06 4.600613121658325699e-04 -5.227766680240790789e-03 7.321212504997540865e-03 9.221668362365484484e+00 -9.315962811679190381e-02 3.138741578830350321e+00 2.843554687500000000e+01 3.214673101902008057e-01 1.145501494407653809e+00 1.051623582839965820e+00 -6.721449550241288297e-03 -4.063069718543421693e-05 -3.170293569564819336e-01 9.483919739723203346e-01
1.350427322999954224e+06 2.185453904731023134e-03 -6.102465154135031621e-03 1.026013368404411590e-02 9.212067249135607483e+00 -1.292871799454191617e-01 3.150646437722596893e+00 2.842382812500000000e+01 3.214282691478728693e-01 1.145524263381958008e+00 1.051617622375488281e+00 -6.782882381230537217e-03 -2.657092636637603533e-06 -3.168480992317200262e-01 9.484520554542540394e-01
