time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
9.204325419998170109e+05 -1.940090158692369185e-02 -1.945355985210327557e-02 -5.520112930802092283e-04 9.743728894239906069e+00 1.753479814294691685e-01 -3.413220921430442090e-01 2.520312500000000000e+01 2.385182529687881192e-01 5.982562303543090820e-01 2.046819686889648438e+00 -1.421182900667190274e-01 -1.282011419534683505e-01 -3.412909805774688721e-01 9.202648401260377087e-01
9.287655419998170109e+05 -1.940090158692369185e-02 -1.945355985210327557e-02 -5.520112930802092283e-04 9.743728894239906069e+00 1.753479814294691685e-01 -3.413220921430442090e-01 2.520312500000000000e+01 2.384914010763168335e-01 5.983331203460692249e-01 2.046814918518066406e+00 -1.422071903944014670e-01 -1.282015740871429998e-01 -3.413351178169250488e-01 9.202346801757811390e-01
9.370995419998170109e+05 -1.940090158692369185e-02 -1.945355985210327557e-02 -5.520112930802092283e-04 9.743728894239906069e+00 1.753479814294691685e-01 -3.413220921430442090e-01 2.520312500000000000e+01 2.384774982929229736e-01 5.984020829200744629e-01 2.046817064285278320e+00 -1.423146277666092474e-01 -1.282906234264374890e-01 -3.413271307945251465e-01 9.202086329460144043e-01
9.454325419998170109e+05 -1.940090158692369185e-02 -1.945355985210327557e-02 -5.520112930802092283e-04 9.743728894239906069e+00 1.753479814294691685e-01 -3.413220921430442090e-01 2.520312500000000000e+01 2.384472936391830444e-01 5.984692573547363281e-01 2.046814203262328657e+00 -1.424055993556974653e-01 -1.283180862665176392e-01 -3.414000570774078369e-01 9.201636910438536487e-01
9.537655419998170109e+05 -1.915197758367423453e-02 -2.061380884522629603e-02 2.523846342870634391e-04 9.747329311701106391e+00 2.066589508136305875e-01 -3.507902966880975804e-01 2.517578125000000000e+01 2.384248673915863315e-01 5.985295176506041370e-01 2.046814203262328657e+00 -1.425016522407532293e-01 -1.284286230802536288e-01 -3.414438664913176935e-01 9.201170206069944069e-01
9.620995419998170109e+05 -1.793455145344436535e-02 -2.261547095677652816e-02 -3.780365030324113387e-03 9.756930424930983392e+00 2.090666485028724042e-01 -3.426956537401342207e-01 2.517578125000000000e+01 2.383860796689987183e-01 5.985908508300781250e-01 2.046816110610961470e+00 -1.425709426403046209e-01 -1.284669190645218451e-01 -3.415524661540984552e-01 9.200607538223265491e-01
9.704325419998170109e+05 -1.843500256271668469e-02 -2.000182863954256055e-02 -6.194529065351188704e-03 9.749729590008579194e+00 2.054544544784738802e-01 -3.731593467209803894e-01 2.515820312500000000e+01 2.383622229099273682e-01 5.986451506614685059e-01 2.046821355819702148e+00 -1.426475793123245239e-01 -1.285653710365295965e-01 -3.416165709495543878e-01 9.200112223625184216e-01
9.787655419998170109e+05 -1.795700024215716312e-02 -1.795778717966219420e-02 -9.689338237089039838e-03 9.639316787865022107e+00 2.078729436766454386e-01 -3.692745160080155298e-01 2.514257812500000000e+01 2.382708340883255282e-01 5.986728668212890625e-01 2.046856641769408736e+00 -1.425788551568984708e-01 -1.288682520389557440e-01 -3.417502045631408691e-01 9.199299812316894531e-01
9.870985419998170109e+05 -1.746777352724123572e-02 -1.824258760833899831e-02 -1.022966080544442796e-02 9.699323745551735598e+00 2.150932309520488805e-01 -3.936234803813758454e-01 2.518554687500000000e+01 2.381749898195266724e-01 5.987103581428527832e-01 2.046883344650268555e+00 -1.425261348485947210e-01 -1.290509253740311224e-01 -3.419550061225891113e-01 9.198363423347472034e-01
9.954325419998170109e+05 -1.380419364707539259e-02 -1.618258302651794447e-02 -1.428694964430047253e-02 9.765331399007123991e+00 2.271301006719180782e-01 -3.898437668476237850e-01 2.523632812500000000e+01 2.380845546722412109e-01 5.987403392791748047e-01 2.046903848648071289e+00 -1.424668580293655118e-01 -1.292363554239273626e-01 -3.420904576778411865e-01 9.197692275047298915e-01
