time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
2.318148507889995575e+08 1.381762416180541519e+00 -2.776420730610095269e-02 -4.342559998965204726e-01 1.019978177265894281e+01 -3.328993994052030780e-01 -5.860875318785703225e-01 2.891406250000000000e+01 -1.339946627616882324e+00 -2.530762553215026855e-02 1.536334514617919922e+00 1.450407803058624268e-01 1.348592489957807505e-01 -9.767004251480102539e-01 8.265832066535948319e-02
2.318315177889995575e+08 1.332898157776719827e+00 -6.434569197430214937e-02 -3.906136531886900687e-01 1.013377411920355442e+01 -1.715198764082324634e-01 -2.725324785011408735e-01 2.893750000000000000e+01 -1.356336951255798340e+00 1.439643204212188721e-01 1.579687356948852317e+00 1.719269156455993652e-01 9.721301496028894595e-02 -8.583257794380189099e-01 -4.735690951347351074e-01
2.318398507889995575e+08 1.304341346366753696e+00 -9.413158733828104474e-02 -3.586825363198116179e-01 1.010377064036019590e+01 -1.161202753020093986e-01 -8.992282409483443040e-02 2.895507812500000000e+01 -1.354968070983886719e+00 1.838158965110778809e-01 1.589105844497680664e+00 1.677257418632507324e-01 8.535651117563235191e-02 -8.081328868865966797e-01 -5.581251382827758789e-01
2.318481837889995575e+08 1.286588768140834338e+00 -1.285208478756575678e-01 -3.228081494519106087e-01 1.007616743982430663e+01 3.321298936232308652e-02 -8.137413684340179254e-02 2.886914062500000000e+01 -1.350916981697082297e+00 2.067637741565704346e-01 1.594048261642456055e+00 1.641260385513305942e-01 7.986544072628010138e-02 -7.814527750015257679e-01 -5.966705679893493652e-01
2.318565177889995575e+08 1.283973868545618346e+00 -1.439735142197798856e-01 -3.004958567659298807e-01 1.006416604828696393e+01 1.030623378019430852e-01 -8.358849049406158471e-02 2.886914062500000000e+01 -1.345334887504577637e+00 2.191140353679656705e-01 1.596295356750488281e+00 1.618965417146682739e-01 7.803146541118609336e-02 -7.702826261520385742e-01 -6.118538379669188343e-01
2.318648507889995575e+08 1.279002116108973963e+00 -1.685478453702315138e-01 -2.480986254425446291e-01 1.005216465674962478e+01 2.198786259357072004e-01 -3.644824091711940106e-02 2.893164062500000000e+01 -1.338595151901245117e+00 2.246773242950439731e-01 1.596722722053527832e+00 1.627196818590163907e-01 8.073790371417986778e-02 -7.680392265319824219e-01 -6.141004562377929688e-01
2.318731847889995575e+08 1.280163227665829906e+00 -1.965676078185206732e-01 -1.960153033604076778e-01 1.006536618744070033e+01 1.813404627104272526e-01 4.097372946437927155e-02 2.892578125000000000e+01 -1.331656455993652344e+00 2.265207171440124512e-01 1.596100687980651855e+00 1.610007882118225098e-01 8.159374445676792487e-02 -7.719812393188476562e-01 -6.094803214073181152e-01
2.318815177889995575e+08 1.281465817693132836e+00 -2.082417780250305217e-01 -1.737391165245159019e-01 1.006656632659443140e+01 1.488247811609305638e-01 7.506310933458792967e-02 2.887304687500000000e+01 -1.324286103248595969e+00 2.260049879550933560e-01 1.594978928565979004e+00 1.618717312812804621e-01 8.543113619089109934e-02 -7.783226966857910156e-01 -6.005936264991760254e-01
2.318898507889995575e+08 1.275237776306693549e+00 -2.293048064415215137e-01 -1.307280871582531534e-01 1.010977133612886725e+01 8.740259046383515307e-02 -3.131412426470037147e-02 2.894335937500000000e+01 -1.316906213760375977e+00 2.244329452514648438e-01 1.593491792678833008e+00 1.627431213855743131e-01 8.939638733863813913e-02 -7.861830592155456543e-01 -5.894396305084228516e-01
2.318981847889995575e+08 1.263818974581929488e+00 -2.390573246839056698e-01 -9.761727811095448348e-02 1.013137384089608517e+01 -8.962858623954617077e-02 -2.737098636748553360e-01 2.887695312500000000e+01 -1.309624671936035156e+00 2.226680964231491089e-01 1.591912150382995605e+00 1.629002690315246304e-01 9.228712320327742136e-02 -7.946595549583435059e-01 -5.774624347686767578e-01
2.319065177889995575e+08 1.238370577077463563e+00 -2.398240210823719687e-01 -8.023618754909866979e-02 1.019018065942906759e+01 -3.750483537587204763e-01 -6.235548553124932170e-01 2.887695312500000000e+01 -1.302178859710693137e+00 2.209464758634567261e-01 1.590043544769287109e+00 1.649401485919952115e-01 9.655089676380153307e-02 -8.017715215682982288e-01 -5.662465691566465065e-01
2.319148507889995575e+08 1.222925917980894672e+00 -2.329604150574156041e-01 -7.663078035712837799e-02 1.019018065942906759e+01 -5.171534533461308314e-01 -7.257701495815318538e-01 2.895117187500000000e+01 -1.295290231704711914e+00 2.195728123188018799e-01 1.588664412498473899e+00 1.644923537969589511e-01 9.846518933773026894e-02 -8.098628520965576172e-01 -5.544086694717407227e-01
2.319231837889995575e+08 1.182675639687250424e+00 -2.148653249394671949e-01 -8.357192971577716289e-02 1.013017370174235232e+01 -7.471656340424740472e-01 -9.517261407755559510e-01 2.890625000000000000e+01 -1.288128733634948730e+00 2.185736745595932007e-01 1.587195158004760742e+00 1.657097339630127231e-01 1.021144613623616859e-01 -8.161490559577941895e-01 -5.440711975097656250e-01
2.319315177889995575e+08 1.130089402945182453e+00 -1.886051538628883972e-01 -1.148427306942980397e-01 1.011457189274380397e+01 -9.061292578034163547e-01 -9.608457524114305537e-01 2.886718750000000000e+01 -1.281374573707580344e+00 2.178408950567245206e-01 1.586035490036010742e+00 1.650773584842681607e-01 1.038584336638448818e-01 -8.231326937675474964e-01 -5.333061218261718750e-01
2.319398507889995575e+08 1.103775616817268324e+00 -1.726970987322447582e-01 -1.366532669260092092e-01 1.006416604828696393e+01 -1.006080007282843969e+00 -9.095518643041347051e-01 2.886718750000000000e+01 -1.274673342704772727e+00 2.176484167575835904e-01 1.585094213485717551e+00 1.643549203872680387e-01 1.051129549741743746e-01 -8.292078971862794079e-01 -5.237871408462524414e-01
2.319481847889995575e+08 1.053089757168298668e+00 -1.411282089162806674e-01 -1.875352006952367701e-01 1.001496034298385851e+01 -1.055451083468283091e+00 -9.064955507022819381e-01 2.890039062500000000e+01 -1.267660140991210715e+00 2.178146243095397672e-01 1.584091067314147949e+00 1.650975495576858243e-01 1.081326156854628406e-01 -8.334649205207823597e-01 -5.161262750625609241e-01
2.319565177889995575e+08 1.020315408385748635e+00 -1.069107247691229584e-01 -2.318563345869304737e-01 9.934551019683661721e+00 -1.001251230433287898e+00 -7.937201441532977242e-01 2.894335937500000000e+01 -1.260980725288391113e+00 2.181430160999298096e-01 1.583407998085021973e+00 1.639375388622283658e-01 1.095172166824339155e-01 -8.384429812431334339e-01 -5.080786347389221191e-01
2.319648507889995575e+08 1.007247541480718267e+00 -9.095933428417186939e-02 -2.510905389052985326e-01 9.934551019683661721e+00 -8.422862037761846832e-01 -6.903364986345223997e-01 2.893164062500000000e+01 -1.254307031631469505e+00 2.188911437988280695e-01 1.582847595214843528e+00 1.624138653278350830e-01 1.100134178996084455e-01 -8.427921533584593616e-01 -5.012187361717224121e-01
