time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
9.429485209999084473e+05 4.383142734944097687e-04 6.167137713247553540e-06 1.948258530852351247e-03 9.137658621604083820e+00 -1.353018917347729166e-01 3.569017611616401631e+00 3.186718750000000000e+01 3.528544604778289795e-01 1.051951646804809570e+00 1.050349712371825950e+00 -1.599453680682372259e-04 -7.238036021590243257e-03 -5.941755697131156921e-02 -9.982070326805113636e-01
9.512815209999084473e+05 4.383142734944097687e-04 6.167137713247553540e-06 1.948258530852351247e-03 9.137658621604083820e+00 -1.353018917347729166e-01 3.569017611616401631e+00 3.186718750000000000e+01 3.528584837913512628e-01 1.051947116851806641e+00 1.050348877906799094e+00 -1.692988444120246689e-04 -7.225840352475657903e-03 -5.943742766976356506e-02 -9.982059597969056286e-01
9.596155209999084473e+05 6.821055600113798412e-04 -1.722802930397360341e-03 6.065625306962835195e-04 9.154460569756365018e+00 -1.557761711306499541e-01 3.552334606257881333e+00 3.190625000000000000e+01 3.528571128845214844e-01 1.051945328712463157e+00 1.050345659255981445e+00 -1.877632748800706075e-04 -7.200180552899847902e-03 -5.943337455391883850e-02 -9.982063174247740589e-01
9.679485209999084473e+05 -2.012103290147747737e-03 -8.723212269774806597e-04 1.969103543849156507e-03 9.198865718444531936e+00 -1.473502004541076826e-01 3.561118494226500619e+00 3.190039062500000000e+01 3.528563976287841797e-01 1.051943898200988770e+00 1.050343275070190430e+00 -1.993477053474080045e-04 -7.184627000242475164e-03 -5.942561104893683693e-02 -9.982069134712220349e-01
9.762825209999084473e+05 -1.277718533039255699e-03 -1.156086773603774319e-03 1.426797224046308030e-03 9.146059595680224419e+00 -1.786567453196078459e-01 3.560690327325688465e+00 3.190039062500000000e+01 3.528552353382110596e-01 1.051943421363830344e+00 1.050341963768005149e+00 -2.026978618233088447e-04 -7.178519386798145989e-03 -5.942938849329949119e-02 -9.982066750526429333e-01
9.846155209999084473e+05 4.368740290045248207e-04 -5.688280754844324619e-04 1.143893849082016495e-03 9.184464048599721764e+00 -1.557788690078824312e-01 3.556619930997374723e+00 3.191601562500000000e+01 3.528567254543304443e-01 1.051946163177490234e+00 1.050345540046691895e+00 -1.974195329240147068e-04 -7.208521943539394905e-03 -5.940197408199310303e-02 -9.982081055641174316e-01
9.929485209999084473e+05 -5.429829009100731185e-04 -1.151727299810219145e-03 1.152500520553323415e-03 9.185664187753456389e+00 -1.413276108632350314e-01 3.543665558523914960e+00 3.189453125000000000e+01 3.528591096401214600e-01 1.051943659782409668e+00 1.050344586372375488e+00 -2.046789595624431968e-04 -7.197591010481122625e-03 -5.943144485354424217e-02 -9.982064366340637207e-01
1.001282520999908447e+06 1.914386006055604494e-04 -2.012997714918234732e-03 3.425204172813386266e-04 9.136458482450349194e+00 -1.654087964441348646e-01 3.550237783553506610e+00 3.190234375000000000e+01 3.528564274311065674e-01 1.051943063735961914e+00 1.050344824790954368e+00 -2.133701636922169249e-04 -7.194227073341621925e-03 -5.942196026444435120e-02 -9.982070922851561390e-01
1.009615520999908447e+06 -7.900422958346670077e-04 -2.833678100331044752e-04 8.851313243279854137e-04 9.140058899911551293e+00 -1.642048396844247304e-01 3.556065170943376597e+00 3.190234375000000000e+01 3.528587818145751953e-01 1.051944255828857422e+00 1.050342440605163574e+00 -2.093888615490313305e-04 -7.179054431617273857e-03 -5.941329151391983032e-02 -9.982076287269592285e-01
1.017948520999908447e+06 -5.490010897196903605e-04 5.908259267710935791e-04 -1.912417222440735559e-04 9.154460569756365018e+00 -1.485504881007815858e-01 3.554682683468193716e+00 3.187109375000000000e+01 3.528562188148498535e-01 1.051947116851806641e+00 1.050343871116637962e+00 -2.150696964235420685e-04 -7.167757023125893856e-03 -5.941568687558172746e-02 -9.982075691223144531e-01
1.026281520999908447e+06 -5.463244981319947957e-04 -8.573281411802732843e-04 7.878289111019030899e-05 9.192865022675862363e+00 -1.341025753239024620e-01 3.557669444578587914e+00 3.190820312500000000e+01 3.528551161289215088e-01 1.051948904991149902e+00 1.050342082977294700e+00 -2.078021789201911496e-04 -7.168864365667119466e-03 -5.944257974624633789e-02 -9.982059597969056286e-01
1.034615520999908447e+06 1.903595212860882463e-03 2.043054677017482751e-03 8.606233956800509290e-04 9.144859456526488017e+00 -1.642052713447819112e-01 3.540715779365205762e+00 3.191601562500000000e+01 3.528582155704498291e-01 1.051948428153991699e+00 1.050347089767456055e+00 -2.118508709827992837e-04 -7.158656604588035238e-03 -5.945313349366188049e-02 -9.982054829597472034e-01
1.042948520999908447e+06 1.659285898338289100e-03 3.082503618797920674e-04 3.279312458707109453e-04 9.158060987217565341e+00 -1.545722143709398200e-01 3.544054917222686285e+00 3.192773437500000000e+01 3.528591692447662354e-01 1.051947474479675293e+00 1.050347685813903809e+00 -2.159875148209366720e-04 -7.152824196964505804e-03 -5.946313217282295227e-02 -9.982048869132995605e-01
1.051282520999908447e+06 -5.266681652494470400e-05 -1.149657535709194779e-03 1.148533017658402711e-03 9.171262517908642664e+00 -1.738418895165708689e-01 3.579147385812020410e+00 3.189062500000000000e+01 3.528584837913512628e-01 1.051949501037597656e+00 1.050345897674560325e+00 -2.063621795969639288e-04 -7.159488275647176402e-03 -5.945655331015586159e-02 -9.982052445411682129e-01
1.059615520999908447e+06 1.895739922806935485e-04 -1.721108211572326338e-03 -1.945063138605943314e-04 9.147259734833955491e+00 -1.617969261650044621e-01 3.530101075256277809e+00 3.189062500000000000e+01 3.528532385826110840e-01 1.051955342292785645e+00 1.050350189208984375e+00 -1.946521369972642468e-04 -7.183706853538755072e-03 -5.942285060882567665e-02 -9.982070922851561390e-01
1.067948520999908447e+06 4.340670288390316976e-04 -2.873828238843231797e-03 -1.000183081396921947e-03 9.146059595680224419e+00 -1.834738673395200359e-01 3.565394754263286003e+00 3.193359375000000000e+01 3.528533875942230225e-01 1.051956772804260254e+00 1.050348162651062012e+00 -1.997001527342945066e-04 -7.190892007201916958e-03 -5.941115692257880471e-02 -9.982076883316040039e-01
1.076281520999908447e+06 4.362090233702986541e-04 -1.722582984805852381e-03 3.402008329931455188e-04 9.129257647527943220e+00 -1.678167099635551329e-01 3.564445982219719866e+00 3.191992187500000000e+01 3.528492152690887451e-01 1.051956057548522727e+00 1.050347208976745605e+00 -1.883773948065936294e-04 -7.192187011241919781e-03 -5.944345146417617798e-02 -9.982057213783264160e-01
1.084615520999908447e+06 4.325165511276928844e-04 -1.716308846595755028e-03 -1.001526412759854703e-03 9.152060291448895768e+00 -1.497545527755810291e-01 3.560594511736456802e+00 3.193750000000000000e+01 3.528516292572020929e-01 1.051954746246337891e+00 1.050349354743957520e+00 -1.971299789147451520e-04 -7.191990502178679384e-03 -5.944603309035300515e-02 -9.982056617736816406e-01
1.092948520999908447e+06 6.756630073667876935e-04 8.866350127275430702e-04 -4.698417614727115762e-04 9.165261822139971315e+00 -1.690242279212121890e-01 3.531029546710914069e+00 3.193750000000000000e+01 3.528473973274230957e-01 1.051955342292785645e+00 1.050348281860351562e+00 -2.084687439491972327e-04 -7.188648916780965986e-03 -5.944041535258292458e-02 -9.982059597969056286e-01
1.101282520999908447e+06 1.880235145693479320e-04 -5.635888193248478339e-04 -1.958496452235252718e-04 9.146059595680224419e+00 -1.726353427947175945e-01 3.563038921568311146e+00 3.187109375000000000e+01 3.528485000133514404e-01 1.051952362060546875e+00 1.050348281860351562e+00 -2.136785333277657628e-04 -7.185562979429970659e-03 -5.945024266839025323e-02 -9.982054233551024280e-01
1.109615520999908447e+06 1.858447756309388756e-04 -1.137329204880509551e-03 -1.268559776144461901e-03 9.148459873987693669e+00 -1.678184366049840226e-01 3.566530259819825410e+00 3.189257812500000000e+01 3.528516888618468683e-01 1.051952481269836426e+00 1.050347805023193137e+00 -2.094280498567413224e-04 -7.188427727669487871e-03 -5.943299084901809692e-02 -9.982063770294188343e-01
