time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
2.603402701040000916e+08 -2.994165249746392338e-02 -2.449601420405096708e-01 6.876331590384993087e-02 1.166155126190732005e+01 8.375298108546992415e-01 -2.416140538634038215e+00 1.851367187500000000e+01 -1.461425304412841575e+00 5.306158065795897327e-01 1.984875798225402832e+00 1.632381379604339877e-01 -2.215644419193265602e-01 9.502843618392944336e-01 1.456778347492218018e-01 -1.461425304412841575e+00 5.306158065795897327e-01 1.984875798225402832e+00
2.603486031040000916e+08 -2.256018206021713490e-02 -2.588331313900263386e-01 7.167172327743791260e-02 1.058382630185391804e+01 8.617123287044502478e-01 -2.236588457234350180e+00 1.856054687500000000e+01 -1.488700270652770774e+00 6.116555333137512207e-01 1.979401230812072754e+00 1.134267225861549239e-01 -2.713946104049680952e-01 8.363606929779052734e-01 4.625798463821411133e-01 -1.460322910703186983e+00 5.307055610997040151e-01 1.984642838898972084e+00
2.603569361040000916e+08 -1.494518216361284679e-02 -2.640236904156362807e-01 7.456807191435638194e-02 1.013857467581849114e+01 8.593438041926243498e-01 -2.249208072821247129e+00 1.852343750000000000e+01 -1.507750511169433594e+00 6.751371622085571289e-01 1.975400090217590332e+00 6.271775066852575131e-02 -2.886798083782194935e-01 6.712297797203063965e-01 6.798389554023742676e-01 -1.458531964521118773e+00 5.308549052649951250e-01 1.984253258916791607e+00
2.603652691040000916e+08 -4.398143399378572072e-03 -2.651429840179218567e-01 7.582584117923152345e-02 9.660919292632240030e+00 7.269158988505795005e-01 -2.380056012035161039e+00 1.853710937500000000e+01 -1.520216226577758789e+00 7.244826555252075195e-01 1.972552180290221502e+00 2.398160286247730255e-02 -2.876537740230559193e-01 5.250201225280761719e-01 8.006460666656494141e-01 -1.456086758766218070e+00 5.310501278393890967e-01 1.983693867521614251e+00
2.603736031040000916e+08 -4.797481294259096072e-04 -2.581900933451228841e-01 7.766445931194873586e-02 9.504901202646781400e+00 5.185894004509848942e-01 -2.434226293987568734e+00 1.852929687500000000e+01 -1.527420997619628906e+00 7.624537348747251198e-01 1.970647454261780007e+00 -2.378473291173577309e-03 -2.813928425312040571e-01 4.169333279132843018e-01 8.642793893814088024e-01 -1.452986469281676962e+00 5.312741610692437444e-01 1.982963447324886275e+00
2.603819361040000916e+08 -1.970097529329396802e-03 -2.492129790710878312e-01 7.498249651106478342e-02 9.626115257173944784e+00 4.499345122432167332e-01 -2.516997330228170071e+00 1.852929687500000000e+01 -1.530448198318481445e+00 7.913753390312194824e-01 1.969539999961852805e+00 -1.988688111305231265e-02 -2.748481035232542835e-01 3.415455818176268976e-01 8.985597491264342151e-01 -1.449213956170801509e+00 5.315270245496307444e-01 1.982055473651148425e+00
2.603902691040000916e+08 -1.257074522043739179e-02 -2.295244369148039254e-01 6.323776142750937856e-02 9.891346010149225876e+00 2.825156728165322262e-01 -2.614659220072793389e+00 1.853320312500000000e+01 -1.530140638351440430e+00 8.129968643188476562e-01 1.969006538391112837e+00 -3.175171092152601071e-02 -2.696570754051208496e-01 2.897748947143555243e-01 9.177730679512026146e-01 -1.444745390317859091e+00 5.317936929153594949e-01 1.980962550179490744e+00
2.603986031040000916e+08 -2.908553407906508056e-02 -1.971054317154536384e-01 4.669564164898996200e-02 9.963354359373282065e+00 1.933924405427983884e-01 -2.709669017614152686e+00 1.857617187500000000e+01 -1.527348995208740234e+00 8.288049101829531029e-01 1.969056367874144842e+00 -3.930359333753591367e-02 -2.667079269886015735e-01 2.542591989040374756e-01 9.288026094436643287e-01 -1.439581735991704026e+00 5.320707315874739773e-01 1.979677983609134273e+00
2.604069361040000916e+08 -4.603896819234334220e-02 -1.818108455938934331e-01 4.064277602784212989e-02 9.880544757765616026e+00 1.837656426441353630e-01 -2.717918584942319526e+00 1.857617187500000000e+01 -1.522495388984679954e+00 8.401505351066588245e-01 1.969454407691955566e+00 -4.458431899547582455e-02 -2.648047804832457386e-01 2.304811924695968905e-01 9.352909326553343616e-01 -1.433735523819490210e+00 5.323601624568238266e-01 1.978204566796945230e+00
2.604152701040000916e+08 -7.357338442652042176e-02 -1.367558898777747056e-01 3.490896638549022962e-02 9.453295219036206731e+00 2.608780127345212696e-01 -2.676745418806968146e+00 1.850390625000000000e+01 -1.516012072563171165e+00 8.479691743850706898e-01 1.970263600349426492e+00 -4.809225723147397824e-02 -2.635710835456847589e-01 2.148067951202392856e-01 9.391888380050658069e-01 -1.427246822453183794e+00 5.326704261937109663e-01 1.976546476853338730e+00
2.604236031040000916e+08 -1.028019358446256443e-01 -8.885829882286153114e-02 3.857777539513421866e-02 9.239670449671496755e+00 3.668739060584852996e-01 -2.565667382487871073e+00 1.853710937500000000e+01 -1.508318781852721946e+00 8.530673384666441761e-01 1.971287965774535911e+00 -5.026891082525252602e-02 -2.629889547824859064e-01 2.050112038850784857e-01 9.414245486259459339e-01 -1.420124763538481938e+00 5.330098070499549312e-01 1.974714296492402710e+00
2.604319361040000916e+08 -1.239101240065645648e-01 -4.473115882491447703e-02 5.130923170506193620e-02 9.440093688345127632e+00 4.800582517065092869e-01 -2.346315317410323509e+00 1.853515625000000000e+01 -1.499687790870666504e+00 8.561029434204099342e-01 1.972512602806091531e+00 -5.169077217578892797e-02 -2.624442875385284424e-01 1.992398351430892667e-01 9.427378773689270020e-01 -1.412340236422493733e+00 5.333864523154596693e-01 1.972726806384431431e+00
2.604402701040000916e+08 -1.307711470646654717e-01 -2.859752817069278336e-02 6.046971537763020516e-02 9.564908160333494891e+00 5.041326386367831480e-01 -2.234028318680400638e+00 1.857421875000000000e+01 -1.490387678146362305e+00 8.575573563575742408e-01 1.973886251449584739e+00 -5.221082270145410709e-02 -2.626325786113738459e-01 1.969730406999588013e-01 9.431329965591430664e-01 -1.403886065245374848e+00 5.337989956432860339e-01 1.970587801789981386e+00
2.604486031040000916e+08 -1.442202533421429178e-01 -9.368892729971295408e-03 8.256064773726065620e-02 9.680121519091986926e+00 4.860580712135396664e-01 -2.002855213006612178e+00 1.855468750000000000e+01 -1.480551838874816895e+00 8.578196763992307350e-01 1.975337505340575950e+00 -5.237797275185585022e-02 -2.630510926246642511e-01 1.970347315073013306e-01 9.429941773414609596e-01 -1.394756771312347654e+00 5.342446111629186589e-01 1.968318013324622306e+00
2.604569361040000916e+08 -1.478478105410107324e-01 -3.117190687087387571e-03 1.037823061693738669e-01 9.861342531305869130e+00 4.944717395699019802e-01 -1.818458955376611952e+00 1.850976562500000000e+01 -1.470381259918212891e+00 8.572266697883605957e-01 1.976866602897644043e+00 -5.223493278026575259e-02 -2.639009058475493830e-01 1.990144550800324041e-01 9.423486590385437012e-01 -1.384936424817022393e+00 5.347248543686804467e-01 1.965928355225342372e+00
2.604652701040000916e+08 -1.451224379463851022e-01 -6.330394625398960522e-03 1.126195788866696385e-01 1.010737105782139977e+01 4.294184697077808588e-01 -1.810094817975602899e+00 1.850976562500000000e+01 -1.460045695304870605e+00 8.560560941696168102e-01 1.978463292121887207e+00 -5.191281065344804935e-02 -2.645924091339111328e-01 2.019408345222473700e-01 9.415497183799743652e-01 -1.374404301640193893e+00 5.352327236094521767e-01 1.963412972104012999e+00
2.604736031040000916e+08 -1.401787535720358246e-01 -1.070937160449167945e-02 1.251971774604095922e-01 1.035219944518319579e+01 2.945170384720220413e-01 -1.841654061208827242e+00 1.855859375000000000e+01 -1.449614048004150391e+00 8.545092940330505371e-01 1.980149745941162109e+00 -5.142237618565559387e-02 -2.650289535522460938e-01 2.055882513523102362e-01 9.406639933586119495e-01 -1.363146138795620965e+00 5.357562973548064544e-01 1.960768920214945643e+00
2.604819361040000916e+08 -1.372369874743028240e-01 -1.445010725119570336e-02 1.232993201259154348e-01 1.034859902772199192e+01 1.174881279855159999e-01 -1.886200422050244407e+00 1.850585937500000000e+01 -1.439085364341735840e+00 8.526048660278320312e-01 1.981820344924926758e+00 -5.069167539477353879e-02 -2.660644650459288996e-01 2.101136296987534402e-01 9.394106268882751465e-01 -1.351169505736350640e+00 5.362818829998061698e-01 1.957992346039236997e+00
2.604902691040000916e+08 -1.365199389645310457e-01 -1.499313678247539937e-02 1.163170588593389065e-01 1.030659415734129425e+01 2.235374512037523881e-02 -1.944355213905717639e+00 1.850585937500000000e+01 -1.428595662117004395e+00 8.505699634552003063e-01 1.983579516410828081e+00 -5.000035092234612205e-02 -2.669880688190460205e-01 2.148531228303909302e-01 9.381127357482909046e-01 -1.338478652615186615e+00 5.368057178511060901e-01 1.955078738895585255e+00
2.604986031040000916e+08 -1.387720341605452878e-01 -5.108323470577590467e-03 1.045162945431547252e-01 1.010377064036019590e+01 -5.951909156804092299e-02 -1.989700083188715940e+00 1.854296875000000000e+01 -1.418151736259460449e+00 8.484582304954526588e-01 1.985392570495604803e+00 -4.929954558610916138e-02 -2.677225768566130482e-01 2.196810394525527954e-01 9.368214011192319557e-01 -1.325091514185699815e+00 5.373226384649565368e-01 1.952025003550857063e+00
2.605069361040000916e+08 -1.383695182141087276e-01 1.698574612994504379e-02 8.328751326146670297e-02 9.851741418075992129e+00 -1.305489791929934640e-01 -2.144871101885914122e+00 1.852929687500000000e+01 -1.407770752906799094e+00 8.463233113288878284e-01 1.987253665924072044e+00 -4.864038899540900490e-02 -2.683243155479430597e-01 2.244266569614410400e-01 9.355579614639280006e-01 -1.311030680517487612e+00 5.378279660069651413e-01 1.948817317997207477e+00
2.605152691040000916e+08 -1.411222114970240860e-01 3.179422123300371800e-02 7.014328004413199202e-02 9.746129172547373543e+00 -1.413780072099375118e-01 -2.188070897352094590e+00 1.856835937500000000e+01 -1.397457122802734375e+00 8.442074656486510120e-01 1.989144563674926758e+00 -4.786562919616699219e-02 -2.686783075332640491e-01 2.291060388088226318e-01 9.343614578247070312e-01 -1.296296753265980595e+00 5.383231004393868036e-01 1.945456195358491236e+00
2.605236031040000916e+08 -1.478517239565791119e-01 7.006480557316820124e-02 4.868487546618868733e-02 9.746129172547373543e+00 -1.473994097348279020e-01 -2.289169026570164966e+00 1.851953125000000000e+01 -1.387222170829772727e+00 8.421035408973692737e-01 1.991067767143248846e+00 -4.714971780776966437e-02 -2.688757479190825861e-01 2.334965914487838745e-01 9.332535266876220703e-01 -1.280884094439830312e+00 5.388078468833077395e-01 1.941932153830326691e+00
2.605319361040000916e+08 -1.565484821980772101e-01 1.094921592150281953e-01 2.563092487355854432e-02 1.013857467581849114e+01 -1.353918929192480247e-01 -2.257010132047140072e+00 1.862695312500000000e+01 -1.377075672149658203e+00 8.400611281394958496e-01 1.993048906326293279e+00 -4.643412306904787235e-02 -2.690163850784301758e-01 2.376349866390227994e-01 9.322036504745484509e-01 -1.264755688740634154e+00 5.392835512081378679e-01 1.938252936954062866e+00
2.605402701040000916e+08 -1.590525821774074477e-01 1.283379291412992673e-01 1.570015163481331549e-02 1.033899791449212024e+01 -1.053029021147094818e-01 -2.203380539734648202e+00 1.862695312500000000e+01 -1.367013573646545410e+00 8.380925655364990234e-01 1.995085597038268821e+00 -4.572560265660279705e-02 -2.690286040306091864e-01 2.414771467447281716e-01 9.312473535537719727e-01 -1.247900244205521370e+00 5.397530431077706137e-01 1.934422094565260819e+00
2.605486031040000916e+08 -1.613505504807896118e-01 1.570675677511952084e-01 -3.636114392235296946e-03 1.045661155155807975e+01 1.872741421927870409e-02 -2.046363957830626745e+00 1.859960937500000000e+01 -1.357021808624267578e+00 8.361998796463011585e-01 1.997167587280272771e+00 -4.483624175190925598e-02 -2.689211666584014893e-01 2.451178878545761664e-01 9.303699731826781116e-01 -1.230316686270399140e+00 5.402280857861482266e-01 1.930455075309936985e+00
2.605569361040000916e+08 -1.650963366739293947e-01 1.762238944957580655e-01 -1.919255913874656078e-02 1.033539749703091637e+01 1.078550710116738809e-01 -1.860149817355508883e+00 1.859179687500000000e+01 -1.347141146659851074e+00 8.343762755393981934e-01 1.999319911003112793e+00 -4.394343867897987366e-02 -2.687878906726836603e-01 2.484621107578277310e-01 9.295636415481568493e-01 -1.212019658300348413e+00 5.407137122635632398e-01 1.926365354569437915e+00
2.605652701040000916e+08 -1.638970184235862826e-01 1.860905706376704827e-01 -2.404411429727958821e-02 1.018177968535292344e+01 1.452015797974236522e-01 -1.780441710586722737e+00 1.859179687500000000e+01 -1.337322831153869629e+00 8.326140642166137695e-01 2.001510381698608398e+00 -4.307689890265459232e-02 -2.686261236667633057e-01 2.515111863613128662e-01 9.288307428359984241e-01 -1.193018545167655819e+00 5.412107794856417797e-01 1.922154241808076369e+00
