time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
1.015269104000091553e+06 7.622808923432648071e-03 -2.838578777498608832e-02 1.534091381479781024e-02 9.719726111165218896e+00 1.440388466018256430e-01 -3.750671234084452799e-01 2.700390625000000000e+01 5.756004527211188576e-02 8.441882133483886719e-01 2.049837350845336914e+00 -1.480687111616134644e-01 -1.266363859176636297e-01 -3.250958025455474854e-01 9.253926873207091175e-01 5.756004527211188576e-02 8.441882133483886719e-01 2.049837350845336914e+00
1.023603104000091553e+06 7.622808923432648071e-03 -2.838578777498608832e-02 1.534091381479781024e-02 9.719726111165218896e+00 1.440388466018256430e-01 -3.750671234084452799e-01 2.700390625000000000e+01 5.756384879350662231e-02 8.443163037300108753e-01 2.049847841262817383e+00 -1.482729762792587835e-01 -1.267304122447967807e-01 -3.250191807746886652e-01 9.253740310668944202e-01 5.857267874393993351e-02 8.442032197956531592e-01 2.049798275101946565e+00
1.031936104000091553e+06 7.622808923432648071e-03 -2.838578777498608832e-02 1.534091381479781024e-02 9.719726111165218896e+00 1.440388466018256430e-01 -3.750671234084452799e-01 2.700390625000000000e+01 5.758334696292876503e-02 8.444362878799438477e-01 2.049869060516357422e+00 -1.484082788228988647e-01 -1.268054246902466375e-01 -3.249851763248443048e-01 9.253540039062498890e-01 6.026007719477662755e-02 8.442282257396310774e-01 2.049733161365637546e+00
1.040270104000091553e+06 7.622808923432648071e-03 -2.838578777498608832e-02 1.534091381479781024e-02 9.719726111165218896e+00 1.440388466018256430e-01 -3.750671234084452799e-01 2.700390625000000000e+01 5.760109797120094299e-02 8.445500731468198463e-01 2.049888610839844194e+00 -1.486020982265472690e-01 -1.268515735864639837e-01 -3.249196410179138184e-01 9.253395795822143555e-01 6.262280762484466468e-02 8.442632395828284508e-01 2.049641987756869010e+00
1.048603104000091553e+06 7.139563652919182074e-03 -2.926603570440886384e-02 1.749265240941972818e-02 9.740128476778702193e+00 1.307899264905489911e-01 -3.518332251780788567e-01 2.705468750000000000e+01 5.762930586934089661e-02 8.446822166442869984e-01 2.049886703491210938e+00 -1.488698273897171021e-01 -1.268725842237473089e-01 -3.248060047626494806e-01 9.253335595130920410e-01 6.566226611164800719e-02 8.443068705366043591e-01 2.049527202410545978e+00
1.056936104000091553e+06 1.056625590745477981e-02 -2.953088858262741326e-02 1.531845212879120663e-02 9.797735156157949987e+00 9.586061192189919422e-02 -3.890622174180273785e-01 2.705859375000000000e+01 5.765308812260627747e-02 8.448094725608825684e-01 2.049905776977539062e+00 -1.490580439567566473e-01 -1.269384473562241156e-01 -3.247255086898803156e-01 9.253224730491638184e-01 6.938406851431873357e-02 8.443559452183724279e-01 2.049384108446163921e+00
1.065270104000091553e+06 1.107300259174310436e-02 -3.244394936905942162e-02 1.987971558986381324e-02 9.802535712772888488e+00 1.163329488461688349e-01 -4.150007058642795066e-01 2.705859375000000000e+01 5.766650289297103882e-02 8.449559211730957031e-01 2.049908876419067383e+00 -1.492985039949417114e-01 -1.270099431276321966e-01 -3.246101737022399902e-01 9.253143668174743652e-01 7.378736565911044043e-02 8.444138171172039797e-01 2.049211270797762552e+00
1.073603104000091553e+06 1.352303253595741814e-02 -3.127608115630682584e-02 1.985853474402626828e-02 9.812136826002760159e+00 1.103106830005642358e-01 -4.339410068381792662e-01 2.707812500000000000e+01 5.768284201622008583e-02 8.451035022735595703e-01 2.049911022186279297e+00 -1.495209187269211093e-01 -1.270783841609955112e-01 -3.244997859001159113e-01 9.253078103065488502e-01 7.887177083347954309e-02 8.444791323488096690e-01 2.049007665639185571e+00
1.081936104000091553e+06 1.672040583138372297e-02 -3.676586411339377580e-02 2.091250859578560814e-02 9.742528755086173220e+00 1.103169420757434821e-01 -4.235687701817120732e-01 2.701953125000000000e+01 5.770386755466460488e-02 8.452550768852233887e-01 2.049912214279174805e+00 -1.497197300195692860e-01 -1.271547377109527865e-01 -3.243733346462249756e-01 9.253095388412476696e-01 8.463026962709742362e-02 8.445521080836225769e-01 2.048775008454086777e+00
1.090270104000091553e+06 2.014420102788872652e-02 -3.211753371277062397e-02 2.007432640261763712e-02 9.722126389472689922e+00 5.130903188833703388e-02 -5.149558491945727123e-01 2.704882812500000000e+01 5.772586539387702942e-02 8.454055786132812500e-01 2.049906969070434570e+00 -1.498846113681793213e-01 -1.272358894348144531e-01 -3.242780566215515137e-01 9.253050088882446289e-01 9.106404723038917515e-02 8.446266075192970790e-01 2.048503381368984577e+00
