time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
2.544287655419997573e+08 -1.521622823023499604e-01 1.569063407919830400e-01 3.895741321915405925e-02 9.346482834353853519e+00 5.414849748373552485e-01 -1.845414916375647252e+00 1.839062500000000000e+01 -1.512678384780883567e+00 5.627351999282836914e-01 2.004227876663208008e+00 1.459058374166488647e-01 -2.079921662807462934e-01 9.285453557968140759e-01 2.706552147865295410e-01 -1.512678384780883567e+00 5.627351999282836914e-01 2.004227876663208008e+00
2.544370995419997573e+08 -1.452847882936332269e-01 1.488289172607389077e-01 3.971630784561747118e-02 9.335681581970243670e+00 5.535287511229395330e-01 -1.795895186946240729e+00 1.842187500000000000e+01 -1.529947638511657493e+00 6.363428831100463867e-01 2.012272596359252930e+00 8.907435089349745316e-02 -2.587646842002868097e-01 7.872282862663270153e-01 5.526102781295776367e-01 -1.511705762348511506e+00 5.627928683990405245e-01 2.004040774315117179e+00
2.544454325419997573e+08 -1.320240292992702347e-01 1.361433037832501802e-01 4.150238005650102452e-02 9.345282695200115342e+00 5.270337166927080430e-01 -1.839514082114720006e+00 1.839648437500000000e+01 -1.541572809219360352e+00 6.941195130348205566e-01 2.018610000610351562e+00 3.611566498875616593e-02 -2.798620462417600874e-01 6.122431755065917969e-01 7.386008501052856445e-01 -1.510084036125548757e+00 5.628862043867322029e-01 2.003724453662137694e+00
2.544537655419997573e+08 -1.209705046679032392e-01 1.246046409319123416e-01 4.357330814819940223e-02 9.369285478274800738e+00 4.957202652614924876e-01 -1.956217647036504692e+00 1.839453125000000000e+01 -1.548670411109924316e+00 7.390980124473569557e-01 2.023542642593383789e+00 -2.761468058452010155e-03 -2.830691635608671985e-01 4.630468189716340222e-01 8.399118185043336071e-01 -1.507810883764955978e+00 5.630128754532592872e-01 2.003268243546160399e+00
2.544620995419997573e+08 -1.114031023671406412e-01 1.194374188944106741e-01 4.323364138373100851e-02 9.341682277738915019e+00 4.788628202388536814e-01 -1.982865300388840346e+00 1.839453125000000000e+01 -1.552318811416625977e+00 7.738659381866453968e-01 2.027412176132202148e+00 -2.922269143164152316e-02 -2.796268761157988947e-01 3.525627851486206055e-01 8.925548791885375977e-01 -1.504889546434600378e+00 5.631722380484077695e-01 2.002673324105519015e+00
2.544704325419997573e+08 -9.449631660008589451e-02 1.235664177669722336e-01 4.175033362833294182e-02 9.240870588825231380e+00 4.836890071262671120e-01 -2.117834539488995027e+00 1.838085937500000000e+01 -1.553080558776855469e+00 8.003947734832763672e-01 2.030367851257324219e+00 -4.678498208522785529e-02 -2.747374475002288818e-01 2.752351462841034491e-01 9.200956225395200416e-01 -1.501330422897558359e+00 5.633653339161968088e-01 2.001926738176594167e+00
2.544787655419997573e+08 -7.907258895262003762e-02 1.323293235373568799e-01 3.812679146296311244e-02 9.107655142760723521e+00 4.885181077210912770e-01 -2.147725898308888048e+00 1.837890625000000000e+01 -1.551578044891357422e+00 8.203762769699094459e-01 2.032605409622192383e+00 -5.850549042224889584e-02 -2.701721191406249445e-01 2.219485044479370395e-01 9.350523948669432484e-01 -1.497143499072294048e+00 5.635925196023324757e-01 2.001029978736040604e+00
2.544870985419997573e+08 -6.780159441142166732e-02 1.381620154176337323e-01 3.856551313786645008e-02 9.034446654382930930e+00 4.885246905415385754e-01 -2.173746898328904997e+00 1.839257812500000000e+01 -1.548190951347351074e+00 8.351274728775024414e-01 2.034203290939331055e+00 -6.578002870082855225e-02 -2.664267420768736683e-01 1.862097680568695901e-01 9.434064030647276722e-01 -1.492331775066668698e+00 5.638536281287802598e-01 1.999981373291233488e+00
2.544954325419997573e+08 -4.650562884535496683e-02 1.544761440621232607e-01 3.434893838559728574e-02 8.997242340617171763e+00 4.632381453047677011e-01 -2.132073278831888352e+00 1.839257812500000000e+01 -1.543475031852721946e+00 8.458148241043090820e-01 2.035359382629394531e+00 -7.046599686145788022e-02 -2.634954154491424561e-01 1.621738374233246405e-01 9.483166337013244629e-01 -1.486895819538441188e+00 5.641460663426002276e-01 1.998785995847928820e+00
2.545037655419997573e+08 -2.642007551540997631e-02 1.670055926845676053e-01 3.390348450560337623e-02 8.829222859094368658e+00 4.427804848326425402e-01 -2.048613409052864931e+00 1.839648437500000000e+01 -1.537702918052673118e+00 8.532876968383789062e-01 2.036144018173217773e+00 -7.339850813150393394e-02 -2.612694799900054377e-01 1.466318070888519565e-01 9.512361288070678711e-01 -1.480853295876700892e+00 5.644685034428902348e-01 1.997451414962927441e+00
2.545120985419997573e+08 -1.686849212237433865e-02 1.725479346806392256e-01 3.301470102772668253e-02 8.788418127867400287e+00 4.162899828361615873e-01 -1.986904203499764821e+00 1.837500000000000000e+01 -1.531256079673767090e+00 8.583270311355590820e-01 2.036681890487670898e+00 -7.565915584564208984e-02 -2.595796585083007812e-01 1.365825682878494818e-01 9.530159235000608131e-01 -1.474201930941695382e+00 5.648189275215763638e-01 1.995981008166823001e+00
2.545204325419997573e+08 4.448074193131090759e-03 1.784330953461232272e-01 3.122532530007932072e-02 8.740412561718029494e+00 4.572398366089873711e-01 -1.856939660858403229e+00 1.843359375000000000e+01 -1.524171352386474609e+00 8.613598942756652832e-01 2.036961555480956587e+00 -7.628770172595966681e-02 -2.593643963336944580e-01 1.315972208976745883e-01 9.537255764007568359e-01 -1.466944328102131934e+00 5.652025753320223389e-01 1.994385955238596297e+00
2.545287655419997573e+08 2.651022948474506327e-02 1.762199797396684919e-01 2.917105618847949666e-02 8.786017849559932813e+00 4.186987596762963837e-01 -1.765861010846209611e+00 1.837890625000000000e+01 -1.516660571098327637e+00 8.629640936851500355e-01 2.037044048309326172e+00 -7.624451071023945203e-02 -2.592694163322448730e-01 1.300181448459625522e-01 9.539713859558104359e-01 -1.459075957813702917e+00 5.656139110552400595e-01 1.992671644211761572e+00
2.545370985419997573e+08 3.582307721287640578e-02 1.736661800738092676e-01 2.668358708668716953e-02 8.807620354327150736e+00 4.211053782146451097e-01 -1.740299335994460739e+00 1.837890625000000000e+01 -1.508874058723449707e+00 8.635019063949586071e-01 2.036955595016479492e+00 -7.591225951910024472e-02 -2.593396008014678955e-01 1.307562738656998236e-01 9.538779854774477318e-01 -1.450595246126170412e+00 5.660545714245318605e-01 1.990837376219659172e+00
2.545454325419997573e+08 5.937259118219262444e-02 1.630584743723692831e-01 2.650557276283804081e-02 8.825622441633164783e+00 4.259208815082179411e-01 -1.739376034862931908e+00 1.839453125000000000e+01 -1.500920653343200684e+00 8.632108569145201526e-01 2.036717414855956587e+00 -7.506724447011953183e-02 -2.593621611595152698e-01 1.335106492042541504e-01 9.535570144653320312e-01 -1.441499866324950974e+00 5.665250362332957534e-01 1.988882103589368011e+00
2.545537655419997573e+08 7.899422329325241077e-02 1.553305186940238114e-01 2.581924923543973613e-02 8.855625920476521529e+00 4.042411345413801649e-01 -1.839708887027736051e+00 1.839648437500000000e+01 -1.492856740951538086e+00 8.623777627944945179e-01 2.036366462707519531e+00 -7.398398220539093018e-02 -2.596242129802703857e-01 1.377123296260834018e-01 9.529726505279537685e-01 -1.431789648124519143e+00 5.670227601626983693e-01 1.986795841978042487e+00
2.545620995419997573e+08 8.732872782477334173e-02 1.516138052800730662e-01 2.360940391995080406e-02 8.909632182394567224e+00 3.946020343225376537e-01 -1.829875104774400851e+00 1.835937500000000000e+01 -1.484720587730407493e+00 8.611597418785094105e-01 2.035905838012696201e+00 -7.275208830833440610e-02 -2.597517669200896662e-01 1.427424103021621982e-01 9.522923231124877930e-01 -1.421457528775440737e+00 5.675476180649945412e-01 1.984582568851836593e+00
2.545704325419997573e+08 1.027868267990442036e-01 1.424175928836334537e-01 2.376351967881480676e-02 8.919233295624440672e+00 3.813540854470643948e-01 -1.853514662362790499e+00 1.836718750000000000e+01 -1.476635098457336426e+00 8.597373962402342640e-01 2.035412311553955078e+00 -7.192650437355047055e-02 -2.596134841442108154e-01 1.477588117122650702e-01 9.516274333000184216e-01 -1.410507011307388536e+00 5.680984321878547183e-01 1.982240042170127392e+00
