time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
9.204325419998170109e+05 -1.940090158692368838e-02 -1.945355985210327557e-02 -5.520112930802092283e-04 9.743728894239906069e+00 1.753479814294691685e-01 -3.413220921430442090e-01 2.520312500000000000e+01 2.385182529687880915e-01 5.982562303543090820e-01 2.046819686889648438e+00 -1.421182900667190274e-01 -1.282011419534683505e-01 -3.412909805774688721e-01 9.202648401260375977e-01 2.385182529687880915e-01 5.982562303543090820e-01 2.046819686889648438e+00
9.287655419998170109e+05 -1.940090158692368838e-02 -1.945355985210327557e-02 -5.520112930802092283e-04 9.743728894239906069e+00 1.753479814294691685e-01 -3.413220921430442090e-01 2.520312500000000000e+01 2.384914010763168335e-01 5.983331203460692249e-01 2.046814918518066406e+00 -1.422071903944014670e-01 -1.282015740871429998e-01 -3.413351178169250488e-01 9.202346801757811390e-01 2.395331435324879188e-01 5.982744943078373012e-01 2.046784135349343892e+00
9.370995419998170109e+05 -1.940090158692368838e-02 -1.945355985210327557e-02 -5.520112930802092283e-04 9.743728894239906069e+00 1.753479814294691685e-01 -3.413220921430442090e-01 2.520312500000000000e+01 2.384774982929229736e-01 5.984020829200744629e-01 2.046817064285278320e+00 -1.423146277666092474e-01 -1.282906234264374890e-01 -3.413271307945251465e-01 9.202086329460144043e-01 2.412249525979080766e-01 5.983049400753464031e-01 2.046724871404709933e+00
9.454325419998170109e+05 -1.940090158692368838e-02 -1.945355985210327557e-02 -5.520112930802092283e-04 9.743728894239906069e+00 1.753479814294691685e-01 -3.413220921430442090e-01 2.520312500000000000e+01 2.384472936391830444e-01 5.984692573547363281e-01 2.046814203262328657e+00 -1.424055993556974653e-01 -1.283180862665176392e-01 -3.414000570774078369e-01 9.201636910438536487e-01 2.435931117743672103e-01 5.983475574280870957e-01 2.046641914966429443e+00
9.537655419998170109e+05 -1.915197758367423453e-02 -2.061380884522629603e-02 2.523846342870634391e-04 9.747329311701106391e+00 2.066589508136305597e-01 -3.507902966880975804e-01 2.517578125000000000e+01 2.384248673915863592e-01 5.985295176506040260e-01 2.046814203262328657e+00 -1.425016522407532293e-01 -1.284286230802536288e-01 -3.414438664913176935e-01 9.201170206069944069e-01 2.466382396734422278e-01 5.984056120482379448e-01 2.046534271308872555e+00
9.620995419998170109e+05 -1.793455145344436535e-02 -2.261547095677652816e-02 -3.780365030324112953e-03 9.756930424930983392e+00 2.090666485028724042e-01 -3.426956537401342207e-01 2.517578125000000000e+01 2.383860796689987183e-01 5.985908508300781250e-01 2.046816110610961026e+00 -1.425709426403046209e-01 -1.284669190645218451e-01 -3.415524661540984552e-01 9.200607538223264381e-01 2.503617800724492470e-01 5.984782789506734035e-01 2.046403092263610723e+00
9.704325419998170109e+05 -1.843500256271668469e-02 -2.000182863954256055e-02 -6.194529065351188704e-03 9.749729590008579194e+00 2.054544544784738802e-01 -3.731593467209803894e-01 2.515820312500000000e+01 2.383622229099273682e-01 5.986451506614685059e-01 2.046821355819702148e+00 -1.426475793123245239e-01 -1.285653710365295965e-01 -3.416165709495543878e-01 9.200112223625184216e-01 2.547615934118930836e-01 5.985650773783910417e-01 2.046244960933462753e+00
9.787655419998170109e+05 -1.795700024215716312e-02 -1.795778717966219420e-02 -9.689338237089039838e-03 9.639316787865022107e+00 2.078729436766454386e-01 -3.692745160080155298e-01 2.514257812500000000e+01 2.382708340883255282e-01 5.986728668212890625e-01 2.046856641769408736e+00 -1.425788551568984708e-01 -1.288682520389557440e-01 -3.417502045631408691e-01 9.199299812316894531e-01 2.598269167286492154e-01 5.986663942409722328e-01 2.046061322470351662e+00
9.870985419998170109e+05 -1.746777352724123572e-02 -1.824258760833899831e-02 -1.022966080544442796e-02 9.699323745551735598e+00 2.150932309520488805e-01 -3.936234803813758454e-01 2.518554687500000000e+01 2.381749898195266724e-01 5.987103581428527832e-01 2.046883344650268555e+00 -1.425261348485947210e-01 -1.290509253740311224e-01 -3.419550061225891113e-01 9.198363423347472034e-01 2.655678337185848337e-01 5.987828976229055966e-01 2.045849505847561645e+00
9.954325419998170109e+05 -1.380419364707539259e-02 -1.618258302651794447e-02 -1.428694964430047253e-02 9.765331399007123991e+00 2.271301006719180782e-01 -3.898437668476237850e-01 2.523632812500000000e+01 2.380845546722412109e-01 5.987403392791748047e-01 2.046903848648071289e+00 -1.424668580293655118e-01 -1.292363554239273626e-01 -3.420904576778411865e-01 9.197692275047298915e-01 2.719900288841765601e-01 5.989156093432634886e-01 2.045610716611003799e+00
1.003765541999816778e+06 -1.356863603271358382e-02 -1.616523538512118149e-02 -1.777742423470574096e-02 9.768931816468326090e+00 2.439897039963428715e-01 -3.828475111757064786e-01 2.516601562500000000e+01 2.379941344261168878e-01 5.987614393234252930e-01 2.046924591064452681e+00 -1.424058824777603705e-01 -1.294076144695282260e-01 -3.422844707965850275e-01 9.196823835372924805e-01 2.790898815372895858e-01 5.990658319231860762e-01 2.045345616051424287e+00
1.012098541999816778e+06 -1.063190898754244086e-02 -1.614403300702089636e-02 -1.967964739612947100e-02 9.790534321235544013e+00 2.415792005147792687e-01 -3.514058196842712589e-01 2.516601562500000000e+01 2.379104942083358765e-01 5.987800955772399902e-01 2.046939373016357422e+00 -1.423497945070266724e-01 -1.295749992132188000e-01 -3.424123525619506836e-01 9.196198582649232067e-01 2.868703280433511082e-01 5.992327458030560772e-01 2.045057205900200348e+00
1.020432541999816778e+06 -9.894219377619174749e-03 -1.614469284379542111e-02 -1.888056230302004659e-02 9.717325832857747869e+00 2.885527230293708500e-01 -3.821493427727653547e-01 2.518554687500000000e+01 2.378419190645217618e-01 5.988111495971679688e-01 2.046952486038208008e+00 -1.423444449901580811e-01 -1.297362148761749823e-01 -3.424747586250304621e-01 9.195746779441832386e-01 2.953241289379197054e-01 5.994213535959285188e-01 2.044741149624743848e+00
1.028765541999816778e+06 -6.463871395248121932e-03 -1.583831499174234714e-02 -1.944536155442644354e-02 9.741328615932438595e+00 2.753034791728261044e-01 -4.247985119476271887e-01 2.516601562500000000e+01 2.377771437168121338e-01 5.988479852676391602e-01 2.046969652175904208e+00 -1.423377692699432373e-01 -1.298332512378692627e-01 -3.425641357898712158e-01 9.195287823677059658e-01 3.044541353700619957e-01 5.996285943167662946e-01 2.044394154573051292e+00
1.037098541999816778e+06 -7.692154475762908762e-03 -1.728285967645213847e-02 -2.104383632788908026e-02 9.749729590008579194e+00 2.668727602323546222e-01 -4.131557652398457625e-01 2.516601562500000000e+01 2.377065420150756836e-01 5.988666415214538574e-01 2.046983480453491211e+00 -1.422894150018692017e-01 -1.299660652875900824e-01 -3.426651954650878906e-01 9.194797873497008167e-01 3.142614438701380464e-01 5.998540736757005387e-01 2.044018874673734665e+00
1.045432541999816778e+06 -7.694166061716384286e-03 -1.468095069917935147e-02 -2.051016792515446968e-02 9.711325137089080073e+00 2.668762135152122905e-01 -3.902857572920192530e-01 2.519531250000000000e+01 2.376396656036376676e-01 5.988790392875671387e-01 2.046992063522338867e+00 -1.422483474016188465e-01 -1.301044225692749579e-01 -3.427395224571228027e-01 9.194389581680297852e-01 3.247431417070123505e-01 6.000981173610168140e-01 2.043617234727695742e+00
1.053765541999816895e+06 -6.964359248927604051e-03 -1.264716780602664729e-02 -2.159185180598437170e-02 9.690922771475596775e+00 2.560395235269276593e-01 -4.217384427907903133e-01 2.519335937500000000e+01 2.375790178775787909e-01 5.988897085189819336e-01 2.047000885009765625e+00 -1.422121375799179632e-01 -1.302227228879929144e-01 -3.428018987178802490e-01 9.194045066833496094e-01 3.358957599303619701e-01 6.003595335076907791e-01 2.043185267532035887e+00
1.062099541999816895e+06 -8.438649099304917911e-03 -1.235897793969977648e-02 -2.265366692674274790e-02 9.718525972011486047e+00 2.885526151142815410e-01 -4.174337151981795113e-01 2.518359375000000000e+01 2.375312000513076782e-01 5.989052057266235352e-01 2.047012805938720703e+00 -1.422182023525238315e-01 -1.303383409976959506e-01 -3.428137600421904962e-01 9.193827509880063698e-01 3.477257211262149150e-01 6.006421527822186635e-01 2.042724403143696854e+00
1.070432541999816895e+06 -7.210329274382982177e-03 -1.149193812347170350e-02 -2.132286593674924749e-02 9.702924163012941250e+00 2.608555663959470916e-01 -4.524726568018831996e-01 2.518750000000000000e+01 2.374791055917739868e-01 5.989054441452025257e-01 2.047017335891724077e+00 -1.422051787376404364e-01 -1.304779797792435247e-01 -3.428842425346374512e-01 9.193387031555174671e-01 3.602274409358336982e-01 6.009418888374663537e-01 2.042230960062718648e+00
1.078765541999816895e+06 -6.723852639869055958e-03 -9.173574747233704044e-03 -2.159786555152063900e-02 9.682521797399457952e+00 3.126414626665215968e-01 -4.286995119826488843e-01 2.516406250000000000e+01 2.374422848224639893e-01 5.989114642143249512e-01 2.047020912170410156e+00 -1.422060430049894297e-01 -1.305832862854004461e-01 -3.428996503353118341e-01 9.193178415298461914e-01 3.734007959429815893e-01 6.012651323460883601e-01 2.041708573954295503e+00
1.087099541999816895e+06 -7.701918450273078677e-03 -8.893353737941962420e-03 -2.051688458196912479e-02 9.700523884705470223e+00 3.162526854551160893e-01 -4.736236922002671768e-01 2.516406250000000000e+01 2.374039590358734131e-01 5.988985300064086914e-01 2.047024965286254883e+00 -1.421574652194976807e-01 -1.306499540805817206e-01 -3.429488539695739191e-01 9.192975163459775612e-01 3.872501526154283336e-01 6.016105068641079967e-01 2.041151667456806873e+00
1.095432541999816895e+06 -4.521988029099351623e-03 -1.361043532244779648e-03 -1.947802320804276760e-02 9.669320266708380629e+00 2.873527591279646520e-01 -4.414366460367983858e-01 2.518359375000000000e+01 2.373694777488708496e-01 5.988770127296447754e-01 2.047024965286254883e+00 -1.421036422252653919e-01 -1.307397633790970404e-01 -3.429841399192810059e-01 9.192799329757688209e-01 4.017681505652069274e-01 6.019747886897908185e-01 2.040565294402203911e+00
1.103765541999816895e+06 -3.788525488475128888e-03 1.243970091179541840e-03 -1.895030605965054848e-02 9.675320962477050202e+00 3.042121466222108550e-01 -4.720926235572273644e-01 2.516210937500000000e+01 2.373424172401427945e-01 5.988510847091674805e-01 2.047023534774779829e+00 -1.420394629240036288e-01 -1.308245211839676458e-01 -3.430324494838714600e-01 9.192597866058348499e-01 4.169582003941620374e-01 6.023607800175238003e-01 2.039945075401805585e+00
1.112098541999816895e+06 -4.278323544854632440e-03 4.705674710326813830e-03 -1.707195040679021850e-02 9.676521101630784827e+00 2.933735141623192155e-01 -4.521196266936771124e-01 2.516210937500000000e+01 2.373193800449371893e-01 5.988160371780395508e-01 2.047021865844726562e+00 -1.419636160135269165e-01 -1.308951377868652899e-01 -3.430753052234648548e-01 9.192454218864442028e-01 4.328202187659642153e-01 6.027667665648441808e-01 2.039294155168190681e+00
1.120432541999816895e+06 -2.321323021020289812e-03 7.897132095411473277e-03 -1.709151457961797030e-02 9.698123606398000973e+00 3.090272182554263392e-01 -4.771139963871596223e-01 2.520898437500000000e+01 2.373008280992507935e-01 5.987759828567504883e-01 2.047015666961669034e+00 -1.418813765048981268e-01 -1.309517472982407171e-01 -3.430963456630706787e-01 9.192422628402707740e-01 4.493585197524040398e-01 6.031948103306100650e-01 2.038609148720224251e+00
1.128765541999816895e+06 -3.055928244571674834e-03 1.164592685292808322e-02 -1.494316555900031609e-02 9.726926946087624870e+00 3.114331893032392662e-01 -4.387209229889619255e-01 2.520703125000000000e+01 2.372862398624419888e-01 5.987302660942077637e-01 2.047009944915771484e+00 -1.418011784553527832e-01 -1.309887021780014316e-01 -3.431150019168852650e-01 9.192423820495603248e-01 4.665712229307227288e-01 6.036445105563122970e-01 2.037895095147058910e+00
1.137098541999816895e+06 3.774472044077436541e-04 1.079227565744964382e-02 -1.496993058074257664e-02 9.735327920163767246e+00 3.030024703627676730e-01 -4.129710998561169077e-01 2.517187500000000000e+01 2.372787892818450928e-01 5.986809730529785156e-01 2.047003507614136186e+00 -1.417140066623687467e-01 -1.309819817543030340e-01 -3.431168794631958008e-01 9.192560315132141113e-01 4.844602281410214650e-01 6.041149582270424201e-01 2.037153259339085754e+00
1.145432541999816895e+06 -1.335925579589037964e-03 1.424504138341829533e-02 -1.227661982319313942e-02 9.754530146623514142e+00 3.042050242263172333e-01 -3.932534937569919231e-01 2.517382812500000000e+01 2.372720986604690274e-01 5.986284017562865101e-01 2.046997785568237305e+00 -1.416296213865279874e-01 -1.309795975685119906e-01 -3.431146740913390558e-01 9.192702770233152076e-01 5.030295938504376618e-01 6.046066341074818329e-01 2.036384703894993375e+00
1.153765541999816895e+06 2.104373705633460611e-03 1.482323149654496755e-02 -9.084918619331859221e-03 9.766531538160856840e+00 3.186553111351609346e-01 -4.169383058140387899e-01 2.515820312500000000e+01 2.372751981019973200e-01 5.985742807388305664e-01 2.046991348266600674e+00 -1.415459066629408125e-01 -1.309643387794494906e-01 -3.431103527545928400e-01 9.192869067192076526e-01 5.222752845530111987e-01 6.051208785007785584e-01 2.035586468252412740e+00
1.162098541999816895e+06 1.490908124953879699e-04 1.364990408204127571e-02 -7.457632581485638783e-03 9.790534321235544013e+00 3.331045188931116563e-01 -3.961175228192619358e-01 2.516992187500000000e+01 2.373396754264831543e-01 5.985348224639892578e-01 2.046951770782470703e+00 -1.416154652833938321e-01 -1.307502239942551492e-01 -3.430342376232147217e-01 9.193351268768310547e-01 5.422016524448625141e-01 6.056587549702548978e-01 2.034761449535154032e+00
1.170432541999816895e+06 1.621903673975667870e-03 1.336422387099844324e-02 -6.932508359028472303e-03 9.771332094775795341e+00 3.138377574548912863e-01 -3.711549647543559982e-01 2.516992187500000000e+01 2.373983711004256925e-01 5.984877943992614746e-01 2.046918153762817383e+00 -1.416519135236740667e-01 -1.305538117885589877e-01 -3.429527580738067072e-01 9.193877577781677246e-01 5.628084588465135374e-01 6.062178260596597923e-01 2.033911418280802241e+00
1.178765541999816895e+06 2.852753112856688811e-03 1.509312909320202623e-02 -4.260987621804173189e-03 9.790534321235544013e+00 3.114274698035064959e-01 -4.231467793857063842e-01 2.522070312500000000e+01 2.374555468559264859e-01 5.984368324279785156e-01 2.046890020370483398e+00 -1.416742652654647272e-01 -1.304215043783187866e-01 -3.428921699523924671e-01 9.194257855415344238e-01 5.840932624335695156e-01 6.067983702519544886e-01 2.033030302599291961e+00
1.187099541999816895e+06 3.848967153860169410e-03 1.391590750395822230e-02 8.309842376303131026e-04 9.740128476778702193e+00 3.511732589015329475e-01 -4.718379917040000926e-01 2.518554687500000000e+01 2.375095784664154053e-01 5.983795523643493652e-01 2.046868801116943803e+00 -1.416842788457871039e-01 -1.302821487188339511e-01 -3.428276181221008301e-01 9.194679856300351783e-01 6.060554166522734709e-01 6.074047566269468179e-01 2.032114616708749821e+00
1.195432541999816895e+06 4.825686383944934044e-03 1.739135038126068261e-02 1.087364686902276764e-03 9.702924163012941250e+00 3.608108483091255758e-01 -4.536911601857687160e-01 2.518554687500000000e+01 2.375644147396087924e-01 5.983154773712158203e-01 2.046848058700560635e+00 -1.416949033737182617e-01 -1.301754862070083896e-01 -3.427722156047820490e-01 9.195020794868467018e-01 6.286873636018696088e-01 6.080364576944279342e-01 2.031168168895435056e+00
1.203765541999816895e+06 9.732005102982419636e-03 2.000517320604956739e-02 3.459776204741861396e-03 9.698123606398000973e+00 3.451556334047679586e-01 -4.453885854000898536e-01 2.519140625000000000e+01 2.376216799020767212e-01 5.982480049133300781e-01 2.046831607818603516e+00 -1.416761428117752075e-01 -1.300665140151977539e-01 -3.427183628082275391e-01 9.195405840873718262e-01 6.519925708074197912e-01 6.086915824452597823e-01 2.030191082054361384e+00
1.212099541999816895e+06 1.095303364758978826e-02 2.521542039848971919e-02 4.248848803823166397e-03 9.707724719627874421e+00 3.439504895790755912e-01 -4.513994677802580235e-01 2.517773437500000000e+01 2.376779615879058838e-01 5.981774330139160156e-01 2.046816349029541016e+00 -1.416229158639907837e-01 -1.299380511045456488e-01 -3.426536917686462402e-01 9.195910096168518066e-01 6.759752040050106547e-01 6.093706346729929058e-01 2.029182315156640382e+00
1.220432541999816895e+06 1.243256644792103613e-02 2.376343700170528012e-02 6.653734501697463645e-03 9.710124997935343671e+00 3.463588347588529848e-01 -4.373267881453244965e-01 2.518554687500000000e+01 2.377506792545318326e-01 5.980985164642333984e-01 2.046809673309326172e+00 -1.415861845016478382e-01 -1.299027055501938421e-01 -3.425225913524627130e-01 9.196504950523376465e-01 7.006292626978347649e-01 6.100737383769951894e-01 2.028143792291340564e+00
1.228765541999816895e+06 1.560884114125931157e-02 3.072451647713083517e-02 6.083194846401681483e-03 9.760530842392183715e+00 3.571928268699052222e-01 -3.745502147590209496e-01 2.517773437500000000e+01 2.378063052892684937e-01 5.980247259140014648e-01 2.046797037124633789e+00 -1.415262967348098200e-01 -1.297838538885117132e-01 -3.424606323242187500e-01 9.196995496749875709e-01 7.259628318713239326e-01 6.108020213042418822e-01 2.027081440643008658e+00
1.237098541999816895e+06 1.684511725213002492e-02 2.840210382646823906e-02 8.759417243396239172e-03 9.720926250318957074e+00 3.270893754434006651e-01 -3.387191129176940763e-01 2.517578125000000000e+01 2.378777712583541315e-01 5.979474186897277832e-01 2.046787738800048828e+00 -1.414781063795089722e-01 -1.297233104705811102e-01 -3.423302173614501398e-01 9.197641015052796520e-01 7.519700363142498567e-01 6.115519717792120558e-01 2.025996812751744702e+00
