time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
1.060383719999998808e+06 5.433672607000800819e-03 5.976437629807904162e-02 -2.472878128064472103e-02 9.736528059317500094e+00 -3.774161228649216548e-01 -9.370086650948064033e-01 3.187890625000000000e+01 -3.030221760272979736e-01 7.719810605049133301e-01 2.046263933181762251e+00 -1.657233089208602350e-01 -1.451389193534851629e-01 -2.134410589933395941e-01 9.517948627471920497e-01 -3.030221760272979736e-01 7.719810605049133301e-01 2.046263933181762251e+00
1.068717719999998808e+06 5.433672607000800819e-03 5.976437629807904162e-02 -2.472878128064472103e-02 9.736528059317500094e+00 -3.774161228649216548e-01 -9.370086650948064033e-01 3.187890625000000000e+01 -3.029409050941467285e-01 7.718631625175474964e-01 2.046259164810180664e+00 -1.655160188674927868e-01 -1.449727416038513739e-01 -2.134230434894561212e-01 9.518603682518003151e-01 -3.020077920724937304e-01 7.719417400349278813e-01 2.046166312495045769e+00
1.077050719999998808e+06 5.433672607000800819e-03 5.976437629807904162e-02 -2.472878128064472103e-02 9.736528059317500094e+00 -3.774161228649216548e-01 -9.370086650948064033e-01 3.187890625000000000e+01 -3.028565645217895508e-01 7.717365622520446777e-01 2.046257495880126953e+00 -1.652936935424805243e-01 -1.448178291320801336e-01 -2.134157866239548007e-01 9.519241452217102051e-01 -3.003174767101146059e-01 7.718762184992632447e-01 2.046003642585233706e+00
1.085384719999998808e+06 3.958737926345615166e-03 6.438448009183980747e-02 -2.391721574995988100e-02 9.748529450854844569e+00 -3.689872384809682604e-01 -9.465838155652365193e-01 3.186328125000000000e+01 -3.027677536010742188e-01 7.716016769409179688e-01 2.046266794204711914e+00 -1.650199145078657947e-01 -1.446673125028610785e-01 -2.134174704551696777e-01 9.519941806793212891e-01 -2.979494116148132532e-01 7.717853520306269255e-01 2.045774871220825908e+00
1.093717719999998808e+06 4.943376697972005906e-03 6.524797537073331877e-02 -2.204774011021772007e-02 9.764131259853391143e+00 -3.689886413771292228e-01 -9.068306234100294017e-01 3.186328125000000000e+01 -3.026738762855529785e-01 7.714598774909973145e-01 2.046274185180664062e+00 -1.647464334964752752e-01 -1.445192396640777865e-01 -2.134191542863844715e-01 9.520635604858398438e-01 -2.949031191689636122e-01 7.716688757924612396e-01 2.045484542148475082e+00
1.102050719999998808e+06 2.744543160116200142e-03 6.782425765020524966e-02 -1.800772710549816691e-02 9.716125693704016797e+00 -3.774142883084036226e-01 -9.343739025238038121e-01 3.185937500000000000e+01 -3.025701045989990234e-01 7.713062167167662464e-01 2.046295881271362305e+00 -1.643561720848082386e-01 -1.443372517824173529e-01 -2.134460508823394775e-01 9.521527290344238281e-01 -2.911838164761484382e-01 7.715258997916417671e-01 2.045128374903072199e+00
1.110384719999998808e+06 3.241044586295878382e-03 6.925942355055342281e-02 -1.506157383194015216e-02 9.731727502702559818e+00 -3.677814471647399830e-01 -9.557555111356941246e-01 3.190429687500000000e+01 -3.024631738662719727e-01 7.711547613143918678e-01 2.046294927597045010e+00 -1.640965342521666370e-01 -1.441615521907806674e-01 -2.134515047073363980e-01 9.522227644920349121e-01 -2.867875626013609569e-01 7.713576951225999956e-01 2.044705035956170480e+00
1.118717719999998808e+06 2.757154485504536689e-03 7.271108954856453366e-02 -1.103645458587501973e-02 9.725726806933892021e+00 -3.545338220345349844e-01 -8.686841537227795174e-01 3.185156250000000000e+01 -3.023489117622375488e-01 7.709951996803283691e-01 2.046289682388305664e+00 -1.638506054878235418e-01 -1.439685076475143433e-01 -2.134713679552077692e-01 9.522899389266967773e-01 -2.817167414587131713e-01 7.711653536843356971e-01 2.044224454394669266e+00
1.127050719999998808e+06 1.777999305631314253e-03 7.270444036507843488e-02 -1.049182868178397988e-02 9.736528059317500094e+00 -3.449005492305142195e-01 -8.935258059899180427e-01 3.191210937500000000e+01 -3.022270798683166504e-01 7.708368301391601562e-01 2.046284914016724077e+00 -1.635864675045012873e-01 -1.437502950429916937e-01 -2.134828865528106412e-01 9.523657560348511852e-01 -2.759694516114263863e-01 7.709493971969978432e-01 2.043680964905540076e+00
1.135384719999998808e+06 1.783650050369414708e-03 7.673693582331435337e-02 -6.471348604295238879e-03 9.730527363548828745e+00 -3.701899002596069077e-01 -8.663929783495798453e-01 3.187304687500000000e+01 -3.021008670330048163e-01 7.706740498542785645e-01 2.046274900436401367e+00 -1.633360534906387329e-01 -1.435396522283554077e-01 -2.135027050971984308e-01 9.524359107017517090e-01 -2.695458006922794025e-01 7.707068233683278535e-01 2.043078172928530112e+00
