time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
1.284571006849975586e+08 -3.811586318225081427e-01 -1.009593192202436762e-01 8.753585100676142261e-02 1.072904313945576682e+01 -6.135443476194702983e-01 -5.674605708789121072e-01 2.965820312500000000e+01 -1.285764694213867188e+00 2.266615778207778931e-01 1.574901580810546875e+00 5.660673975944519043e-02 -7.602576166391350476e-02 8.457295894622801624e-01 5.251259803771972656e-01 -1.285764694213867188e+00 2.266615778207778931e-01 1.574901580810546875e+00
1.284737666849975586e+08 -3.901122847784265768e-01 -1.033776342863394759e-01 3.984479860562979703e-02 1.084665677652172810e+01 -7.797456329851929491e-01 -3.421351814668447400e-01 2.966601562500000000e+01 -1.248299002647399902e+00 5.196202397346496582e-01 1.581961750984191895e+00 -1.092409156262863675e-02 -1.439135223627089621e-01 5.482574701309204102e-01 8.237616419792174183e-01 -1.281245615438311169e+00 2.263367097980353293e-01 1.574759035889213621e+00
1.284821006849975586e+08 -4.054118903781372962e-01 -1.015398806363533996e-01 4.544176910448782802e-03 1.100027458819971926e+01 -8.086621782360963184e-01 -3.042879372529403437e-01 2.966406250000000000e+01 -1.230275869369506836e+00 6.185427904129028320e-01 1.583946824073791504e+00 -3.327197209000593014e-02 -1.607258468866347989e-01 4.253592193126679022e-01 8.900166749954222523e-01 -1.278593029794563130e+00 2.261441583400720934e-01 1.574679813481612012e+00
1.284904336849975586e+08 -4.157546656810540697e-01 -1.017936713890895545e-01 -1.227793299240492395e-02 1.103747890196548376e+01 -8.014398405739965314e-01 -2.613113427149127421e-01 2.966406250000000000e+01 -1.213566899299621582e+00 6.940135359764099121e-01 1.585321784019470215e+00 -4.866936057806020566e-02 -1.709876358509063166e-01 3.321502804756164551e-01 9.263209700584412731e-01 -1.275173086282853419e+00 2.258962330191482404e-01 1.574583948801921984e+00
1.284987676849975586e+08 -4.347479421049785797e-01 -9.330315618801800215e-02 -5.023997706271688540e-02 1.118989657448974029e+01 -8.038621068002934633e-01 -1.411675127028846344e-01 2.961718750000000000e+01 -1.198005437850951926e+00 7.506920695304870605e-01 1.586245059967041016e+00 -5.925790593028062991e-02 -1.770558953285216730e-01 2.641619443893432617e-01 9.462337493896483265e-01 -1.270970192753072991e+00 2.255923577968970695e-01 1.574482438989298627e+00
1.285071006849975586e+08 -4.480970632223140182e-01 -8.450949747285896319e-02 -8.610121965595637916e-02 1.133151299463038875e+01 -7.255966079572573335e-01 -2.054757748188112132e-01 2.965039062500000000e+01 -1.183361649513244629e+00 7.924090623855590820e-01 1.586853027343750000e+00 -6.670828163623815366e-02 -1.811116039752959928e-01 2.151903659105300903e-01 9.573095440864559658e-01 -1.265976085636399961e+00 2.252408550983716895e-01 1.574364441188395913e+00
1.285154336849975586e+08 -4.562384184536523168e-01 -8.156954113081789359e-02 -1.032132229322359068e-01 1.134831494278266817e+01 -7.280066797784635613e-01 -2.115862283431948487e-01 2.966406250000000000e+01 -1.169458389282226340e+00 8.222936391830444336e-01 1.587195992469787598e+00 -7.181774824857711792e-02 -1.837679445743560791e-01 1.803016811609268744e-01 9.636196494102478027e-01 -1.260193380783771744e+00 2.248387167484630633e-01 1.574231538923317242e+00
1.285237666849975586e+08 -4.703179912140543206e-01 -7.047775138137764295e-02 -1.361194009932022719e-01 1.149953247615319185e+01 -6.100007875918657119e-01 -3.124882841921620691e-01 2.966210937500000000e+01 -1.156163930892944336e+00 8.429280519485473633e-01 1.587376713752746360e+00 -7.479593157768255063e-02 -1.856315582990646362e-01 1.559990048408508301e-01 9.672698378562926136e-01 -1.253606910983222633e+00 2.243983177205993718e-01 1.574073434555630868e+00
1.285321006849975586e+08 -4.809482723472737753e-01 -5.506967521920480557e-02 -1.607396801433755018e-01 1.161114541745048001e+01 -4.522500775430456921e-01 -4.199104553490207170e-01 2.966210937500000000e+01 -1.143523335456847922e+00 8.562297224998474121e-01 1.587494015693664329e+00 -7.694003731012344360e-02 -1.861829757690428855e-01 1.389160305261611938e-01 9.695970416069030762e-01 -1.246209268225916267e+00 2.239319303519161919e-01 1.573882414265063812e+00
1.285404336849975586e+08 -4.861382207023355329e-01 -4.491542960970339171e-02 -1.709069025801273067e-01 1.161114541745048001e+01 -3.992617353240112688e-01 -5.186827397461437616e-01 2.964257812500000000e+01 -1.131187200546264648e+00 8.639844655990598365e-01 1.587621450424194336e+00 -7.807333022356038876e-02 -1.872028410434722900e-01 1.278697252273559570e-01 9.708290100097656250e-01 -1.238006296454761124e+00 2.234397162640259782e-01 1.573651972572617241e+00
