time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
9.904336849975585938e+05 -7.888426931440190634e-04 -1.729012222700431920e-03 6.184650393810508379e-04 9.129257647527943220e+00 -1.726338319834673507e-01 3.566799229753140565e+00 3.092578125000000000e+01 4.271118938922881525e-01 9.075043797492980957e-01 1.049276828765869141e+00 -8.116137469187933995e-04 1.053156889975071127e-02 1.929730176925658833e-02 9.997580051422120251e-01 4.271118938922881525e-01 9.075043797492980957e-01 1.049276828765869141e+00
9.987676849975585938e+05 -7.888426931440190634e-04 -1.729012222700431920e-03 6.184650393810508379e-04 9.129257647527943220e+00 -1.726338319834673507e-01 3.566799229753140565e+00 3.092578125000000000e+01 4.271081089973449707e-01 9.075056910514831543e-01 1.049281001091003418e+00 -8.078141836450059010e-04 1.053769607096910824e-02 1.931785605847835541e-02 9.997575283050537109e-01 4.280630103909525697e-01 9.074863941811208701e-01 1.049648429801333549e+00
1.007100684997558361e+06 -7.888426931440190634e-04 -1.729012222700431920e-03 6.184650393810508379e-04 9.129257647527943220e+00 -1.726338319834673507e-01 3.566799229753140565e+00 3.092578125000000000e+01 4.271017014980316162e-01 9.075073599815367542e-01 1.049279451370239258e+00 -8.195469272322950579e-04 1.055286917835474361e-02 1.933079026639460823e-02 9.997571706771848365e-01 4.296479002361542343e-01 9.074564239888213146e-01 1.050267645962971841e+00
1.015433684997558361e+06 2.638975675267940524e-03 -2.284499776622866442e-03 -1.287053959256137872e-03 9.146059595680224419e+00 -1.858824283494761309e-01 3.517196610542272950e+00 3.093945312500000000e+01 4.270971119403839111e-01 9.075100421905516468e-01 1.049278259277343528e+00 -8.213181863538923048e-04 1.056877989321947445e-02 1.933507248759269714e-02 9.997569322586056240e-01 4.318684656527141397e-01 9.074130863433063077e-01 1.051129370174255895e+00
1.023766684997558361e+06 -5.263007211779580086e-05 -1.727162404190915948e-03 8.808592341892663991e-04 9.117256255990598746e+00 -1.882883993972890857e-01 3.539934201652686241e+00 3.091601562500000000e+01 4.270941019058228094e-01 9.075135588645936169e-01 1.049280881881713867e+00 -8.208249346353667679e-04 1.057623140513897116e-02 1.934274844825267445e-02 9.997566938400268555e-01 4.347211231784645635e-01 9.073565906265472769e-01 1.052237692920168444e+00
1.032100684997558361e+06 9.256396356783143679e-04 5.907610808640684566e-04 1.138583014824163034e-03 9.154460569756365018e+00 -1.979259888048817695e-01 3.527665318644897408e+00 3.091601562500000000e+01 4.270898997783660889e-01 9.075146913528440162e-01 1.049280643463134766e+00 -8.138825651258230209e-04 1.058455184102058758e-02 1.935269124805926930e-02 9.997564554214476429e-01 4.382112812003197688e-01 9.072860055937685964e-01 1.053590753306079542e+00
1.040433684997558361e+06 -5.168768027718345648e-05 8.697272625137926483e-04 2.487909433526270392e-03 9.116056116836864121e+00 -2.087610600668267091e-01 3.521150237331304833e+00 3.091210937500000000e+01 4.270876646041871227e-01 9.075189828872679554e-01 1.049280643463134766e+00 -8.074395591393667164e-04 1.060572825372219606e-02 1.935600675642490387e-02 9.997560977935792126e-01 4.423326577221983191e-01 9.072005575314421311e-01 1.055187915200193283e+00
1.048767684997558361e+06 -5.351554419490839321e-05 5.841118973779809570e-04 1.683208918915206354e-03 9.158060987217565341e+00 -2.183990811347765737e-01 3.528799653808007086e+00 3.091210937500000000e+01 4.270926117897033691e-01 9.075055122375488281e-01 1.049282670021057129e+00 -7.663877331652302338e-04 1.060704886913300081e-02 1.928693801164626728e-02 9.997575283050537109e-01 4.470921037692113797e-01 9.070995946083645345e-01 1.057030643823239080e+00
1.057100684997558361e+06 -1.286690699642947583e-03 5.914857635456165913e-04 -9.903268153534910273e-04 9.141259039065282366e+00 -2.171932898185484073e-01 3.546666521385588133e+00 3.096093750000000000e+01 4.270941615104675293e-01 9.074975252151488148e-01 1.049284815788269043e+00 -7.400474278256297112e-04 1.059773098677397121e-02 1.924367062747478138e-02 9.997584819793698951e-01 4.524851160887522483e-01 9.069836049134897271e-01 1.059120033544411088e+00
1.065433684997558361e+06 1.809527006976854868e-04 3.145893459969164945e-04 -2.343620736950523861e-03 9.152060291448895768e+00 -2.183985415593300838e-01 3.547692495855197414e+00 3.093164062500000000e+01 4.270888864994049072e-01 9.074944257736206055e-01 1.049282789230346680e+00 -7.297742995433507181e-04 1.051084976643324245e-02 1.916033588349819183e-02 9.997609853744503505e-01 4.585140123204750062e-01 9.068524080208589799e-01 1.061455806712272576e+00
