time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
9.491662639999388484e+05 -1.558120411368706104e-03 1.501254565509375916e-03 -1.011309583354863019e-02 9.489299393648231273e+00 -1.269035473210909926e-01 3.347817847918860057e+00 3.295898437500000000e+01 3.808561563491820734e-01 1.427647709846496360e+00 1.050388455390929954e+00 -1.822315505705773614e-03 -7.856979500502901973e-04 -5.614067316055297852e-01 -8.275376558303834118e-01 3.808561563491820734e-01 1.427647709846496360e+00 1.050388455390929954e+00
9.575002639999388484e+05 -1.558120411368706104e-03 1.501254565509375916e-03 -1.011309583354863019e-02 9.489299393648231273e+00 -1.269035473210909926e-01 3.347817847918860057e+00 3.295898437500000000e+01 3.808473348617553711e-01 1.427619218826293945e+00 1.050393700599670410e+00 -1.840352313592918737e-03 -7.755588740110952450e-04 -5.614207386970520020e-01 -8.275281190872192383e-01 3.818447831973365014e-01 1.427634488611839947e+00 1.050737242215950884e+00
9.658332639999388484e+05 -5.751992704385797128e-04 3.466198738219265427e-04 -9.851342058824945694e-03 9.333281303662774420e+00 -1.184595548246356600e-01 3.252408860577403082e+00 3.297460937500000000e+01 3.808470964431761585e-01 1.427583932876586692e+00 1.050398111343383567e+00 -1.851212698966320019e-03 -7.542837411165792538e-04 -5.614274144172668457e-01 -8.275235295295715332e-01 3.834759277056278282e-01 1.427613336963198698e+00 1.051308504352029383e+00
9.741662639999388484e+05 -1.574808222121942825e-03 8.458919195414435141e-03 -1.280461031323222067e-02 9.060849715765087353e+00 -6.424243537535245796e-02 3.197392778364243071e+00 3.297656250000000000e+01 3.808503150939940851e-01 1.427540898323059082e+00 1.050397634506225586e+00 -1.883199904114063895e-03 -7.307411869988400532e-04 -5.614178180694580078e-01 -8.275300264358520508e-01 3.857267888781818477e-01 1.427589606779488207e+00 1.052099879762520951e+00
9.825002639999388484e+05 -8.383549592964960025e-04 1.048140863978896074e-02 -1.147118515170673404e-02 9.156860848063832492e+00 -4.979970252275977421e-02 3.274816574996098240e+00 3.297656250000000000e+01 3.808574974536895752e-01 1.427500486373901145e+00 1.050397157669067161e+00 -1.934705418534520731e-03 -7.044592057355303361e-04 -5.613993406295776367e-01 -8.275424838066101074e-01 3.886172870361467857e-01 1.427562916178336305e+00 1.053121506427831866e+00
9.908332639999388484e+05 -3.773364373771368862e-03 1.247833623226964755e-02 -7.961240125264531023e-03 9.311678798895552944e+00 -2.846683875135203046e-03 3.432524714424710410e+00 3.297656250000000000e+01 3.808610737323760986e-01 1.427460074424743652e+00 1.050398230552673118e+00 -1.966541633009799561e-03 -6.449302891270436433e-04 -5.613496303558349609e-01 -8.275762200355529785e-01 3.921593680337902565e-01 1.427537661499450161e+00 1.054386823104855431e+00
9.991662639999388484e+05 -4.737712920267033410e-03 1.186908562746145229e-02 -2.317379021630620525e-03 9.275674624283528402e+00 5.255345680653412260e-02 3.401260449864652813e+00 3.293359375000000000e+01 3.809167146682739258e-01 1.427441120147705078e+00 1.050418496131896751e+00 -1.948232064023613279e-03 -5.178051651456017090e-04 -5.612611174583435059e-01 -8.276363611221312366e-01 3.963442915271272460e-01 1.427517979536327752e+00 1.055887234050819190e+00
1.007499263999938848e+06 -2.522669248950934473e-03 9.842702008346818077e-03 -1.861183615678372032e-04 9.232469614749094333e+00 2.485889013525376806e-02 3.414804357389936484e+00 3.295703125000000000e+01 3.809399604797363281e-01 1.427435994148254395e+00 1.050411462783813477e+00 -2.000611508265137672e-03 -5.987136391923941758e-04 -5.613062977790832520e-01 -8.276055455207822487e-01 4.011688073993080472e-01 1.427499062206947444e+00 1.057625235454457968e+00
1.015833263999938848e+06 2.653602192915271996e-03 1.154926568645598881e-02 1.077237127616568341e-02 9.224068640672953734e+00 -2.572013566819941754e-02 3.389079868840320753e+00 3.298437500000000000e+01 3.809770643711089533e-01 1.427444696426391602e+00 1.050408840179443137e+00 -2.057741861790474136e-03 -6.525347125717617658e-04 -5.613324046134948730e-01 -8.275876641273497425e-01 4.066343117771104576e-01 1.427476599807480984e+00 1.059597956728388635e+00
1.024166263999938848e+06 5.377367390066015163e-03 4.585417172118286255e-03 1.719890077803560777e-02 9.233669753902830735e+00 -1.329019639319606316e-01 3.454825457130911825e+00 3.298437500000000000e+01 3.810002803802489679e-01 1.427462577819824219e+00 1.050396561622619629e+00 -2.071196911856588042e-03 -7.102464442142464307e-04 -5.613498687744140625e-01 -8.275756835937501110e-01 4.127406310291920066e-01 1.427441190352190636e+00 1.061812609065837743e+00
1.032500263999938848e+06 2.687144967406678020e-03 8.095857894743131071e-04 1.776177876918840631e-02 9.309278520588087247e+00 -2.424982885355892737e-01 3.493791631088680738e+00 3.296093750000000000e+01 3.810454010963439941e-01 1.427491068840026855e+00 1.050411462783813477e+00 -1.997672719880938530e-03 -6.144780199975885537e-04 -5.612932443618774414e-01 -8.276143670082092285e-01 4.194969283856677666e-01 1.427385127203503412e+00 1.064271558017380048e+00
