time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
9.120344240000247955e+05 3.030874556416756488e-02 -1.596995287694338503e-02 -2.027927933700604882e-02 9.136458482450349194e+00 -9.556052715540774845e-02 3.416190569641372576e+00 3.216015625000000000e+01 -4.843361377716063898e-01 2.027775347232818326e-01 1.277511358261108398e+00 -1.913753454573452473e-03 9.335686452686842163e-03 2.640282213687896729e-01 9.644678831100463867e-01 -4.843361377716063898e-01 2.027775347232818326e-01 1.277511358261108398e+00
9.203674240000247955e+05 3.030874556416756488e-02 -1.596995287694338503e-02 -2.027927933700604882e-02 9.136458482450349194e+00 -9.556052715540774845e-02 3.416190569641372576e+00 3.216015625000000000e+01 -4.844188094139099121e-01 2.027688473463058472e-01 1.277527451515197532e+00 -1.865515601821354785e-03 9.234388358891038040e-03 2.640444040298461359e-01 9.644645452499388538e-01 -4.833844994819824215e-01 2.027675812980249404e-01 1.277867182977760585e+00
9.287014240000247955e+05 3.030874556416756488e-02 -1.596995287694338503e-02 -2.027927933700604882e-02 9.136458482450349194e+00 -9.556052715540774845e-02 3.416190569641372576e+00 3.216015625000000000e+01 -4.844903349876403809e-01 2.027647197246551514e-01 1.277549266815185547e+00 -1.776120043359752376e-03 9.132110513746766189e-03 2.640607357025146484e-01 9.644612669944764294e-01 -4.817981311158036628e-01 2.027509890705632978e-01 1.278460338045769307e+00
9.370344240000247955e+05 3.030874556416756488e-02 -1.596995287694338503e-02 -2.027927933700604882e-02 9.136458482450349194e+00 -9.556052715540774845e-02 3.416190569641372576e+00 3.216015625000000000e+01 -4.845561385154724121e-01 2.027731537818908691e-01 1.277578711509704368e+00 -1.609945902600773415e-03 9.017658419907148559e-03 2.640643715858459473e-01 9.644616246223447487e-01 -4.795775656392392006e-01 2.027277636153246854e-01 1.279290624185073888e+00
9.453674240000247955e+05 3.471904414062384342e-02 -1.075001670077263549e-02 -1.871095915928994852e-02 9.160461265525036367e+00 -1.353039421214695670e-01 3.459370823429820607e+00 3.216015625000000000e+01 -4.846231043338776190e-01 2.027800679206847867e-01 1.277605652809143066e+00 -1.452104537747800350e-03 8.932531811296995361e-03 2.641163468360900879e-01 9.644484519958496094e-01 -4.767200745463743838e-01 2.026937629353776915e-01 1.280362624385421366e+00
9.537004240000247955e+05 3.593434845167878949e-02 -8.417255229604925573e-03 -2.140701907075912014e-02 9.143659317372755169e+00 -1.545709193898682221e-01 3.451383507110735493e+00 3.216406250000000000e+01 -4.846676588058472235e-01 2.027897387742995938e-01 1.277627110481262207e+00 -1.300359610468093674e-03 8.886118419468458374e-03 2.641511559486388605e-01 9.644395709037779651e-01 -4.732282412634230551e-01 2.026483600837686028e-01 1.281674007506829804e+00
9.620344240000247955e+05 3.396571934500940138e-02 -2.927317172833502311e-03 -2.139752988315334753e-02 9.174862935369846539e+00 -1.750464937668168297e-01 3.456836529738847474e+00 3.218359375000000000e+01 -4.847145080566406250e-01 2.027985453605652133e-01 1.277647614479064719e+00 -1.162298838608022411e-03 8.822245523333577255e-03 2.642096877098083496e-01 9.644243121147153541e-01 -4.690976220033694077e-01 2.025900821167505583e-01 1.283225848256956292e+00
9.703674240000247955e+05 3.004666267572804472e-02 5.148797870385222325e-04 -1.841801991342616879e-02 9.162861543832505618e+00 -1.846796586557483133e-01 3.469938966347854148e+00 3.217968750000000000e+01 -4.847508072853087824e-01 2.028107047080993652e-01 1.277670145034790039e+00 -1.031482592225019257e-03 8.786149322986658294e-03 2.642795443534851074e-01 9.644055962562562145e-01 -4.643316943610254488e-01 2.025186534634086655e-01 1.285018892014221592e+00
9.787014240000247955e+05 2.441895814439823051e-02 2.782274559173333016e-03 -1.327651675899902718e-02 9.194065161829598765e+00 -2.208108795974116356e-01 3.482452248608537637e+00 3.217968750000000000e+01 -4.847636520862579346e-01 2.028279304504394531e-01 1.277673244476318359e+00 -9.500843007118066038e-04 8.784087374806459625e-03 2.642769813537597656e-01 9.644063711166380726e-01 -4.589254940628093027e-01 2.024306241692923336e-01 1.287054475620239335e+00
9.870344240000247955e+05 1.632806117735852158e-02 7.657542247422064428e-03 -1.106999852632047261e-02 9.180863631138514336e+00 -2.171968510164952737e-01 3.540238087904248765e+00 3.215820312500000000e+01 -4.847755134105681818e-01 2.028487324714660922e-01 1.277699708938598633e+00 -8.196699200197499202e-04 8.788315579295212163e-03 2.643067240715026855e-01 9.643982648849488415e-01 -4.528829301430114529e-01 2.023276499268906459e-01 1.289337636957986977e+00
9.953674240000247955e+05 8.001790317992751866e-03 9.627937951865431568e-03 -6.711374620582329434e-03 9.252871980362575854e+00 -2.533317410711947160e-01 3.553359793533370059e+00 3.216406250000000000e+01 -4.847791492938995361e-01 2.028674483299255926e-01 1.277704477310180664e+00 -7.977045606821219241e-04 8.820027112960872676e-03 2.643443644046783447e-01 9.643877148628231533e-01 -4.461953569829535948e-01 2.022058300265307806e-01 1.291867995230345123e+00
1.003701424000024796e+06 5.806592332616062474e-03 7.289782124853651582e-03 -3.739034254172718483e-03 9.245671145440173433e+00 -2.473096910557686379e-01 3.566388783271317031e+00 3.217578125000000000e+01 -4.847794175148009699e-01 2.028902918100356778e-01 1.277732014656066895e+00 -7.472045253962833478e-04 8.808596059680012802e-03 2.643575966358184814e-01 9.643842577934264026e-01 -4.388650295642942400e-01 2.020670265518843267e-01 1.294646829948409739e+00
1.012034424000024796e+06 -3.209919665224866825e-04 8.993915023751974241e-03 -2.349728219277587987e-03 9.213267388289343884e+00 -1.834799105845207889e-01 3.549177931821884791e+00 3.218750000000000000e+01 -4.847768545150756836e-01 2.029190212488174438e-01 1.277738213539123535e+00 -7.495434256271082951e-04 8.851279504597214798e-03 2.643559277057648260e-01 9.643843770027159534e-01 -4.308969862255936922e-01 2.019177162561139605e-01 1.297671169794871293e+00
1.020367424000024796e+06 -1.777761847527412065e-03 6.653844532323656413e-03 1.690042689392040739e-03 9.218067944904282385e+00 -1.750503787100315956e-01 3.547931997442602459e+00 3.218554687500000000e+01 -4.847663342952728271e-01 2.029523551464080811e-01 1.277752995491027832e+00 -7.504192180932123257e-04 8.899245411157660074e-03 2.643374204635620117e-01 9.643889069557187721e-01 -4.222886838174135238e-01 2.017565433251910234e-01 1.300941830839333457e+00
1.028700424000024796e+06 -4.315644655929901097e-05 6.052213147145033868e-03 8.117118874555680902e-03 9.184464048599719987e+00 -1.557788690078824312e-01 3.563673469209907019e+00 3.218554687500000000e+01 -4.847664833068848211e-01 2.029826194047928134e-01 1.277786970138549805e+00 -6.994234863668680191e-04 8.915260434150723556e-03 2.643628418445587158e-01 9.643818736076354980e-01 -4.130437891382508497e-01 2.015852223787860387e-01 1.304460495945411580e+00
1.037034424000024796e+06 -5.275278309491149287e-04 5.462599893426132829e-03 1.000017618718626773e-02 9.189264605214658488e+00 -1.280808490537443944e-01 3.554190134399030754e+00 3.218164062500000000e+01 -4.847567975521088202e-01 2.030262053012847900e-01 1.277799367904663086e+00 -7.712778169660650107e-04 8.963812142610605438e-03 2.643556892871856689e-01 9.643832445144653320e-01 -4.031593345606369616e-01 2.014059461880185753e-01 1.308226127074788581e+00
1.045367424000024796e+06 -5.142183618249417413e-04 -6.231607093672604514e-04 1.188564682089585968e-02 9.171262517908640888e+00 -1.365091938622512435e-01 3.593238434235449752e+00 3.215820312500000000e+01 -4.847537577152252197e-01 2.030751109123229703e-01 1.277816057205199973e+00 -8.417894132435321808e-04 9.005189873278168777e-03 2.643610537052154541e-01 9.643814563751219593e-01 -3.926398870522603834e-01 2.012169203681120899e-01 1.312242157776108309e+00
1.053701424000024796e+06 -7.451245430527345115e-04 -4.113066527506457210e-03 1.538015140538991597e-02 9.208466831674407160e+00 -1.618024298345585865e-01 3.597434528476942894e+00 3.219140625000000000e+01 -4.847617447376251221e-01 2.031223177909851074e-01 1.277845859527587891e+00 -8.898694068192878389e-04 8.993029594421414474e-03 2.643789947032928467e-01 9.643765687942503773e-01 -3.814782677361859275e-01 2.010157548397559779e-01 1.316508692929792890e+00
1.062034424000024796e+06 -9.838767770078483185e-04 -6.146034484200153802e-03 1.672621323247550779e-02 9.201265996752002962e+00 -1.895002339585180884e-01 3.651623634692696907e+00 3.219140625000000000e+01 -4.847725927829742432e-01 2.031747400760650357e-01 1.277870535850524902e+00 -9.765800787135958672e-04 8.988555520772961716e-03 2.643873095512389026e-01 9.643743038177488014e-01 -3.696793503951440463e-01 2.008004937853976601e-01 1.321030147255408238e+00
1.070367424000024796e+06 1.717660097872997227e-03 -1.191722843231382729e-02 1.563772682676569867e-02 9.230069336441623307e+00 -2.184055560401344798e-01 3.646533331953695889e+00 3.216406250000000000e+01 -4.847881793975831188e-01 2.032306790351867953e-01 1.277902126312255859e+00 -1.080683083273414891e-03 8.949125185608917607e-03 2.644048333168029785e-01 9.643697142601010963e-01 -3.572385072580329113e-01 2.005690633151507585e-01 1.325804636071812759e+00
1.078700424000024796e+06 5.023723558688561464e-04 -2.031316360871858115e-02 1.538903928723365545e-02 9.260072815284980052e+00 -1.726455947282009573e-01 3.644921060954935399e+00 3.217382812500000000e+01 -4.848183393478393555e-01 2.032854557037352683e-01 1.277946114540100098e+00 -1.173248048871755600e-03 8.862678892910508255e-03 2.644284367561340332e-01 9.643639326095581055e-01 -3.441536132484507293e-01 2.003272332870522365e-01 1.330832168180029029e+00
1.087034424000024796e+06 2.710528935349038049e-03 -2.434889340492004881e-02 1.403415993822376348e-02 9.191664883522125962e+00 -2.039507366975403246e-01 3.614144419515624929e+00 3.216406250000000000e+01 -4.848674535751343329e-01 2.033407539129256925e-01 1.278014540672302246e+00 -1.181608415208756707e-03 8.741342462599333007e-03 2.644683420658111572e-01 9.643540382385251686e-01 -3.304310738624710031e-01 2.000701208489408245e-01 1.336110272410367728e+00
1.095367424000024796e+06 7.369564186713510427e-03 -2.895052442145610097e-02 1.212342384211953158e-02 9.192865022675862363e+00 -1.654138684533318915e-01 3.624691500437721814e+00 3.213476562500000000e+01 -4.849341809749603271e-01 2.033908665180206299e-01 1.278077125549316406e+00 -1.225808286108132084e-03 8.615185506641920288e-03 2.645414173603057861e-01 9.643350839614867054e-01 -3.160718353444971207e-01 1.998028919350222643e-01 1.341639789000080851e+00
1.103701424000024796e+06 7.860839231990063986e-03 -3.241473869588740869e-02 1.078175908756040351e-02 9.122056812605535470e+00 -1.906973920676024448e-01 3.600999174774900613e+00 3.213476562500000000e+01 -4.850043356418609619e-01 2.034400701522827148e-01 1.278140068054199219e+00 -1.279580057598594727e-03 8.454219438135651687e-03 2.646123766899108887e-01 9.643169641494748756e-01 -3.010797168263222301e-01 1.995215072290827674e-01 1.347419270880430453e+00
1.112034424000024796e+06 1.006705771433107077e-02 -3.500356925177952605e-02 9.425200574346852961e-03 9.147259734833955491e+00 -1.931082192944337250e-01 3.591245182604967834e+00 3.218945312500000000e+01 -4.850802719593048096e-01 2.034876346588134766e-01 1.278199434280395508e+00 -1.315749250352327149e-03 8.299230597913294719e-03 2.646750211715698242e-01 9.643011689186096191e-01 -2.854533846406655528e-01 1.992266641583609055e-01 1.353447077697286671e+00
1.120367424000024796e+06 1.029458555392978418e-02 -3.064175940652866248e-02 5.124652143878799006e-03 9.108855281914459923e+00 -1.943090465165542846e-01 3.615291297287193562e+00 3.224218750000000000e+01 -4.851584434509276789e-01 2.035327255725860318e-01 1.278265476226806641e+00 -1.342062023468315601e-03 8.142444305121926407e-03 2.647469639778136652e-01 9.642826318740844727e-01 -2.691958770454426775e-01 1.989182867912721864e-01 1.359726761192982192e+00
