time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
1.079726972999572754e+06 -2.885628449375366236e-02 2.405212287987982742e-02 -3.004500307075264054e-02 1.045301113409687943e+01 -5.955049485902685902e-02 1.452274646773689559e+00 3.010546875000000000e+01 -4.460786581039428711e-01 2.074798047542572021e-01 1.101052522659301536e+00 2.269580215215676738e-02 9.129061549901959505e-02 -1.637333631515502930e-01 -9.820093512535094105e-01 -4.460786581039428711e-01 2.074798047542572021e-01 1.101052522659301536e+00
1.088060972999572754e+06 -2.885628449375366236e-02 2.405212287987982742e-02 -3.004500307075264054e-02 1.045301113409687943e+01 -5.955049485902685902e-02 1.452274646773689559e+00 3.010546875000000000e+01 -4.457169473171233576e-01 2.071367800235748013e-01 1.101303696632385254e+00 2.247850224375713690e-02 9.112996608018865408e-02 -1.635881960391998291e-01 -9.820535182952879749e-01 -4.449896285536535379e-01 2.074736005851614273e-01 1.101203825473886067e+00
1.096393972999572754e+06 -2.837844932617908031e-02 2.292051497693174331e-02 -3.514619077614602322e-02 1.051661850924479680e+01 9.087774424989314426e-03 1.397283937409909527e+00 3.008789062500000000e+01 -4.452580511569976807e-01 2.067252695560455877e-01 1.101626634597778320e+00 2.283553220331668854e-02 9.166159480810161242e-02 -1.634240597486495972e-01 -9.820231199264526367e-01 -4.431683025108772433e-01 2.074704115361640788e-01 1.101450220680032510e+00
1.104726972999572754e+06 -3.475898440677956808e-02 1.943987228150628743e-02 -3.911576498168223975e-02 1.054782212724188817e+01 1.390209065257974608e-02 1.388619025934430207e+00 3.012109375000000000e+01 -4.448015689849853516e-01 2.062993049621582031e-01 1.102000713348388672e+00 2.306929603219031941e-02 9.211968630552287707e-02 -1.632729023694992065e-01 -9.819998741149902344e-01 -4.406134640459324348e-01 2.074683549832814777e-01 1.101792739207670957e+00
1.113059972999572754e+06 -3.891548347410393044e-02 1.767094226657213440e-02 -3.585988082022381618e-02 1.051061781347612367e+01 2.594824107012860814e-02 1.375023901431646101e+00 3.015234375000000000e+01 -4.443445801734923761e-01 2.058703601360320767e-01 1.102428078651428223e+00 2.326454780995845101e-02 9.252475202083586259e-02 -1.631019264459609985e-01 -9.819856882095338024e-01 -4.373300716704231483e-01 2.074685184830811491e-01 1.102230265852202740e+00
1.121393972999572754e+06 -5.263493730644896312e-02 1.499853161805048823e-02 -3.359900465039459411e-02 1.045541141240434335e+01 1.872752213436801316e-02 1.402832909460254296e+00 3.012500000000000000e+01 -4.439297914505004883e-01 2.054362446069716852e-01 1.102889060974121094e+00 2.286909148097027167e-02 9.214881062507625231e-02 -1.628354936838150024e-01 -9.820744991302488014e-01 -4.333219722571067800e-01 2.074697320815660495e-01 1.102766251016515486e+00
1.129726972999572754e+06 -7.566585554219891485e-02 1.054675188031210797e-02 -3.045569458106566277e-02 1.044941071663567556e+01 5.124363534422193833e-02 1.454628303293536096e+00 3.008789062500000000e+01 -4.434683024883270264e-01 2.049844712018966397e-01 1.103419780731201172e+00 2.250417321920400449e-02 9.177161753177640047e-02 -1.625385731458663940e-01 -9.821674227714536354e-01 -4.285890102096727716e-01 2.074756326988971278e-01 1.103404972103440462e+00
1.138060972999572754e+06 -8.840696617793353251e-02 9.037254979882003436e-03 -2.847244219753983230e-02 1.045541141240434335e+01 5.846877879864376126e-02 1.476877998625583555e+00 3.008789062500000000e+01 -4.429821074008941650e-01 2.045129537582396906e-01 1.104005694389343262e+00 2.219199202954763583e-02 9.152916073799127750e-02 -1.622222065925597867e-01 -9.822494983673097924e-01 -4.231290418376917328e-01 2.074858461325808368e-01 1.104147125966416620e+00
1.146393972999572754e+06 -1.180654587138522393e-01 7.458860873250611027e-03 -2.688900186244038565e-02 1.047581377801783198e+01 4.642413919234512215e-02 1.469546047569334046e+00 3.014257812500000000e+01 -4.424700438976287842e-01 2.040316313505172729e-01 1.104646325111389160e+00 2.195614017546176910e-02 9.130321443080899324e-02 -1.618712395429611206e-01 -9.823337197303774193e-01 -4.169416349430584701e-01 2.074988635545923499e-01 1.104990973708251056e+00
1.154726972999572754e+06 -1.472449330485565144e-01 9.366388156240856855e-03 -2.772866806668006570e-02 1.037860250656535221e+01 5.727140485938087000e-02 1.573168888743360361e+00 3.017773437500000000e+01 -4.419224858283996582e-01 2.035397440195083896e-01 1.105353951454162376e+00 2.183155901730066129e-02 9.117845445871350374e-02 -1.614091247320175171e-01 -9.824241399765014648e-01 -4.100369245423406417e-01 2.075162344503670708e-01 1.105947658277412149e+00
