time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
9.880944440002440242e+05 -1.526254916860890487e-03 -2.852176285426206645e-04 6.227371295197681178e-04 9.084852498839774526e+00 -1.834683636699658282e-01 3.635605296186993574e+00 3.070507812500000000e+01 4.262389838695526123e-01 1.258072853088378906e+00 1.050016403198241965e+00 -4.118820652365572620e-03 -1.408699341118336244e-02 -2.736821956932544708e-02 -9.995176792144776501e-01 4.262389838695526123e-01 1.258072853088378906e+00 1.050016403198241965e+00
9.964274440002440242e+05 -1.526254916860890487e-03 -2.852176285426206645e-04 6.227371295197681178e-04 9.084852498839774526e+00 -1.834683636699658282e-01 3.635605296186993574e+00 3.070507812500000000e+01 4.262341856956480823e-01 1.258068442344665527e+00 1.050013899803161621e+00 -4.161200020462329195e-03 -1.413693279027939190e-02 -2.738666348159312855e-02 -9.995163679122924805e-01 4.271852469659250806e-01 1.258053743329369034e+00 1.050395081787156570e+00
1.004761444000244024e+06 -7.908542790974886242e-04 8.728967545723541029e-04 1.152133442115654480e-03 9.101654446992050396e+00 -1.509543008468085534e-01 3.621250720810976098e+00 3.070507812500000000e+01 4.262330830097198486e-01 1.258067131042480469e+00 1.050005197525024414e+00 -4.185053985565900803e-03 -1.415095478296280254e-02 -2.737870439887046120e-02 -9.995162487030029297e-01 4.287644054394528226e-01 1.258025275038843427e+00 1.051024838448609167e+00
1.013094444000244024e+06 4.344179038597225664e-04 -2.585703218423383506e-03 -7.321734650870563490e-04 9.128057508374208595e+00 -1.967193341679391583e-01 3.627956916270720811e+00 3.070898437500000000e+01 4.262243509292602539e-01 1.258078455924987571e+00 1.050009250640869141e+00 -4.135750699788387497e-03 -1.424318458884954453e-02 -2.732632309198379170e-02 -9.995166063308712490e-01 4.309780953788130975e-01 1.257981561884646604e+00 1.051906658590353372e+00
1.021428444000244024e+06 -2.266861760171073013e-03 -8.570433496817382504e-04 -1.517403543661182330e-03 9.100454307838319323e+00 -1.738355225263022719e-01 3.627155174298079210e+00 3.072460937500000000e+01 4.262022078037260853e-01 1.258066534996032715e+00 1.049993276596069114e+00 -4.119031596928889559e-03 -1.420166157186031515e-02 -2.740337140858172676e-02 -9.995151758193967506e-01 4.338232075241910679e-01 1.257926563525992858e+00 1.053040497909055739e+00
1.029761444000244024e+06 6.816811961763979966e-04 -8.559182138537710632e-04 8.739004813246851241e-04 9.104054725299523199e+00 -1.629973217267676744e-01 3.620046938706487083e+00 3.072460937500000000e+01 4.262029230594635010e-01 1.258067727088928223e+00 1.049992561340332031e+00 -4.150272812694368388e-03 -1.419864129275084062e-02 -2.740182913839816700e-02 -9.995150566101071998e-01 4.373002408163937926e-01 1.257860630434280313e+00 1.054425311308942348e+00
1.038094444000244024e+06 -5.368269717985484790e-05 -2.591537465450464723e-03 7.683038525966787158e-05 9.107655142760723521e+00 -1.557719624421672888e-01 3.621169382126447012e+00 3.067578125000000000e+01 4.262011945247649591e-01 1.258068561553955078e+00 1.049990892410278320e+00 -4.178829491138347230e-03 -1.420389115810394634e-02 -2.738308161497116089e-02 -9.995154142379759632e-01 4.414098245675992516e-01 1.257784131571019204e+00 1.056061613658216602e+00
1.046428444000244024e+06 1.416841192140562422e-03 -1.718443456603804299e-03 3.322658272033006399e-04 9.111255560221927396e+00 -1.666108107322376297e-01 3.658742861795817536e+00 3.070312500000000000e+01 4.261796176433563232e-01 1.258059382438659668e+00 1.049980401992797852e+00 -4.137453623116071899e-03 -1.415724772959947933e-02 -2.746354974806308052e-02 -9.995139837265011318e-01 4.461528917954721840e-01 1.257695674422813381e+00 1.057953552324227831e+00
1.054761444000243908e+06 1.853469229816523942e-04 8.845652486265200053e-04 -4.658742585777891909e-04 9.134058204142881721e+00 -1.690214221288904306e-01 3.621983669203356904e+00 3.065234375000000000e+01 4.261809289455413818e-01 1.258068323135375977e+00 1.049984931945800781e+00 -4.134000279009231171e-03 -1.417727675288916328e-02 -2.740789204835892071e-02 -9.995152950286864124e-01 4.515304024876483080e-01 1.257595408227941691e+00 1.060095478994826923e+00
1.063094444000243908e+06 -3.048956725891782140e-04 -2.725142524379426875e-04 -9.972543226211359052e-04 9.136458482450349194e+00 -1.666130769491129815e-01 3.603139837179807792e+00 3.066015625000000000e+01 4.261843562126160223e-01 1.258067846298217551e+00 1.049984693527221680e+00 -4.156846553087233630e-03 -1.418002415448427200e-02 -2.738322503864764820e-02 -9.995157718658448376e-01 4.575424220425699517e-01 1.257483656222520674e+00 1.062486949445251350e+00
