time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
4.711407863199996948e+07 6.827028647470623213e-01 4.897525370196328248e-02 -6.991894992177951629e-01 8.858026198783990779e+00 9.533928289811942625e-01 -4.280947842784927904e-01 2.895117187500000000e+01 -1.208695888519287109e+00 1.057276502251625061e-01 1.574694275856018066e+00 -1.522131916135552321e-02 1.312300413846968494e-01 -8.868972659111024059e-01 -4.426741003990172785e-01 -1.208695888519287109e+00 1.057276502251625061e-01 1.574694275856018066e+00
4.712241163199806213e+07 6.963403620602035549e-01 9.207901389076227072e-02 -6.223338365672932415e-01 8.910832321548300072e+00 1.108740265859434082e+00 -1.608610093315683276e-01 2.896484375000000000e+01 -1.190136432647705078e+00 2.355159223079680841e-01 1.588941693305969238e+00 1.079412526451051235e-03 1.644605249166487537e-01 -7.299534082412718616e-01 -6.634149551391601562e-01 -1.207767751075001561e+00 1.058431347634859049e-01 1.574677520841368583e+00
4.713074563199996948e+07 7.117455831849691661e-01 1.247083475139445230e-01 -5.317943522879765572e-01 8.966038722620076840e+00 1.115960984795194344e+00 -1.287149425536551206e-01 2.892578125000000000e+01 -1.172983288764953613e+00 3.365657925605773371e-01 1.600399374961853027e+00 1.327991485595703125e-02 1.820108890533445600e-01 -5.657462477684020996e-01 -8.041311502456666149e-01 -1.206214806717238908e+00 1.060363982309324854e-01 1.574652939539285423e+00
4.713907863200187683e+07 7.169954670361937676e-01 1.358176313439791172e-01 -4.894505275833668234e-01 9.016444567076918659e+00 1.166536233570522274e+00 -9.064281497746984329e-02 2.894140625000000000e+01 -1.157075285911560059e+00 4.145706295967103161e-01 1.609641551971435547e+00 2.093758434057236065e-02 1.894944310188292347e-01 -4.307026565074920654e-01 -8.821273446083068848e-01 -1.204034244098218132e+00 1.063123927835849108e-01 1.574623389429763654e+00
4.714741263199996948e+07 7.145314919445481250e-01 1.622618162494821881e-01 -3.917821952808144825e-01 8.991241644848496861e+00 1.247225293620927156e+00 6.485069315125224776e-02 2.891992187500000000e+01 -1.142124652862548828e+00 4.740146398544312079e-01 1.617005467414855957e+00 2.550929598510265350e-02 1.919307559728621604e-01 -3.308971524238586426e-01 -9.235902428627014160e-01 -1.201229765785033266e+00 1.066778541956693027e-01 1.574603739581369233e+00
4.715574563200187683e+07 7.130651509630396845e-01 1.826181059421840003e-01 -2.908946001045895069e-01 9.010443871308247310e+00 1.199052346780375977e+00 -2.003798591076999536e-02 2.893554687500000000e+01 -1.128038644790649414e+00 5.187140107154846191e-01 1.622858285903930664e+00 2.806005999445920773e-02 1.922193914651869617e-01 -2.605021893978118896e-01 -9.457288384437562145e-01 -1.197799319540163943e+00 1.071248548844116882e-01 1.574579753117296699e+00
4.716407863199996948e+07 7.104887907003358816e-01 1.939510278759714323e-01 -2.415106495085863891e-01 8.964838583466343991e+00 1.147272385839713138e+00 -1.350391322629307216e-02 2.893554687500000000e+01 -1.114701032638549805e+00 5.517227649688720703e-01 1.627532243728637695e+00 2.922395989298826047e-02 1.917624920606612882e-01 -2.119892239570618508e-01 -9.578275680541992188e-01 -1.193747948256252300e+00 1.076497231212677347e-01 1.574555055815878069e+00
4.717241263200187683e+07 6.991749762393995038e-01 2.169343371289524924e-01 -1.542323446767099870e-01 8.847224946400382706e+00 1.072617570209825288e+00 -8.310314566821075388e-03 2.893750000000000000e+01 -1.101900458335876465e+00 5.754619836807249866e-01 1.631155371665954368e+00 2.954933792352670840e-02 1.910395771265028797e-01 -1.792483478784561435e-01 -9.646245837211609997e-01 -1.189085648962148634e+00 1.082465657796576192e-01 1.574529958659004691e+00
4.718074563199996948e+07 6.718872301137734926e-01 2.439581641654073318e-01 -7.890534287229600263e-02 8.706808665413468873e+00 1.100328647889768252e+00 -4.398935733453668284e-02 2.896679687500000000e+01 -1.089687705039978027e+00 5.919506549835205078e-01 1.633927226066589133e+00 2.908638678491115570e-02 1.893976032733916681e-01 -1.579350978136062900e-01 -9.686790108680722877e-01 -1.183824230018530210e+00 1.089207000653388685e-01 1.574500571219541456e+00
4.718907863200187683e+07 6.528395512881228768e-01 2.602077122838893364e-01 -4.361649889258720908e-02 8.658803099264098080e+00 1.124418574592901621e+00 -1.511829062044700404e-02 2.896679687500000000e+01 -1.077863216400146484e+00 6.027808189392089844e-01 1.636144161224365234e+00 2.856750413775444031e-02 1.888580024242400845e-01 -1.449869722127914706e-01 -9.708219170570371315e-01 -1.177963220131397426e+00 1.096737491168462003e-01 1.574471136370158453e+00
