time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
9.691962720012663631e+05 -1.761849275629834288e-03 2.749395985423338379e-04 4.380885503394165055e-03 9.195265300983328061e+00 -1.292856691341688347e-01 3.585848166573963880e+00 2.976367187500000000e+01 2.506314516067504883e-01 1.133827924728393555e+00 1.052263975143432617e+00 -2.106838393956478317e-03 -8.963694795966120621e-03 1.344293653964996338e-01 -9.908804297447203480e-01 2.506314516067504883e-01 1.133827924728393555e+00 1.052263975143432617e+00
9.775292719974515494e+05 -1.761849275629834288e-03 2.749395985423338379e-04 4.380885503394165055e-03 9.195265300983328061e+00 -1.292856691341688347e-01 3.585848166573963880e+00 2.976367187500000000e+01 2.506425976753234863e-01 1.133800745010375977e+00 1.052246570587158203e+00 -2.109816297888812177e-03 -8.994986303150639961e-03 1.345175802707672119e-01 -9.908682107925416149e-01 2.515892151157143597e-01 1.133814458548563442e+00 1.052637471112304990e+00
9.858632719993592473e+05 -1.761849275629834288e-03 2.749395985423338379e-04 4.380885503394165055e-03 9.195265300983328061e+00 -1.292856691341688347e-01 3.585848166573963880e+00 2.976367187500000000e+01 2.506345212459564209e-01 1.133838295936584473e+00 1.052278995513916016e+00 -2.214012201875392716e-03 -8.973850868642302414e-03 1.344488859176635465e-01 -9.908774495124815784e-01 2.531857941427840264e-01 1.133792010605944700e+00 1.053260083923312829e+00
9.941962719974515494e+05 -3.964856569326720426e-03 -1.183783235505660864e-03 4.937109328926176516e-03 9.105254864453257824e+00 -1.340946975223836768e-01 3.527146262103268981e+00 2.978515625000000000e+01 2.506462037563323975e-01 1.133819580078125000e+00 1.052271842956542747e+00 -2.253800164908115189e-03 -9.018477052450166176e-03 1.344965100288391113e-01 -9.908704757690428577e-01 2.554112769519523707e-01 1.133760087541938244e+00 1.054125490106136986e+00
1.002530271999359247e+06 -2.004016595621188612e-03 -3.086194625579749356e-04 5.188577267974892049e-03 9.179663491984783263e+00 -1.449399128027227812e-01 3.560208772263860677e+00 2.972265625000000000e+01 2.506396770477294922e-01 1.133859872817993164e+00 1.052295923233032227e+00 -2.338243648409787934e-03 -9.024841710925088356e-03 1.344485431909561157e-01 -9.908767342567441627e-01 2.582772274508213228e-01 1.133717716575757706e+00 1.055239439307308347e+00
1.010863271997451549e+06 6.963408519253533324e-04 8.514998387509977200e-04 7.043830814744091694e-03 9.152060291448895768e+00 -1.304860646959322690e-01 3.591151571473788717e+00 2.977929687500000000e+01 2.506632506847381037e-01 1.133838057518005149e+00 1.052282333374023438e+00 -2.381440717727001388e-03 -9.013593196868866994e-03 1.344288736581802368e-01 -9.908794760704040527e-01 2.617773463452351401e-01 1.133666792319818928e+00 1.056603679903131310e+00
1.019196271999359247e+06 6.087639041223388142e-03 3.005268583065991497e-04 5.927478151979012622e-03 9.078851803071103177e+00 -2.039405926791461598e-01 3.487573190086879826e+00 2.975585937500000000e+01 2.506678104400634766e-01 1.133823633193969505e+00 1.052279233932495117e+00 -2.362995641305987160e-03 -9.051182307302924057e-03 1.344829499721527100e-01 -9.908717870712280273e-01 2.659053488662362907e-01 1.133599156355261650e+00 1.058206497523507039e+00
1.027529271997451549e+06 2.396090036184412696e-03 2.618864826674166448e-03 1.929366023706064739e-03 9.173662796216113691e+00 -2.208090450408936034e-01 3.545042085986062297e+00 2.975585937500000000e+01 2.506728768348693848e-01 1.133812546730041504e+00 1.052273631095886230e+00 -2.372793387621696670e-03 -9.072302840650067757e-03 1.345207095146179199e-01 -9.908664822578429066e-01 2.706736521225542313e-01 1.133515601992681532e+00 1.060057474215030604e+00
1.035863271999359247e+06 1.863995480437113667e-04 1.748940309886068672e-03 3.381545903518128060e-04 9.231269475595359708e+00 -2.075671394104212919e-01 3.560693949047670337e+00 2.973437500000000000e+01 2.506603598594664972e-01 1.133855938911437988e+00 1.052302718162536621e+00 -2.407971536740716179e-03 -9.045657701790320651e-03 1.344530284404754639e-01 -9.908757805824279785e-01 2.760857293334143536e-01 1.133418079853901306e+00 1.062156541338252547e+00
1.044196272001266363e+06 -6.690118930730855340e-03 2.969060973607570361e-04 -4.703184738777019605e-03 9.096853890377117224e+00 -1.846737233258368693e-01 3.506124132362007817e+00 2.975976562500000000e+01 2.506352066993713379e-01 1.133849263191223145e+00 1.052284955978393555e+00 -2.260083332657814026e-03 -9.036722593009442403e-03 1.344187110662460327e-01 -9.908808469772338867e-01 2.821241272782556431e-01 1.133308541590178464e+00 1.064496908488773652e+00
