time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
5.258643096999931335e+07 3.096837151172208147e-01 2.460728581128582282e-01 -1.124743530629665200e-01 1.016617787635438042e+01 3.270493389452707733e-01 -9.362295186501891076e-01 2.826757812500000000e+01 -1.170933604240417480e+00 6.709993481636047363e-01 1.581028103828429954e+00 1.783501654863358099e-01 1.380495727062224787e-01 -8.066181540489196777e-01 -5.463521480560303845e-01 -1.170933604240417480e+00 6.709993481636047363e-01 1.581028103828429954e+00
5.259476496999931335e+07 3.194673437681058159e-01 2.372024550041356705e-01 -1.251555284128804402e-01 1.025378803457698318e+01 2.451503868052442303e-01 -8.680523075108979025e-01 2.826757812500000000e+01 -1.162492752075195090e+00 6.728049516677856445e-01 1.582313537597656250e+00 1.777928173542022428e-01 1.386782228946684681e-01 -8.082895874977110706e-01 -5.438989996910095215e-01 -1.169865330416846039e+00 6.710248887482335167e-01 1.580937667244947109e+00
5.260309796999931335e+07 3.314417487941163087e-01 2.015168778990552301e-01 -1.566075065121753929e-01 1.034739888856826084e+01 1.271583196751469025e-02 -6.682278275125981271e-01 2.820117187500000000e+01 -1.153985857963562012e+00 6.745702028274536133e-01 1.583548784255981445e+00 1.772094070911407471e-01 1.391231864690779529e-01 -8.097987174987794079e-01 -5.417265892028808594e-01 -1.168075465498574772e+00 6.710432382214361891e-01 1.580807781926727884e+00
5.261143196999931335e+07 3.294532357946235446e-01 1.481414738552359056e-01 -1.924877976112404909e-01 1.047101322140289170e+01 -2.377856283221183586e-01 -6.286928255825547929e-01 2.820507812500000000e+01 -1.145548224449157493e+00 6.763190627098083496e-01 1.584798336029052734e+00 1.761785745620726706e-01 1.394114643335340742e-01 -8.112055659294128418e-01 -5.398806333541870117e-01 -1.165553779774026300e+00 6.710363750575251141e-01 1.580635584990157660e+00
5.261976496999931335e+07 3.220856720934550665e-01 1.175277659170298333e-01 -2.119819045746927921e-01 1.047101322140289170e+01 -3.365366297303186705e-01 -6.063142245933836882e-01 2.820507812500000000e+01 -1.137161374092102051e+00 6.780683994293212891e-01 1.586063504219055176e+00 1.752729117870331088e-01 1.399850398302077137e-01 -8.124453425407409668e-01 -5.381599664688110352e-01 -1.162305344730236500e+00 6.710027163982725806e-01 1.580422086521469982e+00
5.262809796999931335e+07 2.980462080213484577e-01 5.855096675435275677e-02 -2.455305136263076504e-01 1.040620570710123971e+01 -4.702059383680604610e-01 -5.395230171011792253e-01 2.823242187500000000e+01 -1.128817677497863547e+00 6.798349022865296520e-01 1.587413549423217551e+00 1.745819002389908114e-01 1.408306807279585127e-01 -8.136219978332518421e-01 -5.363833904266356312e-01 -1.158336564404336189e+00 6.709317662369159718e-01 1.580173443127506516e+00
5.263643196999931335e+07 2.634772986431940800e-01 -3.089808900757402138e-03 -2.757706534803080478e-01 1.033419735787718352e+01 -5.629290623460126985e-01 -5.090925812957640684e-01 2.817187500000000000e+01 -1.120386481285095215e+00 6.815233230590820312e-01 1.588695764541625977e+00 1.736232191324234009e-01 1.414881646633146528e-01 -8.145755529403686523e-01 -5.350725650787353516e-01 -1.153651997709747468e+00 6.708184869827725771e-01 1.579890465120079579e+00
5.264476496999931335e+07 2.185990904604112883e-01 -5.147136038463719088e-02 -3.040645059401344552e-01 1.013137384089608339e+01 -5.665236662108553700e-01 -6.332355677189054344e-01 2.821679687500000000e+01 -1.112027287483215110e+00 6.831556558609008789e-01 1.589984297752380371e+00 1.723901033401488703e-01 1.419481784105299238e-01 -8.154398202896118164e-01 -5.340321063995361328e-01 -1.148271566751912776e+00 6.706657600898728866e-01 1.579559241838606409e+00
5.265309796999931335e+07 1.938336367062019894e-01 -6.802536101615273834e-02 -3.135054407414407107e-01 1.005096451759588838e+01 -4.918510445912329665e-01 -6.944562266283260676e-01 2.823437500000000000e+01 -1.103693842887878418e+00 6.847397089004516602e-01 1.591307640075683594e+00 1.710391640663146418e-01 1.426514536142347578e-01 -8.160825967788697399e-01 -5.332968235015869141e-01 -1.142195999751635549e+00 6.704814721988252568e-01 1.579177670741027661e+00
5.266143196999931335e+07 1.561013889096279084e-01 -9.622822673345048095e-02 -3.188026216651432820e-01 9.826538495847570331e+00 -3.750156554866628800e-01 -6.337830685250491758e-01 2.823046875000000000e+01 -1.095431089401245117e+00 6.863182187080383301e-01 1.592643857002258301e+00 1.699311584234237116e-01 1.436070948839185957e-01 -8.165682554244995117e-01 -5.326506495475769043e-01 -1.135444947894061585e+00 6.702751706553975453e-01 1.578754138247844052e+00
