time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
1.086430969999313122e+06 1.710038117894080445e-03 -2.376477239766278116e-03 1.750506248707571488e-02 9.261272954438718230e+00 -2.159998008225001709e-01 3.378064130381242869e+00 3.008007812500000000e+01 2.685475647449493408e-01 1.565658092498779297e+00 1.050470471382141113e+00 -5.930147599428836624e-03 -2.952633367386547913e-04 -4.509568512439727783e-01 -8.925260901451110840e-01 2.685475647449493408e-01 1.565658092498779297e+00 1.050470471382141113e+00
1.094764969999313122e+06 1.710038117894080445e-03 -2.376477239766278116e-03 1.750506248707571488e-02 9.261272954438718230e+00 -2.159998008225001709e-01 3.378064130381242869e+00 3.008007812500000000e+01 2.685696184635162354e-01 1.565691828727721946e+00 1.050451278686523438e+00 -6.026394665241241455e-03 -3.877186391037790170e-04 -4.510048925876617432e-01 -8.925011754035948597e-01 2.695124350384268119e-01 1.565635588919386256e+00 1.050822409365710142e+00
1.103097969999313122e+06 1.710038117894080445e-03 -2.376477239766278116e-03 1.750506248707571488e-02 9.261272954438718230e+00 -2.159998008225001709e-01 3.378064130381242869e+00 3.008007812500000000e+01 2.685922682285308838e-01 1.565726518630981445e+00 1.050434827804565430e+00 -6.091466173529624939e-03 -4.796614812222209671e-04 -4.510517716407775879e-01 -8.924769759178161621e-01 2.711202434743192891e-01 1.565598090153976552e+00 1.051408860065579765e+00
1.111431969999313122e+06 3.662864885887358313e-03 -3.220024968201538190e-03 1.400170913506042225e-02 9.176063074523581164e+00 -2.882489691498432149e-01 3.336958299800264705e+00 3.007226562500000000e+01 2.686050832271575928e-01 1.565753579139709473e+00 1.050417184829711914e+00 -6.147958338260650635e-03 -5.696738371626375308e-04 -4.510852396488189697e-01 -8.924595713615417480e-01 2.733626528596052596e-01 1.565538056442966841e+00 1.052225737998643940e+00
1.119764969999313122e+06 3.160696145918746869e-03 -2.624512621548530378e-03 9.979823235014876129e-03 9.204866414213203285e+00 -3.002943641617668580e-01 3.320104861588024647e+00 3.006640625000000000e+01 2.686169743537902832e-01 1.565779805183410645e+00 1.050401806831359863e+00 -6.176624912768545993e-03 -6.225841934793807653e-04 -4.511290192604064941e-01 -8.924372792243955299e-01 2.762449306783737457e-01 1.565456760819971649e+00 1.053272463261700542e+00
1.128097969999313122e+06 2.406722913720890211e-03 -2.018741708167860402e-03 3.544812044061392171e-03 9.099254168684584698e+00 -3.580903318728552165e-01 3.272222871573612135e+00 3.004687500000000000e+01 2.686171531677246094e-01 1.565795779228210449e+00 1.050372362136840820e+00 -6.218109279870931427e-03 -6.631787400692978895e-04 -4.511638581752776544e-01 -8.924192786216735840e-01 2.797553837988471237e-01 1.565348593158276236e+00 1.054544745609424794e+00
1.136431969999313122e+06 3.123808167899894128e-03 -3.139276107929274764e-03 -3.705123005984260667e-03 7.830707083187427031e+00 -4.181902908723689749e-01 2.623321562536331086e+00 3.005664062500000000e+01 2.686097621917724609e-01 1.565797686576843262e+00 1.050390481948852317e+00 -6.022620480507612228e-03 -6.085740169510800435e-04 -4.511733949184417725e-01 -8.924157619476318359e-01 2.837661283999061701e-01 1.565209278246579405e+00 1.055976863629578988e+00
1.144764969999313122e+06 1.126699120962797174e-03 2.636291519976720690e-02 -2.381780698406329305e-03 1.365138197879879556e+01 -5.475716930881198152e-01 5.948155642585370551e+00 3.005664062500000000e+01 2.685653567314147949e-01 1.565813899040221946e+00 1.050430655479431152e+00 -6.034974940121173859e-03 -5.939349066466925731e-04 -4.511956572532653809e-01 -8.924044966697692871e-01 2.889263865203852144e-01 1.565027466973294867e+00 1.057937268590982915e+00
1.153097969999313122e+06 2.838273572837959891e-03 -1.050655843803707627e-03 -1.739110799110253625e-02 1.174676114182245534e+01 -1.006123644945446788e-01 4.022958240822192444e+00 3.012109375000000000e+01 2.685067355632781427e-01 1.565800786018371582e+00 1.050472378730773926e+00 -5.816462449729496373e-03 -4.309667856433052613e-04 -4.511388242244719904e-01 -8.924347758293151855e-01 2.948361993064578801e-01 1.564854187468803115e+00 1.060110181518781003e+00
1.161431969999313122e+06 2.243511314709029092e-02 -6.012886136662545788e-02 -5.209752531497657824e-02 3.566612669969452476e+00 -1.071024982757526750e-01 6.839545565159689255e-01 3.005468750000000000e+01 2.684571444988250732e-01 1.565775275230407493e+00 1.050441622734069824e+00 -5.931932013481910904e-03 -3.676856285893260177e-04 -4.511507451534271240e-01 -8.924279808998109020e-01 3.007104129330785969e-01 1.564673222499195493e+00 1.062214920235539539e+00
