time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
5.569404299099993706e+07 1.149660188918710801e-01 3.874077070014799729e-01 -6.437237601911867391e-02 8.356368032523054268e+00 7.041518729580639180e-01 -2.435009039434092859e-01 2.986328125000000000e+01 -1.349191069602966309e+00 4.312673509120940607e-01 1.548019289970397949e+00 -6.510240584611892700e-02 -1.575387716293334683e-01 9.960310161113740401e-02 9.803175330162048340e-01 -1.349191069602966309e+00 4.312673509120940607e-01 1.548019289970397949e+00
5.570237599099993706e+07 1.193245457618111183e-01 3.823216483075632111e-01 -8.667471083353958661e-02 8.507585565893574397e+00 8.245663261546177791e-01 -2.832733293483873371e-01 2.988281250000000000e+01 -1.338688254356384277e+00 4.244896173477172852e-01 1.548702597618103027e+00 -6.380166858434677124e-02 -1.563887745141982755e-01 1.034364774823188782e-01 9.801901578903198242e-01 -1.348304933668314165e+00 4.313532363664865366e-01 1.547989784692487936e+00
5.571070899099993706e+07 1.242075431828039561e-01 3.742924129638060537e-01 -9.797549140727347672e-02 8.597596002423646411e+00 8.775465747419545215e-01 -3.515557939957001388e-01 2.985546875000000000e+01 -1.328187823295593262e+00 4.179575443267822266e-01 1.549234509468078613e+00 -6.243257969617847791e-02 -1.553554981946945190e-01 1.070640161633491655e-01 9.800532460212704189e-01 -1.346818665106827240e+00 4.315018971248752999e-01 1.547933497041579676e+00
5.571904199099993706e+07 1.378972626962558512e-01 3.452560134344400122e-01 -1.264972799813809112e-01 8.722410474412017223e+00 1.038908939239727047e+00 -2.569615824805406845e-01 2.983789062500000000e+01 -1.317882418632507102e+00 4.118325114250183105e-01 1.549650073051452637e+00 -6.108590960502636308e-02 -1.543572247028350830e-01 1.104468107223511159e-01 9.799202680587768555e-01 -1.344722388563462490e+00 4.317283009774355862e-01 1.547862650522345174e+00
5.572737599099993706e+07 1.623867440763500092e-01 3.006524400240176975e-01 -1.580400185864336005e-01 8.894030373396018874e+00 1.300222376962195003e+00 -2.653371618763151751e-01 2.984960937500000000e+01 -1.307669281959533691e+00 4.059827625751495361e-01 1.549949049949645996e+00 -5.958567559719091244e-02 -1.535495519638061523e-01 1.138034388422966003e-01 9.797555208206175648e-01 -1.342002124308147915e+00 4.320541188318477444e-01 1.547773074425061957e+00
5.573570899099993706e+07 1.802757953351404319e-01 2.733121905063486401e-01 -1.742536552712646292e-01 8.914432739009503948e+00 1.374885933714316000e+00 -1.833615219002047159e-01 2.984960937500000000e+01 -1.297560691833496094e+00 4.003791213035584051e-01 1.550094604492187500e+00 -5.816324800252919980e-02 -1.526757776737213135e-01 1.167807877063751637e-01 9.796271920204160377e-01 -1.338662506851146627e+00 4.324779550028221009e-01 1.547673623909894269e+00
5.574404199099993706e+07 2.268474981592308870e-01 2.186659328324548901e-01 -2.043531046622595881e-01 9.015244427923184034e+00 1.430273772075805194e+00 -4.959372411767959399e-02 2.984960937500000000e+01 -1.287606477737426758e+00 3.951788246631622314e-01 1.550286769866943137e+00 -5.700110644102102109e-02 -1.531609147787093839e-01 1.201945468783378740e-01 9.792068004608152076e-01 -1.334693380711168498e+00 4.330030308304751996e-01 1.547575374005253357e+00
5.575237599099993706e+07 2.803031411509882553e-01 1.648816562261844754e-01 -2.269954340160887929e-01 9.142459178219020544e+00 1.392929637422019917e+00 -6.545299699307949304e-02 2.985351562500000000e+01 -1.277576804161071555e+00 3.900401890277863104e-01 1.550274372100830078e+00 -5.571968480944633484e-02 -1.530535668134688776e-01 1.227275952696800371e-01 9.789829850196835048e-01 -1.330084328219440337e+00 4.336236254533170076e-01 1.547472015271889489e+00
5.576070899099993706e+07 3.121830759538494759e-01 1.393040485550733065e-01 -2.363471778525538802e-01 9.196465440137064462e+00 1.354387805083703711e+00 1.140180705476767642e-02 2.985351562500000000e+01 -1.267626762390136719e+00 3.851408362388609730e-01 1.550125360488891602e+00 -5.458680540323246344e-02 -1.529497355222701471e-01 1.252869218587875644e-01 9.787389636039731666e-01 -1.324835399451520734e+00 4.343368488405713879e-01 1.547372129298209664e+00
5.576904299099993706e+07 3.796378563371892167e-01 9.102176492260879992e-02 -2.473017621002359945e-01 9.315279216356760372e+00 1.311023023310653457e+00 1.402594222371079669e-01 2.987695312500000000e+01 -1.257758975028991699e+00 3.805502653121948242e-01 1.549868226051330344e+00 -5.354030057787900754e-02 -1.529597491025924128e-01 1.280144900083541870e-01 9.784421324729920544e-01 -1.318934678429570573e+00 4.351397153322882350e-01 1.547286448120054114e+00
5.577737599099993706e+07 4.419623760072192153e-01 4.903893162933196936e-02 -2.485616397205958894e-01 9.387287565580816562e+00 1.314629389920229485e+00 2.144947303085828760e-01 2.990820312500000000e+01 -1.248005390167236328e+00 3.761382699012755793e-01 1.549544692039489524e+00 -5.214647948741912842e-02 -1.532230675220489502e-01 1.307354718446731845e-01 9.781163334846495472e-01 -1.312380361340449664e+00 4.360338916406836796e-01 1.547218248322854262e+00
5.578570899099993706e+07 4.692134435978839169e-01 2.974402164687920888e-02 -2.441974626953747063e-01 9.430492575115248854e+00 1.315829785481992698e+00 2.374054782588852497e-01 2.984375000000000000e+01 -1.238366365432739258e+00 3.719840943813323975e-01 1.549026131629943848e+00 -5.055581778287888267e-02 -1.528505831956863403e-01 1.334405541419982910e-01 9.778929352760314941e-01 -1.305169701270259219e+00 4.370194793845632031e-01 1.547167329146748926e+00
5.579404199099993706e+07 5.190702240473497042e-01 -4.556134047108472383e-03 -2.287278186312766415e-01 9.526503707413997546e+00 1.331476798839563491e+00 3.230578857730498354e-01 2.984570312500000000e+01 -1.228874564170837402e+00 3.681125342845916748e-01 1.548630356788635254e+00 -4.936276376247412251e-02 -1.539788544178009033e-01 1.366153210401535312e-01 9.773383140563964844e-01 -1.297294197913392289e+00 4.380980666536952728e-01 1.547141816555323457e+00
5.580237599099993706e+07 5.552209206596638857e-01 -3.115745448214523108e-02 -2.010806067610436121e-01 9.663319570939709280e+00 1.433828339442517974e+00 2.917225201204077800e-01 2.987890625000000000e+01 -1.219389438629150391e+00 3.644056320190429688e-01 1.548074483871459961e+00 -4.765786603093136176e-02 -1.539008766412734708e-01 1.393720954656600675e-01 9.770458340644835316e-01 -1.288741787216837187e+00 4.392799306928454328e-01 1.547135475790657466e+00
5.581070899099993706e+07 5.714615535078256814e-01 -4.302901569586924796e-02 -1.850970382610699905e-01 9.759330703238450866e+00 1.548226354208289024e+00 3.244309943910964611e-01 2.987890625000000000e+01 -1.209867358207702637e+00 3.607816994190216064e-01 1.547447919845581055e+00 -4.641024768352513402e-02 -1.548377722501754761e-01 1.427933424711227417e-01 9.764637947082519531e-01 -1.279509432455094409e+00 4.405731258990914223e-01 1.547152798319225253e+00
5.581904299099993706e+07 5.975977520324340375e-01 -6.482734370880437191e-02 -1.415418202398980307e-01 9.933350880529923543e+00 1.627693219848892703e+00 2.185261788753862788e-01 2.990820312500000000e+01 -1.200413703918457031e+00 3.573668301105499268e-01 1.546821355819701926e+00 -4.523134604096407108e-02 -1.558501422405242920e-01 1.461230516433716098e-01 9.758652448654172584e-01 -1.269579959356897048e+00 4.419822947916793310e-01 1.547181624296815494e+00
