time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw sins_px sins_py sins_pz
1.718504273229999542e+08 5.147713310967660938e-01 9.602628270471376404e-02 4.034412873578641090e-02 1.109028502472979483e+01 -1.256662619719629559e+00 -8.320108899756228915e-01 2.946875000000000000e+01 -1.196580290794372337e+00 2.362994551658630371e-01 1.623243808746337891e+00 1.174276042729613216e-02 -1.815650016069410289e-01 9.402637481689453125e-01 2.877505421638488770e-01 -1.196580290794372337e+00 2.362994551658630371e-01 1.623243808746337891e+00
1.718587603229999542e+08 4.610824914891443749e-01 8.367204129753554043e-02 3.515742084992855981e-02 1.100507514481465599e+01 -1.425254228445217208e+00 -5.685976251307727214e-01 2.946484375000000000e+01 -1.177579283714294434e+00 3.594651520252227783e-01 1.610842585563659668e+00 -3.148570656776428223e-02 -2.083074152469634455e-01 7.994464039802550159e-01 5.625852346420288086e-01 -1.195434020507246009e+00 2.361510030606143451e-01 1.623184584565272148e+00
1.718670933229999542e+08 3.964117172546439138e-01 6.021456424491632153e-02 4.295332498638308738e-02 1.095706957866528342e+01 -1.408389984771952319e+00 -4.397983315452823061e-01 2.945117187500000000e+01 -1.160015702247619629e+00 4.552600383758544922e-01 1.601402640342712402e+00 -6.418985873460769653e-02 -2.145107835531233631e-01 6.292416453361511230e-01 7.442578673362733044e-01 -1.193528570208471251e+00 2.359053394367166268e-01 1.623099293116605280e+00
1.718754263229999542e+08 3.650649369643160780e-01 4.501176034567720696e-02 4.805492656408701102e-02 1.090186317759350842e+01 -1.263871360080478290e+00 -4.543756988630269777e-01 2.943554687500000000e+01 -1.143723130226135254e+00 5.291384458541870117e-01 1.594599366188049094e+00 -8.419206738471970985e-02 -2.111193835735319935e-01 4.843312501907348633e-01 8.448452353477478027e-01 -1.190868023378192309e+00 2.355769315961051824e-01 1.622981944206125071e+00
1.718837603229999542e+08 3.107875029239467457e-01 1.046202824456429585e-02 8.556661964341263915e-02 1.083465538498438718e+01 -8.688613112026758456e-01 -4.559623085509005858e-01 2.941796875000000000e+01 -1.128457903861999512e+00 5.853153467178344727e-01 1.589706063270568848e+00 -9.654623270034784488e-02 -2.048811763525008045e-01 3.772896528244018555e-01 8.979727029800413929e-01 -1.187456918804927986e+00 2.352018496542532255e-01 1.622832855104744176e+00
1.718920933229999542e+08 2.803808259986400597e-01 -2.933795308631084037e-02 1.532149695774855103e-01 1.065343437277050676e+01 -5.870433778593272534e-01 -4.441596907189991339e-01 2.946484375000000000e+01 -1.114069104194641113e+00 6.275504827499389648e-01 1.586378931999206321e+00 -1.043342649936676025e-01 -1.989372819662092728e-01 3.024443686008453369e-01 9.263184070587158203e-01 -1.183312797920056170e+00 2.347958372608869027e-01 1.622653353617264260e+00
1.719004263229999542e+08 2.680081781963391530e-01 -4.809048269965536526e-02 1.917110334316488029e-01 1.055022240554935564e+01 -4.473375585841932733e-01 -4.286779928451068256e-01 2.946484375000000000e+01 -1.100438117980957031e+00 6.585879325866699219e-01 1.584243774414062500e+00 -1.094624325633049011e-01 -1.939084529876708707e-01 2.508657872676849365e-01 9.420636296272275612e-01 -1.178439664774807882e+00 2.343636127528831714e-01 1.622444622722172269e+00
1.719087603229999542e+08 2.570148834932747817e-01 -8.961902226779037972e-02 2.750370634983020368e-01 1.039180403725642776e+01 -1.366189435080680248e-01 -4.607015486582795027e-01 2.946289062500000000e+01 -1.087482929229736328e+00 6.809446811676024280e-01 1.583164453506469505e+00 -1.132717430591583252e-01 -1.904410570859908503e-01 2.158922851085663119e-01 9.509428739547728382e-01 -1.172849635858087991e+00 2.339326361342114469e-01 1.622202754602920516e+00
1.719170933229999542e+08 2.555589772420449601e-01 -1.172081849354916355e-01 3.563911891380950325e-01 1.018177968535292344e+01 -1.617200786963546300e-02 -4.566584237052436213e-01 2.942187500000000000e+01 -1.075039267539978027e+00 6.962481141090393066e-01 1.582883238792419434e+00 -1.158209741115570068e-01 -1.881561130285262784e-01 1.923825591802596768e-01 9.561233520507811390e-01 -1.166560601448065615e+00 2.335047706822574731e-01 1.621929347946492461e+00
1.719254273229999542e+08 2.593461025552509791e-01 -1.303716083227705047e-01 3.899197264880411296e-01 1.004256354351974778e+01 3.562457199477953029e-02 -5.076471546090823850e-01 2.942187500000000000e+01 -1.063069224357604758e+00 7.062208652496337891e-01 1.583142638206481934e+00 -1.180647835135460039e-01 -1.868286132812500000e-01 1.775295585393905917e-01 9.589781165122985840e-01 -1.159578092728936527e+00 2.330811269215885273e-01 1.621618876936354869e+00
1.719337603229999542e+08 2.722401881687452341e-01 -1.424032178916759539e-01 4.370591396097487924e-01 9.770131955622058939e+00 4.046619073996261112e-02 -5.038625533930665146e-01 2.942382812500000000e+01 -1.051532030105590820e+00 7.121454477310180664e-01 1.583834528923034668e+00 -1.198804453015328009e-01 -1.856642961502075195e-01 1.687431782484054843e-01 9.605639576911926270e-01 -1.151927495251182210e+00 2.326605118713147846e-01 1.621273589038205509e+00
